combo,nov_lo,nov_med,nov_hi,H_lo,H_med,H_hi
ASEL+ASER+ASHL,0.0,0.0,4.253592080173065e-16,1.9999890632304957e-11,1.9999890632304957e-11,1.9999890632304957e-11
ASER+ASHL+AWCL,0.0,0.0,5.053772768555878e-16,1.9999890632304957e-11,1.9999890632304957e-11,1.9999890632304957e-11
AWCR+ASER+ASHL,0.0,0.0,5.053772768547973e-16,1.9999890632304957e-11,1.9999890632304957e-11,1.9999890632304957e-11
ALMR+ASER+ASHL,0.0,0.0,3.369181845719406e-16,1.9999890632304957e-11,1.9999890632304957e-11,1.9999890632304957e-11
