feature,seed,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan","(0, 1)_(2, 1)_nan_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan","(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan","(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan","(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan","(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan","(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan","(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 2)_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan","(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan","(0, 0)_(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan","(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan","(0, 2)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan","(0, 1)_(0, 2)_nan_nan_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan","(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan","(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan","(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan","(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan","(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan"
PC24,11,0.0002222806534568668,0.0019471258931199583,-0.03955142364919964,-0.00046255321276225024,-0.0015271915768848103,0.6921269352760929,0.0018961233312945083,0.0585978410858725,-0.00042957555684059725,-0.006218693119433082,-0.0010775063100765699,0.005291099140481066,0.015327703166468632,0.02095897022920467,0.05371259909690467,-0.000949459431203254,-0.0017805257887209438,0.04328868625777389,-0.0014559066417717758,0.05043056933366475,-0.0009591331870565636,0.5299210801356325,-0.005478101938103364,0.0005468572519469314,0.013271112997644564,0.5410847768950485,0.005179435675487033,0.010669113391788327,0.00138881600715941,-0.0016762270042552539
54,11,-0.036247111269435014,0.027204229391269204,-0.08822406578718467,-0.013452386041736769,-0.0636248789961887,-5.27351816828015,0.019831934950350252,0.5205512630813185,0.007465308152367665,0.1988940349246341,-0.008003444621489194,0.03711306842707761,-0.03157617276775589,0.03369391646467216,0.6601816302691111,0.017458551237407142,0.05908390367433812,-0.6700118755225003,-0.03459936853239034,0.3630835442730762,-0.007670978934232784,-42.17921359841622,0.12418229871992086,0.7452803119585949,-0.015122541503067572,54.32942244728347,-0.11944394723829899,0.28867858623887616,0.3346931312573516,-0.020315712320311867
PC106,11,0.0005119990239395635,0.0010885731201578238,0.3589023495370634,0.0004825576451131826,-0.0017901247273229323,-0.296338982677624,0.0011085052493232962,-0.027131597565792944,0.0010242318416975379,0.022180691515064715,0.0012254691316111459,0.00035554878318105697,-0.016963878963023836,-0.03283684356535103,-0.09200256079768018,0.0013351966952032223,0.0031216027823796964,0.01877531784408146,-0.0002554284610024097,0.07089912395928563,0.0015191505194297149,-0.2864536790764781,0.004888530659037771,-0.02969595915917388,-0.014422959229026443,-0.4007087374371448,-0.004544583295825778,-0.001277616953657876,-0.004837178427858598,-0.00040095727632171694
PC134,11,-6.956856286532083e-16,-3.2599469367407886e-14,-2.9336676537957034e-13,-2.8994810476774477e-15,2.4673033875897442e-15,-2.905689323336434e-14,1.9443450025191684e-15,-9.805909521903582e-14,5.1685791641607895e-15,-4.264339579983581e-14,2.1046087127495758e-15,-1.3927796613293287e-14,-2.1010134011033854e-13,3.060171534715502e-14,-1.7147197942644581e-13,-1.1612901358266576e-15,-1.2310679486693454e-15,-2.309295147941008e-13,-4.6569931739336535e-15,1.1937790561648506e-14,-1.5144129692501086e-15,-3.139891299247234e-13,-1.0824215762782016e-14,-4.193823474922618e-15,-1.4887729280652314e-13,-7.769041430566584e-13,1.921046016326899e-15,-4.5289853634919556e-14,9.36379883164131e-15,1.2131938533190938e-14
PC83,11,-0.00031216090212062193,0.003736965708737261,0.894719263847263,-0.00031085236929796083,0.002300693892955426,0.026721883804298074,-0.0001709854249862782,0.028416643701843988,-0.0007277087088168559,-0.0019258129116742032,-0.0006658650911720553,-0.0036638211292201097,-0.024730224824964866,-0.021346095688640265,-0.02353752558751421,-0.0007182538801750156,0.0017594667928354638,-0.037966017572249676,0.0007011798990103901,-0.010627703925801495,-5.989089374545734e-05,0.5183019422242806,-0.0007942873143072405,-0.010999910597231015,-0.025808446816362875,0.546464253024638,-0.0011839036121510536,-0.015306954085543481,-0.002082992078650057,-0.0019232609013605413
PC148,11,-1.026196514526806e-14,5.693336872866246e-15,1.7502520473770473e-12,-2.332251742501266e-15,7.67097804974814e-15,-1.7377235577902279e-12,-5.402363361787153e-15,6.993426208040622e-14,1.4625105076627087e-14,-1.2399389903239752e-13,5.710596057207623e-15,-9.978365109109423e-15,-8.832869866863692e-16,1.7446980469951407e-16,3.325491957876065e-14,-1.6328163273329593e-15,2.4720084705952563e-14,-9.150789276850498e-14,2.681489756904488e-14,-1.6368564597486075e-13,-1.1785840609473902e-15,-6.824900526057236e-13,1.2799418097702793e-14,7.0417111707814065e-15,1.2367066706306125e-14,1.0158807982514686e-12,-2.1110423536886878e-14,-4.8260120727814535e-15,5.5407814683874245e-15,1.2639386636895861e-14
PC100,11,0.002042838688220591,-0.0011413214343328247,-0.06698324129010665,-0.0004018018652534602,0.00028643162980439334,-0.5962780473963211,0.004329258480620973,-0.05873173815443035,0.00018690564530465415,0.009007118418984082,0.0006972297439454638,-0.0020030966002975957,-0.009478477775830487,-0.0376885820328973,-0.06696806886221042,0.0008734451011662513,-0.002605632714570197,-0.03010468173625266,-0.0012162919910333025,-0.04397146580852399,-0.000302134673234159,-0.8300938330682022,0.00428296824497482,-0.0268151427851227,-0.016708980860602435,-0.556972555361609,-0.005752945589780351,-0.005831899150439661,-0.01576499232929164,-0.001118220629776913
16,11,-0.012076682065159378,-0.11490104400212198,-8.19342509089986,0.0015287515386185181,-0.0995266020778542,14.606482773743673,-0.009860040370233355,-0.4339559193360305,0.04160398922149411,0.5748197762308506,0.05659958746664101,0.013967754097934161,0.47769093569454096,0.25543310632643856,-0.10455061466336472,0.01615213254545253,0.0234908967359388,-0.44675448327365436,0.035272319815049344,-1.0719960340967243,-0.0235896476771137,-8.729555663940385,0.07696815784998029,-0.01653655685469412,-0.11864124929049369,-19.224757166504588,-0.03554845662057208,-0.06161617153169075,-0.06878830713613847,0.01265895377889557
PC194,11,1.6288899039984468e-14,3.039827051445825e-15,3.4759683156254714e-13,3.0074900429499334e-15,-7.483921665247346e-15,3.033570745799356e-13,8.31372373710976e-15,9.748435816188198e-15,-1.1286180714611671e-14,2.2971885840243228e-14,-1.0898413343975559e-14,-5.889736683563198e-15,-2.680992527131251e-14,-7.432667486571826e-14,1.5587530956095992e-13,-2.430507053697579e-16,-1.1885839008026557e-14,-1.0787883935289765e-13,-1.208154800183379e-14,7.377105611343869e-14,1.0032118325486635e-15,1.8011069362499783e-12,-1.1369519818092027e-14,-1.0328818609307279e-14,3.932074862801011e-14,-7.227074596350685e-13,-1.5217391454818664e-14,-6.37503897674149e-14,-1.098355168306154e-15,-4.921652036548584e-15
PC143,11,6.32537666268867e-15,1.0870044307455663e-14,-7.467170318898824e-13,4.45900285814957e-15,-8.718736881212992e-15,1.5549666521384671e-12,9.302078784241158e-15,1.3553859894333255e-13,-1.2159550296044116e-14,3.020851970500523e-14,-1.0766111065284283e-14,1.7452177460445845e-14,5.006073287152999e-14,6.491571255979784e-14,1.1402874434204826e-13,1.253933672055176e-15,-2.166884449256697e-14,1.3217042181738644e-13,-1.0284045880133299e-14,1.5152256684053574e-13,3.278249507112227e-15,2.075005804041961e-12,-3.0675623890218977e-15,2.7892127988711202e-14,5.0733889242856884e-14,-3.400381346019539e-12,1.4378893688357402e-14,7.081218208401046e-14,-3.5232781800925755e-15,-9.60904314350951e-15
PC183,11,9.708673859172827e-15,-2.259137342939288e-14,-1.4538509928602698e-12,-4.797283930836049e-16,7.685157245858882e-15,1.5192397030036074e-12,-6.373973937113192e-15,-5.059202479778466e-14,6.029209466620062e-15,-1.0434479352531738e-13,2.3867654628677184e-15,-7.869827816476248e-15,7.665584583673667e-15,-1.869180514425434e-14,-1.08826479020918e-13,3.294227877923614e-16,7.321624074414829e-15,5.4221849972346433e-14,1.2614718334841423e-14,-1.965853749043346e-13,7.503799707714375e-15,1.8376506613834883e-12,1.61772934366957e-14,-2.1987955573360914e-14,-5.3761449576985936e-14,-2.833887949514203e-13,-3.319832631240304e-14,1.8327909060722852e-14,-2.049055074401819e-15,7.099418096745216e-15
PC43,11,0.0001621338083589964,0.0012735884352698598,-0.026498898584516872,0.00016184257311529864,0.0021431581774606395,-0.09477715924687288,0.0008614470384531702,-0.04365298640832274,-1.0796524599048144e-05,0.016935902407103527,0.0005119355488013136,-0.0023561346761041416,-0.0010003283692235608,-0.030520157361479918,-0.02643850476602552,0.000544471606741639,0.00032643342376401297,-0.02654188949217987,0.0004713169110617495,-0.03451787186055687,-2.967236119201645e-05,0.25807965928597343,0.001333160075295716,0.005561898328767219,-0.007667175519967344,-0.09982392557256495,-0.0008839154217011664,-0.013902219510076344,0.001332968722601194,0.0011722933615723368
2,11,-0.006027430066614592,0.004989977388135388,12.147366655936747,-0.002262154875703638,0.012642591046936292,-2.769780263940438,0.055643098586433244,-0.5221050904451486,-0.0024516702763304086,-0.037566034546746875,0.00042103076930284297,0.05699674123302364,0.05412939807766926,-0.37471678180641027,-0.44865283081923146,0.00927549981459364,-0.016120966134661692,-0.48623775159968224,-0.006556991823054751,-0.550815627496784,-0.009020058813834829,6.566887394013334,-0.02005948991156684,0.03166415928346786,-0.25082113359155667,7.310769315726629,0.05655908943652207,0.13965138939064145,0.025230111136726227,-0.009054590105636888
PC105,11,0.0004110478185650981,0.00114649630978107,0.13366350619218503,2.771357559135494e-05,-0.001535662505716598,0.19100629519955398,-1.3427707393340148e-05,0.0193755460751197,0.0014307997379624767,0.012150144651139732,0.0011279509328694839,0.0011468723063421719,0.003755605215677197,0.00495233592247531,0.012281862687680112,-0.00022507175040611973,-0.002697248038081773,-0.022839285209759422,-0.0001816342502751412,0.010146396117855366,6.807172777593982e-05,0.9699686390199994,-0.0064561435211192226,0.02122915710902688,0.00862762503477363,1.331955487982199,-0.0009232055090709928,-0.005148794842132452,0.009590366247953341,-0.0003268104893272357
PC192,11,-9.118524918105546e-15,5.93693672189774e-15,-1.7317258598525662e-12,1.8556519540268148e-15,4.625729156105901e-15,1.0861163429466008e-12,6.275431594640352e-15,-3.738790602785513e-14,5.743683050771816e-16,-1.039486373234796e-13,7.9992923039122e-16,-8.969319606350112e-15,-8.261384581761584e-14,-3.3683730562685975e-14,-1.7834999113075098e-13,-2.276824875493995e-16,-1.2377520851777768e-15,-2.103225210296103e-13,7.30328269787698e-15,-5.526185021330729e-14,6.9645856034699055e-15,1.6343383318482119e-12,8.323256619756373e-15,4.0880197007545594e-15,-3.6386880554017396e-14,-3.788217553722268e-12,-1.972484863345702e-14,-6.033010699655441e-14,1.3866560837391248e-15,1.2679115065679367e-14
1,11,0.02708809856235602,0.018593653567439795,9.879560290552424,0.010214131072137781,0.03595246961364544,-20.970978720414106,-0.01779701619046513,0.12747726058743009,0.021507170893827303,0.22058153728018315,0.029576770939322088,0.00814397860752807,0.40831776810479886,0.06310194762000067,-0.17589177864961367,0.007114156385191482,0.006934315795413131,0.9095143246373212,0.02050130708715931,-0.18318089857279557,0.030178124637940913,12.029462814151248,-0.015389879404044354,0.4060201905563748,0.16498847412384007,3.987325956752706,-0.1087164221214761,0.42288407734734645,0.1331309068198841,-0.013049714277678575
PC186,11,-1.1062110676913731e-14,2.610335471951587e-14,1.0905447360501594e-12,2.514685562286493e-15,-6.778299201840266e-15,-2.809228400213626e-13,6.725485308258849e-16,-1.1148667160879004e-15,1.68292583952593e-16,2.483145259754538e-16,3.4694220051665774e-15,3.0054284338508603e-15,3.650031153600531e-14,-4.015934129585222e-14,8.770309071815586e-14,6.125828144068622e-15,4.396845629982131e-17,1.4999829404500163e-14,-7.520137504380191e-15,-8.904288117563947e-14,2.373466222598569e-15,2.4144817493529055e-14,1.2847173921556346e-14,3.686481976046983e-14,4.525933816893765e-14,-2.2233332645630634e-12,2.6104444456723113e-15,4.693687510407608e-14,3.4310495092477857e-15,-1.901528817748952e-15
PC46,11,-0.0003252031294345078,-0.001636852230345432,-0.12670060294206767,0.0002651491682817638,0.0014794813912825872,0.14926084897065886,0.0006827300358385383,-0.001781262489082413,-0.0002181479061808646,-0.015010438983013416,-0.0003287471886098503,-0.003215015892288959,-0.011594618401345961,0.005336227082312622,0.03817771713675322,-4.885557817888724e-05,-0.0018933252258898103,-0.0003838088149156595,-0.0005017940250497202,0.0036603750242795593,-0.000948880184999612,-0.18941458495435004,0.0013880477099055815,-0.018210163543522867,-0.001508986649524209,-0.3897158596000446,0.0075557976177889315,-0.0074774001472877405,-0.00786413998538962,-0.0008357376220519874
PC51,11,0.0002855560465800369,0.0020762794041361394,0.1949460704253971,7.52190054885994e-05,0.0006842568326042133,0.23724097829027063,-0.000709670910592412,0.006902712350236812,0.00015056403451326004,0.0032086565831326045,2.405340939575034e-06,0.006058221991204978,0.030404148688742343,0.007420462611022786,0.011250958157122402,-0.0004124174334328002,-0.0003817135196317711,0.035725720523782103,0.0009861759876343475,0.00015072868196019826,-0.0003158812039370575,0.4614688386359912,-0.0014349334688925014,-0.010575360523053683,0.022664644789494863,0.01815022480043553,0.0026367791542171526,-0.007334772006427788,-0.0009293990610480155,-0.001043016408148515
PC190,11,7.566426195817126e-15,-1.4254069273248533e-14,-7.724024596461368e-14,3.920911030149609e-15,8.344529962485743e-16,2.3566034897071152e-12,-7.442842740385385e-16,-6.110366816207544e-14,9.464658773330049e-15,1.179895826956152e-13,1.2733750273321606e-14,-1.0945699665894441e-14,-4.2057224910401936e-14,-7.421664570887207e-14,-1.0218735095237338e-13,8.905718334823837e-15,2.1562920718397195e-14,-1.1206502811615402e-13,7.571357853831592e-15,-1.455159250338903e-13,3.645834464026037e-15,-7.454428360308831e-13,2.22423707199405e-14,1.4448105753213434e-14,-4.805839964483955e-14,4.247404680607286e-13,-2.518578734271395e-14,-4.751349541593388e-14,9.073324404773448e-15,1.0333765315280282e-14
PC187,11,-1.2890964669545066e-14,2.2000978564466018e-14,6.637282399111275e-13,-1.0138001299971183e-15,1.4513931879418815e-17,-9.567841147351806e-13,-4.4371556809179175e-15,6.425758900013618e-14,-7.94524381745487e-15,-7.687416011598598e-14,-1.0317926348734345e-14,1.554233016405497e-15,9.539151507963312e-14,3.24322507579405e-14,4.2275762035580375e-14,-1.2683162657251827e-14,-9.682338043297421e-15,1.1891821120090946e-13,6.578128813461838e-15,7.1972700349458e-14,-1.6408075788922651e-15,-1.321944394734005e-12,-2.502379239562762e-14,-1.9205434365387752e-14,4.793099565080574e-14,7.581475511251819e-13,2.0779819329364645e-14,6.367641653251082e-14,-1.194577854103465e-14,-3.783557571925657e-15
PC77,11,0.000817624876508863,0.0029221534150556637,0.02310422417998048,0.0016063447057600723,-0.0005326840415166748,0.5087491076488523,-0.0026736283658873026,-0.028451354834734738,-0.00015689739318703005,0.05032903581904325,0.0003479721048113266,-0.004368161497524341,-0.008124228912742249,-0.02207036589686427,-0.03478331876536338,-0.0014339718441545443,0.0006422639330768001,-0.022415118761549918,0.0023686076904422936,-0.03954469284402401,0.0005501289213012901,0.22391046184377594,-0.003056638971234739,-0.0051508135739917835,-0.012129424595889851,-0.38818600563040195,-0.003574636930397997,-0.008055763505520614,-0.0041113338706473615,0.00022684224924415583
PC10,11,-0.0011821535311922053,0.0025475324289749024,0.0935892632848998,-0.0006630081294748398,7.463779218728719e-05,0.10959362070408045,0.00016484496096094307,0.03348666512938467,-0.0013554881325134284,-0.006059246778354176,-0.0019615430728485536,0.0011679026188261164,0.0010365641572503083,0.014455953350048862,0.028778018185234386,-0.0008474437013635198,-0.0016186054642491478,0.014174464770704803,-0.0023009585330910996,0.0305953678298837,-0.0007826120212175023,-0.04365909031714377,-0.0035466926630937203,-0.004171846631134,0.010422552400893093,0.12083220213330693,0.0013964156198897632,0.005526889180083391,0.0014038039341240077,-0.0013746494553052312
PC108,11,5.645023870429311e-17,-5.972843456148773e-16,2.1738137916913047e-14,-6.59797020902704e-17,1.1669189588234635e-16,1.1575842163676766e-14,4.999206609502391e-17,-9.796314772403003e-16,7.6759226606643e-17,7.449968467181445e-16,8.537407529651333e-17,1.02043065231103e-16,-1.9795232258109278e-15,-6.975859937309628e-16,-1.6945173694323375e-15,5.564732577372898e-17,1.1230875374195707e-16,7.432936052951471e-17,-1.692294145575993e-16,6.054643058296783e-16,5.152420144936404e-17,1.6298618562044926e-14,5.62300983745114e-17,2.459050654363346e-16,-8.203644782216842e-16,1.2964126716304151e-14,7.629306269868197e-17,-1.8920802169436824e-15,1.4602110867564256e-16,1.623134447362222e-17
46,11,0.030577954211063376,0.09380138833302554,1.0393050762134113,-0.0037672562722420046,-0.055779683921013144,-8.933821961676204,0.010165248588267813,0.7877926969279269,-0.011547298735176532,-0.4184747257950335,-0.03511927811715142,0.03298860111200402,0.5518909758860557,0.6740706513650719,0.5153182848530967,-0.03476996627803228,-0.007366986359915903,0.8725615037335882,0.0737669061991361,0.7181611689672399,-0.0077249305279794185,-21.34354286588936,-0.02707080424073813,-0.4438855447850592,0.35241746338001884,-18.490071188528944,0.12142120688354074,0.2890841753022998,-0.15317553403456122,0.0028813323993422844
