neuron,state
ADAL,0.3051624477097469
ADAL,0.08610723540455266
ADAL,0.12577237394204493
ADAL,0.025712577239235142
ADAR,0.2080924855719587
ADAR,0.10863065577534375
ADAR,0.03149292405870325
ADAR,0.11162049033407136
ADEL,0.21128164242630576
ADEL,0.03209089097185235
ADEL,0.00877018138315244
ADEL,0.3711381304364403
ADER,0.35479370144817546
ADER,0.1688259916400837
ADER,0.032888180188273046
ADER,0.06338449272649739
ADFL,0.18457245368133154
ADFL,0.13733306757434846
ADFL,0.0476380306963558
ADFL,0.03807056009570369
ADFR,0.13434323302267656
ADFR,0.14112019135852322
ADFR,0.11022523420672252
ADFR,0.04504684074210082
ADLL,0.18915686667358422
ADLL,0.053817022126834924
ADLL,0.13215068767118449
ADLL,0.03488140322996094
ADLR,0.15028901735491543
ADLR,0.14251544748791234
ADLR,0.13195136536030738
ADLR,0.01156069364221382
AFDL,0.05262108830662745
AFDL,0.0334861471008661
AFDL,0.03109427945126391
AFDL,0.045844129959262875
AFDR,0.05501295595613075
AFDR,0.024117998805236025
AFDR,0.0446481961345906
AFDR,0.044050229222314774
AIAL,0.14929240582665815
AIAL,0.10444488738394747
AIAL,0.03229021327551661
AIAL,0.15467410806828552
AIAR,0.06936416185355873
AIAR,0.06976280646192992
AIAR,0.041658361571298645
AIAR,0.1433127367254253
AIBL,0.4205700618408323
AIBL,0.21845724537165703
AIBL,0.2104843532025919
AIBL,0.07414789715275324
AIBR,0.4582419773252368
AIBR,0.26071357386485317
AIBR,0.19573450270660492
AIBR,0.08710384692517271
AIML,0.17500498307745516
AIML,0.08092485549452103
AIML,0.04664141917781698
AIML,0.006378313732889332
AIMR,0.05042854295367798
AIMR,0.020131552720097704
AIMR,0.12058999402573528
AIMR,0.20888977481092136
AINL,0.1271676300706641
AINL,0.05760414590637004
AINL,0.03408411401408955
AINL,0.016942395853617766
AINR,0.149093083529275
AINR,0.09328283835409526
AINR,0.011560693641615456
AINR,0.029699023322653485
AIYL,0.1586605541355624
AIYL,0.04704006378601535
AIYL,0.0203308750247
AIYL,0.05102650986834227
AIYR,0.11580625873485151
AIYR,0.05381702212825593
AIYR,0.01415188359609119
AIYR,0.05700617899606674
AIZL,0.040861072356929734
AIZL,0.1403229021409955
AIZL,0.32748654581353853
AIZL,0.17022124776110117
AIZR,0.09986047439203952
AIZR,0.13035678693129915
AIZR,0.03229021327474036
AIZR,0.2945983656174237
ALA,0.06836755033483712
ALA,0.04544548535315893
ALA,0.05461431134347607
ALA,0.02690851106281425
ALML,0.10205301974585149
ALML,0.06517839346701203
ALML,0.037472593185285744
ALML,0.08570859079577287
ALMR,0.09368148297034172
ALMR,0.031492924057888755
ALMR,0.026310544150850736
ALMR,0.042854295398013914
ALNL,0.03408411401284362
ALNL,0.06577636038290577
ALNL,0.04544548534971097
ALNL,0.030296990234624687
ALNR,0.09268487144329565
ALNR,0.05062786526121446
ALNR,0.061590591990145035
ALNR,0.03268885788264265
AQR,0.1239784732052106
AQR,0.08052621088823424
AQR,0.049232609131062116
AQR,0.2696830775911372
ASEL,0.10663743274313202
ASEL,0.08630655770852166
ASEL,0.05600956747320951
ASEL,0.01395256129209431
ASER,0.08550926849080275
ASER,0.10265098665170846
ASER,0.013753238987807342
ASER,0.14351205902938738
ASGL,0.056208889782283764
ASGL,0.018536974289115167
ASGL,0.02850308949665497
ASGL,0.0271078333676621
ASGR,0.055411600564470524
ASGR,0.03348614710237914
ASGR,0.035678692447296316
ASGR,0.048634642215514265
ASHL,0.12357982859228205
