,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
SAAVL,11,8,19,16,12,5,193,123,0.3181818181818182,-0.7841722725875044,0.41173560839864365,1.2573074776587925,47.537857956157296,21.24031180395052,-0.11579202129709038
SAAVR,10,9,19,22,17,5,178,140,0.43333333333333335,0.5795866130916423,5.043761393195613,1.2197052708137512,47.39011645009049,23.490752880292973,-0.040229313235837894
SDQL,10,10,20,21,11,2,96,152,0.32,-5.28172339411973,-2.603396314836406,-2.0567026418267957,-34.88161390638899,20.52162226907933,-0.1676905524081136
SDQR,5,13,18,37,10,4,80,208,0.7230769230769231,-2.74030895130128,-2.1489519747875114,0.3081021492290912,23.923139276235986,32.71208887321893,0.0656981468953809
SIADL,9,1,10,0,3,1,202,28,0.3333333333333333,17.695135563673098,5.5002065502807795,-0.33022572226636404,88.68794815233912,31.463369457558283,-0.05266696777561902
SIADR,5,1,6,0,1,1,85,24,0.2,18.59541113523514,8.616940521596748,0.6249971009156594,32.18390355398989,28.341656207782727,-0.2878439061142334
SIAVL,9,1,10,0,2,1,129,8,0.2222222222222222,17.695135563673098,4.5002065502807795,-0.33022572226636404,15.687948152339118,11.463369457558283,-0.16377807888673013
SIAVR,7,1,8,0,1,1,136,11,0.14285714285714285,18.145273349454115,6.058573535938763,0.14738568932464768,52.93592585316452,14.902512832670503,-0.29406496075445004
SIBDL,12,5,17,6,6,5,165,68,0.2,3.5746888561560937,-1.9259747603342845,1.8477255097849286,5.229060175183065,10.92813195003535,-0.16612922071076114
SIBDR,8,3,11,2,4,3,114,41,0.25,10.197584442140869,4.485074627045728,1.3557641582480473,15.26847628979283,14.744679922687098,-0.18971701403815738
SIBVL,9,4,13,6,7,4,130,67,0.3611111111111111,9.111205542038991,4.558733426184716,1.8405505398119941,15.872757082900648,25.555977623917336,-0.06727290751466841
SIBVR,12,6,18,8,11,6,200,88,0.2638888888888889,0.7133788489447248,1.4268675316336967,2.5713175971443816,39.957329818703585,15.959001338821707,-0.11636823766081461
SMBDL,19,10,29,10,10,6,264,83,0.10526315789473684,-18.307343430134324,-15.116047750297334,-0.2059539939863484,-2.9975135601032434,-50.454522918925676,-0.15327928325149437
