wbgene,symbol,freq_pre,freq_post,freq_max,coef_pre_mean,coef_post_mean
WBGene00010396,H13N06.2,0.04,0.02,0.04,-0.0005159577337426792,0.001467323201018816
WBGene00011195,sao-1,0.04,0.0,0.04,-0.0004921074114324524,0.0
WBGene00022855,tcer-1,0.0,0.04,0.04,0.0,0.0003347168801631394
WBGene00017702,malt-1,0.04,0.02,0.04,0.00042976907801235085,0.00019615711495836441
WBGene00011931,srsx-19,0.04,0.0,0.04,-0.0006949602425053883,0.0
WBGene00198075,F57B7.8,0.01,0.04,0.04,-0.00018048191609458368,-0.0007606260960097293
WBGene00001716,grl-7,0.04,0.0,0.04,-3.612385078761233e-05,0.0
WBGene00018112,F36H9.4,0.04,0.0,0.04,0.004011629719051499,0.0
WBGene00020369,exc-15,0.04,0.0,0.04,0.0017330094192599598,0.0
WBGene00002245,lag-1,0.0,0.04,0.04,0.0,-0.0011111587502999933
WBGene00019153,H04M03.3,0.04,0.0,0.04,0.001430238904239422,0.0
WBGene00008877,rtcb-1,0.04,0.04,0.04,-0.0017205113790673783,-0.0006009362253078616
WBGene00006650,tts-1,0.02,0.04,0.04,-0.0001959995643139427,0.0005404235633023637
WBGene00005205,srg-48,0.0,0.04,0.04,0.0,0.0020047481851167633
WBGene00010222,F57G12.2,0.01,0.04,0.04,-0.00042861064086205326,0.0029150222077002387
WBGene00018251,F40H3.3,0.0,0.04,0.04,0.0,0.002260163404206202
WBGene00019317,K02E10.1,0.04,0.0,0.04,-0.0012557162875779964,0.0
WBGene00001844,hid-1,0.04,0.0,0.04,0.00017260158967822973,0.0
WBGene00016911,drn-1,0.0,0.04,0.04,0.0,0.00041889107906783947
WBGene00206374,K10G6.9,0.0,0.04,0.04,0.0,0.0005621975176685204
WBGene00002068,ify-1,0.0,0.04,0.04,0.0,-0.00024011141232983466
WBGene00004184,T19D2.2,0.04,0.01,0.04,0.00019492707003823515,5.237579796483753e-05
WBGene00077443,Y71A12B.19,0.04,0.0,0.04,-0.0010711157634987682,0.0
WBGene00001764,gst-16,0.04,0.0,0.04,0.0007670360006650901,0.0
WBGene00002015,hsp-16.1,0.04,0.0,0.04,0.0007838136321999674,0.0
WBGene00044484,hot-9,0.04,0.0,0.04,0.002102123184450027,0.0
WBGene00000452,ceh-31,0.04,0.0,0.04,-0.002051690283989015,0.0
WBGene00016794,C49H3.9,0.0,0.04,0.04,0.0,-9.414221712528166e-05
WBGene00017743,F23F1.2,0.04,0.0,0.04,-0.0014664487052276048,0.0
WBGene00001482,fog-2,0.0,0.04,0.04,0.0,0.0016690535444706472
WBGene00018076,pifk-1,0.0,0.04,0.04,0.0,0.0018762918454895195
WBGene00016304,fbxc-41,0.04,0.0,0.04,0.0014984068236701604,0.0
WBGene00011220,R10E11.9,0.04,0.0,0.04,-0.001973640060129573,0.0
WBGene00022074,Y69A2AR.1,0.04,0.0,0.04,-0.0005733560777061806,0.0
WBGene00011391,mrps-12,0.04,0.0,0.04,0.00026373334464989157,0.0
WBGene00011350,perm-1,0.01,0.04,0.04,2.0232851509230316e-05,0.006272539024779195
WBGene00015779,lrch-1,0.04,0.0,0.04,-0.0013852728265848064,0.0
WBGene00022026,Y65B4A.2,0.01,0.04,0.04,4.573560817345451e-05,0.001998633475289004
WBGene00195093,Y59E9AL.36,0.04,0.01,0.04,-0.000602760964206125,-1.436535720672131e-05
WBGene00200967,C13C4.11,0.04,0.0,0.04,0.002164762246689088,0.0
WBGene00197847,K12G11.10,0.0,0.04,0.04,0.0,0.001267317605726571
WBGene00011265,R13H4.7,0.0,0.04,0.04,0.0,-0.0005934313225923358
WBGene00000075,adm-4,0.02,0.04,0.04,0.0010330548762543903,-0.001032486173645397
WBGene00008747,phf-31,0.0,0.04,0.04,0.0,0.002988516864097578
WBGene00007972,prp-4,0.0,0.04,0.04,0.0,-0.0012163231113053394
WBGene00017646,F20H11.1,0.04,0.0,0.04,-0.00026385814643953683,0.0
WBGene00016195,erd-2.2,0.04,0.0,0.04,0.0005121755308429179,0.0
WBGene00019965,R08F11.1,0.0,0.04,0.04,0.0,-0.0006012025833360383
WBGene00019963,R08E5.3,0.04,0.0,0.04,0.006303788945419382,0.0
WBGene00045433,F49D11.10,0.04,0.0,0.04,-0.0009816130578042873,0.0
WBGene00021456,rfip-2,0.0,0.04,0.04,0.0,-0.0001555188857396642
WBGene00007409,C07B5.4,0.0,0.04,0.04,0.0,-0.0009867385473533539
WBGene00008538,sqrd-1,0.04,0.0,0.04,0.003380244018796966,0.0
WBGene00000212,asm-2,0.04,0.02,0.04,0.0006920457982858264,4.445428263309117e-05
WBGene00009469,F36D3.1,0.0,0.04,0.04,0.0,-0.0017898223260373253
WBGene00018585,F48A11.4,0.04,0.0,0.04,-0.0010245272389783893,0.0
WBGene00015298,C01F1.3,0.02,0.04,0.04,0.001904546366353501,0.004865202609196475
