train_on,test_on,auc_topology,auc_topo_plus_genes,delta,degradation_from_within
L1_consensus->L2,L2->L3,0.8193249820081885,0.8137620726566799,-0.005562909351508605,0.00523792734332007
L1_consensus->L2,L3->adult,0.8036290164293941,0.8112254122686021,0.007596395839208014,-0.002225412268602067
L2->L3,L1_consensus->L2,0.7125506629156773,0.6982498958372148,-0.014300767078462506,0.021750104162785222
L2->L3,L3->adult,0.8030758884712299,0.7877477267049973,-0.01532816176623264,0.021252273295002788
L3->adult,L1_consensus->L2,0.7215519789235495,0.7158864761136949,-0.005665502809854561,0.004113523886305037
L3->adult,L2->L3,0.8262099493205446,0.7918572689942123,-0.03435268032633232,0.02714273100578768
