motif,wbgene,symbol,rho,p,q_global,q_per_motif
dualinh_anchor,WBGene00022217,fbxa-221,0.45811960243856714,1.176517514867156e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00003999,pgp-5,0.45811960243856714,1.176517514867156e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00002073,ima-2,0.45811960243856714,1.176517514867156e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00007916,C34C6.3,0.45811960243856714,1.176517514867156e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00235286,C01F6.16,0.45811960243856714,1.176517514867156e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00021835,Y54E10A.17,0.44708057587378247,2.013486700409976e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00000521,cky-1,0.44708057587378247,2.013486700409976e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00011822,T18D3.5,0.44708057587378247,2.013486700409976e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00185005,T03F6.10,0.44708057587378247,2.013486700409976e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00269438,Y56A3A.41,0.44708057587378247,2.013486700409976e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00016421,cdc-7,0.44708057587378247,2.013486700409976e-05,0.032384187912412085,0.016192093956206043
dualinh_anchor,WBGene00010818,srt-21,0.4360415493089977,3.383464042581933e-05,0.039906830560906374,0.019953415280453187
dualinh_anchor,WBGene00009435,F35G2.1,0.4360415493089977,3.383464042581933e-05,0.039906830560906374,0.019953415280453187
dualinh_anchor,WBGene00015788,C15B12.8,0.4360415493089977,3.383464042581933e-05,0.039906830560906374,0.019953415280453187
dualinh_anchor,WBGene00015907,C17F3.1,0.4360415493089977,3.383464042581933e-05,0.039906830560906374,0.019953415280453187
plus_anchor,WBGene00004063,pmr-1,0.4287296554548643,4.725293212023196e-05,0.04772242828163021,0.3741457906743656
dualinh_anchor,WBGene00008875,F15H10.8,0.42500252274421296,5.5860359386019923e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00007375,C06C3.4,0.42500252274421296,5.5860359386019923e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00008651,F10D11.5,0.42500252274421296,5.5860359386019923e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00006762,unc-25,0.42500252274421296,5.5860359386019923e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00020954,W02G9.4,0.4207555035211476,6.74350388334137e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00018620,F48G7.9,0.4207555035211476,6.74350388334137e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00045117,M163.12,0.4207555035211476,6.74350388334137e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00021464,ugt-31,0.4207555035211476,6.74350388334137e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00219578,linc-141,0.4207555035211476,6.74350388334137e-05,0.04772242828163021,0.0248554313966824
dualinh_anchor,WBGene00011693,T10G3.2,0.4139634961794281,9.066225528511857e-05,0.053466554016810594,0.027655114146626168
dualinh_anchor,WBGene00000522,clc-1,0.4139634961794281,9.066225528511857e-05,0.053466554016810594,0.027655114146626168
dualinh_anchor,WBGene00005908,srx-17,0.4139634961794281,9.066225528511857e-05,0.053466554016810594,0.027655114146626168
dualinh_anchor,WBGene00003570,ncx-5,0.4139634961794281,9.066225528511857e-05,0.053466554016810594,0.027655114146626168
dualinh_anchor,WBGene00001547,gcy-22,0.4139634961794281,9.066225528511857e-05,0.053466554016810594,0.027655114146626168
dualinh_anchor,WBGene00009496,F36H1.11,0.4106168166893128,0.0001046550802049629,0.054457578793711874,0.028053904227063692
dualinh_anchor,WBGene00001727,grl-18,0.4106168166893128,0.0001046550802049629,0.054457578793711874,0.028053904227063692
