cengen_class,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
AVL,5.0,3.0,8.0,0.0,5.0,2.0,58.0,46.0,0.3333333333333333,8.872791120812401,9.322625105532705,1.0721812756345646,4.640442841030904,20.403394985355437,-0.1827663844587848
AVM,11.0,12.0,23.0,42.0,21.0,6.0,140.0,99.0,0.4772727272727273,5.770587698567027,2.823104776270561,1.1516758270966037,-6.549063469760682,-62.63621064090407,-0.0132127355619508
AWA,7.5,13.5,21.0,47.5,21.0,4.5,74.5,188.5,0.6813186813186813,4.766363812866757,4.8295104391239985,0.07288392842005331,-19.522698028035485,5.178594348721845,0.08052820534596865
AWB,11.0,12.0,23.0,26.0,16.5,5.5,123.0,173.5,0.34465534465534464,-10.229412301432976,-1.6768952237294403,0.6516758270966037,-23.549063469760668,11.86378935909592,-0.14583011817933345
BAG,13.0,12.5,25.5,37.5,28.0,5.0,202.0,200.5,0.3975378787878787,-1.6102050908196794,6.441158936596564,-0.4641395408146822,25.06709365117419,30.940080678376873,-0.04908973446363
BDU,7.5,12.5,20.0,31.0,16.5,4.5,73.0,128.5,0.5321067821067821,-6.872326179921881,1.9766681471560208,0.34929184106060046,-20.750967671555998,-39.8522750400645,-0.0545557880269882
CAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.582065606899057,15.66001569377373,1.095433542533736,23.07557816253285,20.408645256776936,-0.6010205065318923
CEP,12.75,21.25,34.0,61.0,30.75,7.25,201.5,275.75,0.3415236928104575,-20.590400430696526,-4.901675135476378,-0.5730073499705947,25.970450244581812,-24.734919247853497,-0.23508832184462725
DVA,16.0,29.0,45.0,114.0,53.0,6.0,255.0,381.0,0.3599137931034483,-5.997026888478814,0.4255062755812275,-4.741287216770232,28.21157621802448,-36.209289469316616,-0.2434415627366493
DVC,5.0,19.0,24.0,95.0,25.0,3.0,79.0,311.0,1.263157894736842,26.09183100543049,2.968101777020358,-2.3503453266141934,21.292757137359047,45.89730520593707,0.5210116835216455
FLP,2.0,14.5,16.5,51.0,4.0,1.0,17.5,191.0,1.8872549019607843,4.642932716553194,-6.782138058348567,-2.390092602345212,6.387510292754829,-6.082891980933184,1.1323015632668678
HSN,12.5,20.5,33.0,73.0,30.5,5.5,112.0,278.0,0.4186204146730462,-4.888150702065373,-3.5965109812451175,-2.0559999890413074,-59.54475477545539,-11.203178367554244,-0.1537608959156618
IL1,11.166666666666666,9.5,20.666666666666668,24.833333333333332,13.5,4.666666666666667,127.0,90.83333333333333,0.3315690363767287,0.7196845677803599,-0.77219820245422,0.4695613243987207,-21.390402386964066,-33.416646060795976,-0.11935317831870669
