NT,in_pep_only,pep_only_total,in_neither,neither_total,odds_ratio,p_enrichment
ACh,427,1143,3889,7149,0.4999130910705025,1.0
GABA,54,1143,258,7149,1.3244282144916395,0.042521627830745035
Glu,268,1143,1891,7149,0.8516394953539321,0.986174003747358
Dopamine,75,1143,141,7149,3.4903179536218025,2.441784798995431e-15
Serotonin,37,1143,30,7149,7.938607594936709,1.3020820466302592e-15
Octopamine,52,1143,92,7149,3.6560395329374726,9.42671829615423e-12
Tyramine,65,1143,45,7149,9.518862090290662,7.328269819890574e-29
