,delta_auc,contact_only,plus_family
monoamine,0.003297799373294996,0.7818352148871669,0.7851330142604619
FLP_peptides,-0.0003072346428110162,0.7818352148871669,0.7815279802443559
NLP_peptides,-0.00028874676819279355,0.7818352148871669,0.7815464681189741
PDF_peptides,-0.000287831237214764,0.7818352148871669,0.7815473836499521
