transition,auc_topo,auc_gap,auc_full,delta,N,n_pos
L1_cons->L2,0.7197687781454152,0.565312518352514,0.7214128374513438,0.0016440593059285913,33344,724
L2->L3,0.8185858280191229,0.5830993473630424,0.816352924775801,-0.0022329032433219265,32674,410
L3->adult,0.8091040018865643,0.58097375906972,0.8104120170544553,0.0013080151678910301,32700,703
