FilePath,Tag,Text
./data/temp/PLNR.morph.xml,{http://morphml.org/metadata/schema}notes,NeurUnkFunc
./data/temp/ASKR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/RMER.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/properties.xml,comment,"Properties associated with the Cell Mechanism which allow it to be loaded into neuroConstruct.

Note the following: 
   The Cell Mechanism name should not contain spaces and should match the name of the directory it's in
   The name and description here will be replaced by the corresponding values in a ChannelML file if found
   The filenames for the mappings are relative to the cellMechanism/(cellMechInstanceName) directory
   Mechanism Type should only have values: Channel mechanism, Synaptic mechanism, Ion concentration, Point process, Gap junction"
./data/temp/AIMR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/AVAL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/PVNL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/IL1DR.morph.xml,{http://morphml.org/metadata/schema}notes,PolymodalNeuron
./data/temp/RMDVL.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/AWAR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/Octapamine.xml,{http://morphml.org/metadata/schema}notes,ChannelML file describing a single synaptic mechanism
./data/temp/Octapamine.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/Octapamine.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/Octapamine.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/Octapamine.xml,{http://morphml.org/metadata/schema}notes,"Simple example of a synaptic mechanism, which consists of a postsynaptic conductance which changes as 
        double exponential function of time."
./data/temp/RIH.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/ASKL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/SIADR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/ALNR.morph.xml,{http://morphml.org/metadata/schema}notes,NeurUnkFunc
./data/temp/RIR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/I2L.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/AS6.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/BAGL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/AWBL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/SMDDL.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/VD1.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/M1.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/PVR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/AS5.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/DB4.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/DB1.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/ALMR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/OLQVR.morph.xml,{http://morphml.org/metadata/schema}notes,PolymodalNeuron
./data/temp/DD6.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/AS10.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/DB3.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/ADLL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/RMDVR.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/SMBDL.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/Acetylcholine_GJ.xml,{http://morphml.org/metadata/schema}notes,ChannelML file describing a single synaptic mechanism
./data/temp/Acetylcholine_GJ.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/Acetylcholine_GJ.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/Acetylcholine_GJ.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/Acetylcholine_GJ.xml,{http://morphml.org/metadata/schema}notes,Description of an electrical synapse at a gap junction
./data/temp/VA8.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/AWAL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/VB1.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/IL2R.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
