neuron,mse_shared,mse_identity,mse_ridge,delta_id_minus_shared,delta_ridge_minus_shared
ADAL,0.9583904476558402,2.1898419411430057,0.9909900093457636,1.2314514934871654,0.032599561689923395
ADAR,1.1787466466768746,2.189841941143006,0.9909900093457641,1.0110952944661316,-0.18775663733111048
ADEL,0.9968100307530794,2.189841941143005,0.9909900093457625,1.1930319103899254,-0.0058200214073168555
ADER,1.35969752918387,2.1898419411430057,0.9909900093457638,0.8301444119591357,-0.36870751983810623
ADFL,1.2029852896877022,2.189841941143005,0.9909900093457632,0.9868566514553025,-0.21199528034193904
ADFR,0.9961292973542999,2.1898419411430057,0.9909900093457644,1.1937126437887058,-0.00513928800853547
ADLL,0.9026919728129704,2.1898419411430052,0.990990009345764,1.2871499683300347,0.08829803653279356
ADLR,0.9538774181049086,2.189841941143005,0.9909900093457629,1.2359645230380962,0.03711259124085431
AFDL,1.2530380989445156,2.1898419411430052,0.990990009345763,0.9368038421984897,-0.2620480895987526
AFDR,1.0033087475628997,2.189841941143006,0.9909900093457646,1.1865331935801064,-0.012318738217135028
AIAL,1.066525077741898,2.1898419411430052,0.9909900093457629,1.1233168634011073,-0.07553506839613511
AIAR,0.9138350457552624,2.1898419411430057,0.9909900093457641,1.2760068953877433,0.07715496359050167
AIBL,1.3557795431571316,2.1898419411430052,0.9909900093457632,0.8340623979858737,-0.36478953381136836
AIBR,1.1748993720187717,2.189841941143005,0.9909900093457635,1.014942569124233,-0.18390936267300817
AIML,1.2880580907792731,2.189841941143005,0.9909900093457632,0.9017838503637317,-0.29706808143350993
AIMR,0.9400066391874276,2.189841941143004,0.9909900093457635,1.2498353019555763,0.05098337015833598
AINL,0.9696046384926619,2.189841941143005,0.9909900093457636,1.220237302650343,0.02138537085310177
AINR,0.9171767616833202,2.189841941143006,0.9909900093457644,1.272665179459686,0.07381324766244424
AIYL,1.1839703409799875,2.1898419411430057,0.9909900093457626,1.0058716001630181,-0.1929803316342249
AIYR,1.1730295150320895,2.189841941143004,0.9909900093457625,1.0168124261109144,-0.18203950568632699
AIZL,1.2244235200048934,2.1898419411430043,0.9909900093457626,0.9654184211381109,-0.23343351065913076
AIZR,0.7593726903376331,2.1898419411430052,0.9909900093457641,1.430469250805372,0.23161731900813098
ALA,1.3823468290171264,2.189841941143005,0.9909900093457635,0.8074951121258784,-0.3913568196713628
ALML,1.0995020129553865,2.189841941143005,0.990990009345763,1.0903399281876183,-0.10851200360962354
ALMR,1.0529934657394215,2.189841941143006,0.9909900093457641,1.1368484754035846,-0.06200345639365745
ALNL,1.349454648560251,2.1898419411430057,0.9909900093457636,0.8403872925827547,-0.35846463921448735
ALNR,1.3676048699878545,2.1898419411430057,0.9909900093457642,0.8222370711551512,-0.37661486064209027
AQR,1.073726018153771,2.189841941143005,0.990990009345763,1.116115922989234,-0.08273600880800791
ASEL,0.896749451804782,2.189841941143006,0.9909900093457636,1.293092489338224,0.0942405575409816
ASER,0.940118298227921,2.189841941143005,0.9909900093457629,1.2497236429150838,0.050871711117841834
ASGL,1.0036155088633534,2.189841941143005,0.9909900093457632,1.1862264322796514,-0.012625499517590177
ASGR,1.3245990189928643,2.189841941143005,0.9909900093457638,0.8652429221501405,-0.3336090096471005
ASHL,1.0410943094340628,2.1898419411430057,0.9909900093457632,1.148747631708943,-0.05010430008829958
ASHR,0.8965018635004759,2.189841941143005,0.990990009345763,1.293340077642529,0.09448814584528709
ASIL,1.2845975698449195,2.1898419411430052,0.9909900093457636,0.9052443712980858,-0.2936075604991558
ASIR,1.0910650211938657,2.189841941143005,0.9909900093457636,1.098776919949139,-0.10007501184810208
ASJL,1.243560988932694,2.1898419411430043,0.9909900093457635,0.9462809522103104,-0.2525709795869304
ASJR,0.9342025208246768,2.189841941143005,0.9909900093457634,1.255639420318328,0.056787488521086615
ASKL,1.0520513402118084,2.189841941143006,0.9909900093457645,1.1377906009311978,-0.06106133086604382
ASKR,1.4894609371604204,2.1898419411430052,0.9909900093457636,0.7003810039825848,-0.49847092781465674
AUAL,1.2821080038255377,2.1898419411430052,0.9909900093457636,0.9077339373174675,-0.29111799447977404
AUAR,0.9302319424283813,2.1898419411430052,0.9909900093457641,1.259609998714624,0.060758066917382836
AVAL,0.9544348709359238,2.1898419411430057,0.9909900093457641,1.2354070702070818,0.03655513840984026
AVAR,1.0005011013538847,2.1898419411430052,0.9909900093457641,1.1893408397891205,-0.009511092008120614
AVBL,1.0145448284932994,2.1898419411430052,0.9909900093457638,1.1752971126497058,-0.023554819147535655
AVBR,0.8532503532585064,2.1898419411430057,0.9909900093457636,1.3365915878844992,0.13773965608725725
AVDL,0.9036745397332466,2.1898419411430052,0.9909900093457638,1.2861674014097586,0.08731546961251713
AVDR,0.960186721200055,2.189841941143005,0.9909900093457636,1.2296552199429498,0.03080328814570865
AVEL,1.1270979164164483,2.189841941143004,0.9909900093457622,1.0627440247265556,-0.1361079070706861
AVER,1.1735006788460565,2.1898419411430066,0.9909900093457636,1.01634126229695,-0.18251066950029282
AVFL,1.119127940475129,2.1898419411430052,0.9909900093457638,1.0707140006678761,-0.12813793112936533
AVFR,1.0938833118418871,2.189841941143006,0.9909900093457644,1.095958629301119,-0.10289330249612272
AVHL,1.2886635753742461,2.1898419411430052,0.990990009345764,0.9011783657687591,-0.29767356602848216
AVHR,1.12601511290419,2.1898419411430066,0.9909900093457645,1.0638268282388166,-0.13502510355842545
AVJL,1.0569967280058117,2.1898419411430052,0.9909900093457634,1.1328452131371936,-0.06600671866004826
AVJR,0.8527999824097057,2.1898419411430057,0.9909900093457646,1.3370419587333,0.13819002693605897
AVKL,1.1426258482219058,2.189841941143005,0.9909900093457631,1.047216092921099,-0.15163583887614274
AVKR,1.2102817666115842,2.1898419411430057,0.9909900093457631,0.9795601745314215,-0.21929175726582106
AVL,0.964829216431443,2.1898419411430057,0.9909900093457645,1.2250127247115628,0.026160792914321496
AVM,1.097415906126144,2.189841941143005,0.9909900093457636,1.0924260350168609,-0.10642589678038028
AWAL,0.9052296564194898,2.1898419411430052,0.9909900093457636,1.2846122847235155,0.08576035292627382
AWAR,0.9922993820102401,2.1898419411430057,0.9909900093457642,1.1975425591327655,-0.0013093726644759496
AWBL,1.160213078766927,2.1898419411430052,0.9909900093457625,1.0296288623760783,-0.16922306942116438
AWBR,0.9582518530039499,2.189841941143006,0.9909900093457645,1.2315900881390562,0.03273815634181465
AWCL,1.3054981797463532,2.189841941143006,0.9909900093457641,0.8843437613966529,-0.3145081704005891
AWCR,1.1260134080549309,2.189841941143006,0.9909900093457645,1.0638285330880752,-0.13502339870916635
BAGL,1.0974782820072269,2.1898419411430043,0.9909900093457629,1.0923636591357775,-0.10648827266146399
BAGR,1.0356220629639998,2.189841941143005,0.9909900093457632,1.154219878179005,-0.04463205361823663
BDUL,1.2379779901240449,2.189841941143005,0.9909900093457635,0.9518639510189599,-0.24698798077828132
BDUR,1.2024395026406198,2.1898419411430057,0.9909900093457642,0.9874024385023858,-0.21144949329485563
CANR,1.1743385731377685,2.1898419411430057,0.9909900093457631,1.0155033680052372,-0.18334856379200537
CEPDL,0.9449565729705666,2.189841941143006,0.9909900093457644,1.2448853681724397,0.046033436375197856
CEPDR,1.2447532957847338,2.1898419411430052,0.9909900093457635,0.9450886453582714,-0.2537632864389703
CEPVL,1.4315512194985687,2.1898419411430052,0.9909900093457646,0.7582907216444366,-0.44056121015280403
CEPVR,1.215994100191583,2.1898419411430052,0.990990009345764,0.9738478409514222,-0.22500409084581907
DVA,1.4426875595409205,2.1898419411430043,0.9909900093457624,0.7471543816020838,-0.4516975501951581
DVC,0.9223237097467833,2.1898419411430043,0.9909900093457631,1.267518231396221,0.06866629959897974
FLPL,1.3679165705385605,2.1898419411430052,0.9909900093457644,0.8219253706044447,-0.3769265611927961
FLPR,1.1949699414302684,2.1898419411430057,0.9909900093457642,0.9948719997127373,-0.20397993208450416
HSNL,0.9209476032557626,2.1898419411430066,0.990990009345764,1.268894337887244,0.07004240609000134
HSNR,0.9409896036596506,2.1898419411430057,0.9909900093457635,1.2488523374833551,0.05000040568611297
IL1DL,1.1621270214938821,2.1898419411430052,0.9909900093457636,1.027714919649123,-0.1711370121481185
IL1DR,1.0247624322129194,2.189841941143004,0.9909900093457625,1.1650795089300845,-0.03377242286715687
IL1L,1.0261879889883914,2.189841941143004,0.9909900093457625,1.1636539521546125,-0.03519797964262883
IL1R,1.6387081868850515,2.189841941143005,0.9909900093457634,0.5511337542579533,-0.6477181775392881
IL1VL,1.2104624192460318,2.1898419411430066,0.9909900093457645,0.9793795218969747,-0.21947240990026728
IL1VR,1.3081879164614738,2.1898419411430057,0.9909900093457644,0.8816540246815319,-0.3171979071157094
IL2DL,1.412369480165981,2.1898419411430052,0.9909900093457635,0.7774724609770243,-0.4213794708202174
IL2DR,1.1981355913388783,2.1898419411430052,0.9909900093457641,0.991706349804127,-0.20714558199311417
IL2L,1.3389289096641355,2.1898419411430052,0.9909900093457636,0.8509130314788698,-0.3479389003183718
IL2R,0.8583099705372932,2.1898419411430057,0.990990009345764,1.3315319706057125,0.1326800388084708
IL2VL,0.8303874236945014,2.1898419411430052,0.9909900093457634,1.359454517448504,0.16060258565126206
IL2VR,1.1831410207661035,2.189841941143005,0.9909900093457632,1.0067009203769013,-0.1921510114203403
OLLL,0.9925882275365424,2.1898419411430057,0.9909900093457636,1.1972537136064632,-0.0015982181907787663
OLLR,1.4230008202670459,2.189841941143006,0.9909900093457636,0.7668411208759602,-0.43201081092128224
OLQDL,1.0712982905506963,2.1898419411430052,0.9909900093457642,1.118543650592309,-0.08030828120493205
OLQDR,1.2459736291798529,2.1898419411430052,0.990990009345764,0.9438683119631524,-0.2549836198340889
OLQVL,0.9627378453073459,2.1898419411430052,0.9909900093457638,1.2271040958356594,0.028252164038417904
OLQVR,1.0109079119357762,2.1898419411430066,0.9909900093457646,1.1789340292072303,-0.019917902590011582
PLNL,1.2698641960910277,2.189841941143006,0.9909900093457645,0.9199777450519784,-0.2788741867452632
PLNR,1.4065064492052,2.1898419411430052,0.990990009345764,0.7833354919378053,-0.415516439859436
PVCL,1.1528492671826498,2.1898419411430052,0.9909900093457642,1.0369926739603554,-0.1618592578368856
PVCR,1.2596368414162076,2.189841941143005,0.9909900093457634,0.9302050997267972,-0.26864683207044415
PVPL,1.3142550750200794,2.189841941143005,0.9909900093457631,0.8755868661229254,-0.32326506567431634
PVPR,0.5909570462319871,2.1898419411430057,0.9909900093457638,1.5988848949110186,0.4000329631137767
PVQL,1.1539404203460335,2.1898419411430057,0.990990009345764,1.0359015207969722,-0.16295041100026952
PVQR,1.1252402520114337,2.189841941143005,0.9909900093457631,1.064601689131571,-0.13425024266567065
PVR,0.9692585422020861,2.1898419411430052,0.9909900093457632,1.2205833989409192,0.02173146714367713
PVT,1.0375568512838134,2.189841941143006,0.9909900093457644,1.1522850898591928,-0.04656684193804894
RIAL,1.1202104936044497,2.1898419411430052,0.9909900093457632,1.0696314475385555,-0.12922048425868649
RIAR,0.9785794051228937,2.1898419411430057,0.9909900093457638,1.211262536020112,0.012410604222870103
RIBL,1.301052350560126,2.1898419411430057,0.990990009345763,0.8887895905828798,-0.31006234121436294
RIBR,1.073449537784368,2.189841941143004,0.9909900093457625,1.1163924033586359,-0.08245952843860549
RICL,1.285193726752165,2.189841941143006,0.9909900093457644,0.9046482143908412,-0.2942037174064005
RICR,0.7670328892939634,2.1898419411430043,0.9909900093457629,1.422809051849041,0.22395712005179946
RID,0.7968733420558614,2.1898419411430057,0.9909900093457642,1.3929685990871443,0.19411666728990284
RIFL,1.0333825770528546,2.1898419411430057,0.9909900093457641,1.156459364090151,-0.042392567707090545
RIFR,1.0127202440873486,2.1898419411430043,0.9909900093457636,1.1771216970556557,-0.021730234741584975
RIGL,1.1311824795421892,2.1898419411430052,0.9909900093457641,1.058659461600816,-0.1401924701964251
RIGR,1.102875116429116,2.189841941143005,0.9909900093457631,1.0869668247138888,-0.11188510708335286
RIH,0.9769459946756381,2.1898419411430057,0.9909900093457634,1.2128959464673676,0.014044014670125282
RIML,1.247925114752075,2.1898419411430043,0.9909900093457625,0.9419168263909294,-0.25693510540631237
RIMR,0.8908319449412531,2.1898419411430052,0.9909900093457632,1.299009996201752,0.10015806440451014
RIPL,0.8894037473739403,2.189841941143005,0.9909900093457642,1.3004381937690646,0.10158626197182385
RIPR,1.0085428083004608,2.1898419411430043,0.9909900093457632,1.1812991328425435,-0.017552798954697635
RIR,1.0265313233386417,2.1898419411430057,0.9909900093457644,1.163310617804364,-0.0355413139928773
RIS,0.8260470018848057,2.189841941143005,0.9909900093457634,1.3637949392581992,0.1649430074609577
RIVL,0.9818475097677711,2.1898419411430066,0.9909900093457645,1.2079944313752353,0.009142499577993402
RIVR,0.923654786057406,2.1898419411430052,0.9909900093457641,1.2661871550855992,0.06733522328835806
RMDDL,0.8178485995114093,2.1898419411430057,0.9909900093457636,1.3719933416315964,0.17314140983435433
RMDDR,0.8346656597310672,2.189841941143005,0.9909900093457632,1.3551762814119375,0.156324349614696
RMDL,1.0773842301957204,2.189841941143006,0.9909900093457636,1.1124577109472857,-0.08639422084995674
RMDR,1.3751672188187114,2.1898419411430066,0.9909900093457638,0.8146747223242952,-0.38417720947294764
RMDVL,1.1079116160456186,2.189841941143006,0.9909900093457642,1.0819303250973875,-0.11692160669985441
RMDVR,1.0407615576726885,2.1898419411430043,0.9909900093457631,1.1490803834703158,-0.04977154832692543
RMED,0.9220921771202234,2.1898419411430043,0.9909900093457625,1.2677497640227808,0.06889783222553914
RMEL,0.921879631036991,2.1898419411430057,0.9909900093457645,1.2679623101060147,0.06911037830877353
RMER,1.0292421694518747,2.189841941143006,0.9909900093457646,1.1605997716911314,-0.0382521601061101
RMEV,0.7263332507235357,2.1898419411430052,0.9909900093457635,1.4635086904194696,0.2646567586222278
RMFL,1.0362555483817324,2.1898419411430057,0.9909900093457641,1.1535863927612733,-0.045265539035968305
RMFR,1.0395461599265168,2.1898419411430052,0.9909900093457632,1.1502957812164885,-0.048556150580753576
RMGL,1.252547515653451,2.1898419411430052,0.9909900093457635,0.9372944254895543,-0.26155750630768737
RMGR,0.9620985530186711,2.1898419411430066,0.9909900093457648,1.2277433881243356,0.028891456327093668
RMHL,1.1743586252795584,2.189841941143005,0.9909900093457638,1.0154833158634464,-0.1833686159337946
RMHR,1.0667781198446473,2.1898419411430052,0.9909900093457642,1.123063821298358,-0.07578811049888312
SAADL,1.3701375600262449,2.189841941143005,0.9909900093457638,0.8197043811167599,-0.3791475506804811
SAADR,0.7533716471246337,2.189841941143005,0.9909900093457638,1.4364702940183711,0.23761836222113009
SAAVL,0.9004477513778504,2.1898419411430052,0.9909900093457641,1.2893941897651549,0.09054225796791371
SAAVR,1.0994833537806388,2.1898419411430043,0.990990009345763,1.0903585873623656,-0.1084933444348758
SDQL,0.9318387878767657,2.189841941143005,0.9909900093457629,1.2580031532662392,0.059151221468997206
SDQR,1.320005406753414,2.1898419411430057,0.9909900093457638,0.8698365343895917,-0.3290153974076502
SIADL,1.1920311114380255,2.1898419411430057,0.990990009345764,0.9978108297049801,-0.20104110209226156
SIADR,1.3240283465770093,2.1898419411430057,0.990990009345764,0.8658135945659964,-0.3330383372312453
SIAVL,1.1961673190672089,2.189841941143005,0.9909900093457635,0.9936746220757959,-0.20517730972144532
SIAVR,0.860622800059783,2.189841941143005,0.9909900093457634,1.3292191410832217,0.13036720928598045
SIBDL,1.18880632021905,2.189841941143005,0.9909900093457634,1.0010356209239548,-0.19781631087328655
SIBDR,1.1650571125833695,2.189841941143005,0.9909900093457636,1.0247848285596353,-0.17406710323760588
SIBVL,1.0807989171739025,2.1898419411430052,0.9909900093457636,1.1090430239691027,-0.08980890782813888
SIBVR,1.2692201517481039,2.189841941143005,0.9909900093457634,0.9206217893949009,-0.27823014240234045
SMBDL,1.2589771176358635,2.189841941143006,0.9909900093457645,0.9308648235071426,-0.267987108290099
SMBDR,0.9599565933968134,2.1898419411430052,0.9909900093457636,1.2298853477461917,0.03103341594895026
SMBVL,0.8898140268598508,2.1898419411430052,0.990990009345764,1.3000279142831546,0.1011759824859132
SMBVR,1.166003198744204,2.1898419411430052,0.9909900093457632,1.0238387423988011,-0.1750131893984409
SMDDL,1.4329924623139496,2.189841941143005,0.990990009345764,0.7568494788290552,-0.44200245296818563
SMDDR,1.1596660645065355,2.1898419411430057,0.9909900093457631,1.0301758766364701,-0.16867605516077244
SMDVL,1.0741085022242403,2.1898419411430057,0.9909900093457636,1.1157334389187654,-0.08311849287847661
SMDVR,0.7562670446174784,2.1898419411430057,0.9909900093457641,1.4335748965255273,0.2347229647282857
URADL,1.1295995985441807,2.1898419411430057,0.990990009345764,1.060242342598825,-0.1386095891984167
URADR,1.1577885800628827,2.189841941143005,0.990990009345763,1.0320533610801221,-0.16679857071711968
URAVL,1.1529058041582358,2.189841941143005,0.9909900093457635,1.036936136984769,-0.1619157948124723
URAVR,1.248574594222603,2.1898419411430052,0.9909900093457641,0.9412673469204023,-0.2575845848768389
URBL,0.9388201491467547,2.189841941143005,0.9909900093457635,1.25102179199625,0.05216986019900882
URBR,0.8780185216630281,2.1898419411430057,0.9909900093457636,1.3118234194799776,0.11297148768273557
URXL,0.9646047273952851,2.1898419411430057,0.9909900093457636,1.2252372137477205,0.026385281950478512
URXR,1.127832502651951,2.189841941143005,0.9909900093457631,1.062009438491054,-0.1368424933061878
URYDL,0.9355176255585304,2.1898419411430057,0.9909900093457638,1.2543243155844754,0.055472383787233404
URYDR,1.097026587110286,2.1898419411430052,0.9909900093457635,1.0928153540327192,-0.10603657776452247
URYVL,1.0012431428656579,2.189841941143006,0.9909900093457645,1.1885987982773483,-0.01025313351989332
URYVR,0.9846129559241469,2.1898419411430052,0.9909900093457631,1.2052289852188585,0.006377053421616208
