cycle_id,corr
0,0.5950785171302073
1,0.5944141449276248
2,0.595277115133671
3,0.5956647876357951
4,0.5957203026346054
5,0.5951373961586232
6,0.5951977809438868
7,0.5952486465529626
8,0.5952142090922393
9,0.5955295598997765
10,0.5957746699795062
11,0.5953243188758984
12,0.5948158375627322
13,0.595260923656629
14,0.595271334592934
15,0.5953191376877061
16,0.5958643389830993
17,0.595375694327862
18,0.5954273522252409
19,0.5950588912841432
20,0.5955909826486764
21,0.5949431587503162
22,0.5948489839894122
23,0.5958999302826459
24,0.5951815263101288
25,0.5952635346399061
26,0.5949212102327309
27,0.5953774133452199
28,0.5948983068651446
29,0.5949993757357468
30,0.5945944313554058
31,0.595044372440144
32,0.5940268114237446
33,0.5956663303423677
34,0.595606919557504
35,0.5955121542326319
36,0.5943962426895983
37,0.5947339173659424
38,0.5947387305465968
39,0.5955630724013004
40,0.5951561617094279
41,0.5952031677442468
42,0.5956904853835505
43,0.5953485276143106
44,0.5950069354325924
45,0.5952584118443665
46,0.5943637447751238
47,0.5952242847148097
48,0.5955865870662601
49,0.5955792832777835
50,0.59505788180386
51,0.5946814861615479
52,0.5951233246153014
53,0.5953763203242511
54,0.5954176060165349
55,0.5944659852749773
56,0.5950566072049531
57,0.5942505085400316
58,0.5945492560658215
59,0.5953054210567924
60,0.5950770198934575
61,0.5949146496888266
62,0.5952045915508053
63,0.5944887210442803
64,0.5954410195879883
65,0.5953146989977537
66,0.5954536096917046
67,0.5952722164271573
68,0.5948188217607804
69,0.5934384341648734
70,0.5956946754852038
71,0.5950862399193497
72,0.59553728720209
73,0.5954853327937731
74,0.5954177861437632
75,0.5951677804862383
76,0.5952846860260289
77,0.5951619127931864
78,0.5949649820491104
79,0.5956303887247584
80,0.5952825785523105
81,0.5954529316421695
82,0.5956647876357951
83,0.5951079876299442
84,0.5956873370900556
85,0.5950086515392006
86,0.5957087972870981
87,0.595543773289709
88,0.5953200061148652
89,0.5950833434579174
90,0.5954370608928411
91,0.5956647876357951
92,0.5954785984989861
93,0.5957090368807233
94,0.5953338262752323
95,0.5959186343558923
96,0.595520494272384
97,0.595589117912676
98,0.5952361268384867
99,0.5952384726620561
100,0.5953999820099481
101,0.5955501652243745
102,0.5951443860233848
103,0.5958000081303206
104,0.5955973730028162
105,0.5952325369863871
106,0.5957269374674542
107,0.5953557446498369
108,0.5953891733634262
109,0.5957197701670292
110,0.5952469853544468
111,0.5949821510173956
112,0.595692769881593
113,0.5957469929288696
114,0.5946918880282385
115,0.5955374852043235
116,0.5953223909272854
117,0.5949758414081568
118,0.5953381210691597
119,0.5956789718668222
120,0.5956653174983876
121,0.5952740065638868
122,0.5956867293096323
123,0.5950472795796895
124,0.5957010010546342
125,0.5948311300928394
126,0.5955118090791768
127,0.5955194478506198
128,0.5953400408855085
129,0.5954093381051967
130,0.5955208161807084
131,0.5947398426027973
132,0.59562516945241
133,0.5952882186624716
134,0.5952805080275267
135,0.5951767127746079
136,0.5955370578189122
137,0.5950477963476853
138,0.595317041216584
139,0.5954041320354122
140,0.5952411467274622
141,0.5952220281011976
142,0.5948941084387394
143,0.5952968252373656
144,0.5957279235941075
145,0.5953256085721225
146,0.5952796114374557
147,0.5950078347498996
148,0.5950923236737232
149,0.5953632089200094
150,0.5952407787635068
151,0.5955128320437431
152,0.5953559918149037
153,0.5948485520961874
154,0.5956649411180157
155,0.5953979864134454
156,0.5951404199749336
157,0.5951911388061175
158,0.5949324180995881
159,0.5949475996933128
160,0.5956245783243892
161,0.5949093167403471
162,0.5947480033503194
163,0.594424125625842
164,0.5953978366329412
165,0.5954475461872378
166,0.5950628121739077
167,0.5955514807062996
168,0.5954054947797832
169,0.5954264940764041
170,0.5957215686374362
171,0.5950390201139102
172,0.5954134785914401
173,0.595539620133295
174,0.5954484040936776
175,0.5947933020703284
176,0.5955705547680664
177,0.5943770698031895
178,0.5952646218653826
179,0.5953381282109388
180,0.5953245746808413
181,0.5952582819363418
182,0.5957187888453362
183,0.5952237333299484
184,0.5958124062656488
185,0.5953637859642056
186,0.5954740374562502
187,0.5948997869613574
188,0.5950583722795624
189,0.5946238179396057
190,0.5950635986506219
191,0.595675270706928
192,0.5945827180795702
193,0.5954305329752142
194,0.5954934414210077
195,0.5950028293175587
196,0.5946144526798515
197,0.5954848409135645
198,0.5952800021416543
199,0.594365443916416
200,0.5954231345630886
201,0.5949355340319964
202,0.5946183023588792
203,0.5948674453006761
204,0.5957041390984015
205,0.5954926461427866
206,0.5957863578755377
207,0.5957992186959301
208,0.5954325327304035
209,0.5955110066136214
210,0.5954548576084493
211,0.5946697143869627
212,0.5946372501065532
213,0.5945588396164324
214,0.5955150378466624
215,0.5945745587186957
216,0.5949692709066671
217,0.5956484150070285
218,0.5951608691099349
219,0.595395259459674
220,0.5975625836321727
221,0.5962155340258023
222,0.5951432817717848
223,0.5957091523370103
224,0.5952760894040301
225,0.5953025167596742
226,0.5952787886114602
227,0.5954914250532207
228,0.5955739895493041
229,0.5949993180394507
230,0.5951904274716222
231,0.5942933922703344
232,0.59571072329328
233,0.5949785451893861
234,0.5952435198806909
235,0.5954346539994608
236,0.5952721182012588
237,0.5958414700101453
238,0.5956016278255574
239,0.5949563030851408
240,0.5952401922126835
241,0.5957203026346054
242,0.5952841174042451
243,0.5956441938405788
244,0.5952769208634885
245,0.5947580336428387
246,0.5950396434656693
247,0.5949492080436037
248,0.5957421443519031
249,0.5954113934281421
250,0.5954496433922968
251,0.5952504016963859
252,0.595854066098762
253,0.5953891827954595
254,0.5959776268816613
255,0.5954087942469123
256,0.5953829942013188
257,0.5951803329276223
258,0.5952673819354978
259,0.5950990797912871
260,0.5953073311674171
261,0.5948058422845364
262,0.594963437186337
263,0.5946469419210272
264,0.5946827950669097
265,0.5947380270394643
266,0.5957173070300832
267,0.5948221478804641
268,0.5955397612742507
269,0.5952971597446255
270,0.5954718835062813
271,0.595903699020544
272,0.5955349939973495
273,0.5953194123504776
274,0.5956820491125765
275,0.5954957224145853
276,0.5953706229190416
277,0.5947989011621069
278,0.5949480517273574
279,0.5957200172107583
280,0.5955335774102811
281,0.5953716324129696
282,0.5953781248948544
283,0.5954078946726464
284,0.595641961463704
285,0.5952162324726854
286,0.5954536410459975
287,0.5955791437709986
288,0.5952029299810367
289,0.5953489657586367
290,0.5946962467464572
291,0.5951755425499984
292,0.5956769834817076
293,0.5950326886329943
294,0.5957283704879958
295,0.5956686910491366
296,0.5956881485261898
297,0.5945834854905008
298,0.5948458734813947
299,0.5952475752596754
300,0.5951817314068901
301,0.5944987883265871
302,0.5947289860963122
303,0.5953402662373414
304,0.5953772974982356
305,0.5942881244212104
306,0.5955948425232519
307,0.5952381572270451
308,0.5944145298362015
309,0.5953241061466308
310,0.5952964486356381
311,0.595200916117117
312,0.5952411624052116
313,0.5958208074700568
314,0.5953500891118592
315,0.5955744548952924
316,0.5950959294612673
317,0.5942840530807328
318,0.5953103197980486
319,0.5952853756858293
320,0.5946161035496874
321,0.5955028308073912
322,0.5955123285965678
323,0.5954781884750165
324,0.5950674370038709
325,0.5949235908971278
326,0.5955754739305682
327,0.5960046698748656
328,0.5962056430077319
329,0.5954575613713669
330,0.5954718315326181
331,0.5949559783961217
332,0.5955327346633525
333,0.5937685354207334
334,0.594957385923731
335,0.5957339858824281
336,0.594462869936866
337,0.5953987632718972
338,0.5932743169559274
339,0.59563205219196
340,0.5946007031504734
341,0.5953730005561427
342,0.5956040706172419
343,0.5958741252212526
344,0.5957051372723412
345,0.5949718558774149
346,0.5954656327024066
347,0.5956602154341153
348,0.5951055135550123
349,0.5953049670174341
350,0.5959180888618985
351,0.5953157372555535
352,0.5952326491854804
353,0.5955973280807662
354,0.5953689948973961
355,0.596078360902739
356,0.5957172834335964
357,0.5954892141193693
358,0.5951347901372335
359,0.5956653174983876
360,0.5947830150157217
361,0.5952180563889938
362,0.5952005917193356
363,0.5955520958399929
364,0.5954882922599072
365,0.5941478269925673
366,0.5961379855205969
367,0.5956021410303174
368,0.595436196031259
369,0.5950418233973435
370,0.5951135996418798
371,0.5947759460628457
372,0.5948089505644379
373,0.5951964234879874
374,0.5957185327943187
375,0.5953528185407911
376,0.5948151273264312
377,0.5953981695785502
378,0.595564111959348
379,0.5948285993566766
380,0.5956647876357951
381,0.5949128417038774
382,0.5955259245874441
383,0.5952788538252543
384,0.5954803699281249
385,0.5951208988439363
386,0.5951226678882501
387,0.5945700778926378
388,0.5947727246569614
389,0.5951488587065774
390,0.5952592938442551
391,0.5955690336875241
392,0.5955280666004186
393,0.5955964452893341
394,0.5956194573198353
395,0.5955774613871939
396,0.59539396872034
397,0.5955887716073958
398,0.5956850774693712
399,0.5953159460172415
400,0.5952714915484836
401,0.5953733742967653
402,0.5955883089555448
403,0.5954632234795743
404,0.5952994411067538
405,0.5953047342567384
406,0.5951457328955609
407,0.5949261147966118
408,0.5951961136629659
409,0.5952224797243477
410,0.5953178692107236
411,0.5947120181664645
412,0.5953368602659805
413,0.595648856903718
414,0.5951207923417459
415,0.5949158861694925
416,0.5948945462914077
417,0.5952370159617315
