,Gene_Idx,Saliency
11281,11281,5.544458e-05
19290,19290,5.5414046e-05
21867,21867,5.541017e-05
5210,5210,5.540842e-05
2593,2593,5.5384007e-05
21400,21400,5.5382763e-05
128,128,5.5376266e-05
11480,11480,5.537488e-05
2165,2165,5.5356933e-05
8883,8883,5.5346867e-05
15004,15004,5.534606e-05
13854,13854,5.5321492e-05
18756,18756,5.5320335e-05
14614,14614,5.5317185e-05
2142,2142,5.531639e-05
16979,16979,5.5309436e-05
2587,2587,5.5302397e-05
12925,12925,5.527833e-05
20951,20951,5.526298e-05
15638,15638,5.5247398e-05
19951,19951,5.5242996e-05
20934,20934,5.522941e-05
21976,21976,5.5219924e-05
8578,8578,5.521591e-05
19437,19437,5.520958e-05
12876,12876,5.516181e-05
4854,4854,5.5159864e-05
4060,4060,5.5159522e-05
5298,5298,5.5149794e-05
12331,12331,5.5134427e-05
14330,14330,5.51177e-05
411,411,5.510927e-05
5266,5266,5.510579e-05
9882,9882,5.510448e-05
18072,18072,5.509289e-05
12845,12845,5.5089862e-05
14878,14878,5.5088974e-05
10970,10970,5.5082874e-05
9971,9971,5.5074717e-05
11220,11220,5.507016e-05
11583,11583,5.503531e-05
18544,18544,5.5034605e-05
1521,1521,5.49984e-05
15410,15410,5.497845e-05
5375,5375,5.4969973e-05
21713,21713,5.4953463e-05
10205,10205,5.494717e-05
19442,19442,5.4922497e-05
4612,4612,5.4921453e-05
21519,21519,5.4914584e-05
10950,10950,5.491261e-05
9719,9719,5.4905613e-05
11051,11051,5.4905446e-05
16637,16637,5.490379e-05
21327,21327,5.489738e-05
10796,10796,5.4893808e-05
18442,18442,5.4887263e-05
5513,5513,5.4885197e-05
1182,1182,5.4883218e-05
971,971,5.485146e-05
20241,20241,5.483032e-05
1313,1313,5.482284e-05
5973,5973,5.481489e-05
3193,3193,5.4813565e-05
4717,4717,5.4796223e-05
20502,20502,5.4794735e-05
7114,7114,5.478845e-05
19262,19262,5.4786236e-05
10380,10380,5.4777553e-05
3466,3466,5.4729906e-05
2157,2157,5.4727025e-05
15392,15392,5.4712807e-05
7168,7168,5.4701366e-05
4571,4571,5.469769e-05
15932,15932,5.4689222e-05
1104,1104,5.4681248e-05
16281,16281,5.4675475e-05
8782,8782,5.4673907e-05
8431,8431,5.467002e-05
11894,11894,5.4660894e-05
18950,18950,5.4655153e-05
21886,21886,5.46549e-05
5032,5032,5.4652402e-05
17185,17185,5.4647368e-05
11486,11486,5.4641092e-05
11315,11315,5.463915e-05
1478,1478,5.4634074e-05
204,204,5.4629036e-05
12843,12843,5.4627984e-05
19260,19260,5.462077e-05
15493,15493,5.4604996e-05
21427,21427,5.4604618e-05
12026,12026,5.460263e-05
548,548,5.4593922e-05
6935,6935,5.4588265e-05
4631,4631,5.456407e-05
10816,10816,5.4559572e-05
481,481,5.4555694e-05
12429,12429,5.4555032e-05
15140,15140,5.454864e-05
6282,6282,5.454758e-05
10749,10749,5.4534936e-05
20910,20910,5.453221e-05
290,290,5.4526692e-05
155,155,5.4526354e-05
20382,20382,5.452063e-05
6684,6684,5.4503416e-05
4383,4383,5.4502936e-05
12532,12532,5.4488064e-05
