Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,SymbolicRole
Neuron_0,0,54.762474,12.562078,ADAL,Effector 🔧
Neuron_1,0,56.59917,16.76889,ADAR,Effector 🔧
Neuron_2,0,53.8111,14.155052,ADEL,Effector 🔧
Neuron_3,0,51.737907,-0.19877544,ADER,Effector 🔧
Neuron_4,0,38.0243,-9.854448,ADF,Effector 🔧
Neuron_5,0,44.55373,-6.012557,ADFL,Effector 🔧
Neuron_6,0,56.81977,18.693596,ADFR,Effector 🔧
Neuron_7,0,55.368546,11.499727,ADL,Effector 🔧
Neuron_8,0,0.1010961,-13.7643795,ADLL,Effector 🔧
Neuron_9,0,53.485558,8.791423,ADLR,Effector 🔧
Neuron_10,0,55.453278,14.046073,AINL,Effector 🔧
Neuron_11,0,49.513485,-5.619223,AINR,Effector 🔧
Neuron_12,0,52.253815,5.828279,AIZL,Effector 🔧
Neuron_13,0,51.157906,12.036619,AIZR,Effector 🔧
Neuron_14,0,47.162136,3.3733149,ALA,Effector 🔧
Neuron_15,0,42.648155,-6.202831,ALML,Effector 🔧
Neuron_16,0,48.854553,-6.5678844,ALMR,Effector 🔧
Neuron_17,0,48.231792,-8.102285,ALNL,Effector 🔧
Neuron_18,0,57.633408,15.7111845,ALNR,Effector 🔧
Neuron_19,0,58.038383,13.355235,AQR,Effector 🔧
Neuron_20,0,59.06732,16.614544,ASEL,Effector 🔧
Neuron_21,0,48.125053,3.0329468,ASER,Effector 🔧
Neuron_22,0,47.294735,-5.002648,ASGL,Effector 🔧
Neuron_23,0,47.11769,-9.1945095,ASGR,Effector 🔧
Neuron_24,0,59.08128,17.648464,ASHL,Effector 🔧
Neuron_25,0,58.855965,17.206768,ASHR,Effector 🔧
Neuron_26,0,43.922848,-8.690645,ASIL,Effector 🔧
Neuron_27,0,49.861874,8.964048,ASIR,Effector 🔧
Neuron_28,0,55.497074,20.06361,ASJL,Effector 🔧
Neuron_29,0,55.253475,19.754843,ASJR,Effector 🔧
Neuron_30,0,57.579273,14.980728,ASKL,Effector 🔧
Neuron_31,0,55.051487,19.31709,ASKR,Effector 🔧
Neuron_32,0,55.25707,12.322479,AUAL,Effector 🔧
Neuron_33,0,49.08656,9.909037,AUAR,Effector 🔧
Neuron_34,0,48.528988,3.0709703,AVAL,Effector 🔧
Neuron_35,0,54.07365,9.57099,AVAR,Effector 🔧
Neuron_36,0,52.81511,1.1174542,AVBL,Effector 🔧
Neuron_37,0,47.037476,-0.84164155,AVBR,Effector 🔧
Neuron_38,0,53.807697,11.160464,AVDL,Effector 🔧
Neuron_39,0,42.43251,-10.644153,AVDR,Effector 🔧
Neuron_40,0,47.11717,-10.53148,AVEL,Effector 🔧
Neuron_41,0,53.592056,10.22304,AVER,Effector 🔧
Neuron_42,0,46.614716,3.5786378,AVFL,Effector 🔧
Neuron_43,0,51.77795,2.2447093,AVFR,Effector 🔧
Neuron_44,0,57.85921,16.260986,AVG,Effector 🔧
Neuron_45,0,45.50558,-4.7189155,AVHL,Effector 🔧
Neuron_46,0,51.64641,-1.2328756,AVHR,Effector 🔧
Neuron_47,0,49.36442,10.851756,AVJL,Effector 🔧
Neuron_48,0,46.127823,-4.6483707,AVJR,Effector 🔧
Neuron_49,0,58.023464,9.8556185,AVKL,Effector 🔧
Neuron_50,0,58.75296,13.611791,AVKR,Effector 🔧
Neuron_51,0,59.780754,16.236795,AVL,Effector 🔧
Neuron_52,0,52.183266,5.041053,AWAL,Effector 🔧
Neuron_53,0,47.52858,-7.8632746,AWAR,Effector 🔧
Neuron_54,0,48.850727,-7.313579,AWBL,Effector 🔧
Neuron_55,0,58.72375,12.351655,AWBR,Effector 🔧
Neuron_56,0,52.110737,0.5863138,AWCL,Effector 🔧
Neuron_57,0,50.30231,-6.8165593,AWCR,Effector 🔧
Neuron_58,0,55.30512,14.917829,BAGL,Effector 🔧
Neuron_59,0,50.385204,14.142072,BAGR,Effector 🔧
Neuron_60,0,54.74983,10.716063,BDUL,Effector 🔧
Neuron_61,0,47.21592,3.8812592,BDUR,Effector 🔧
Neuron_62,0,51.11389,11.827595,CANL,Effector 🔧
Neuron_63,0,50.770454,2.7809417,CANR,Effector 🔧
Neuron_64,0,57.45282,9.993295,CEPDL,Effector 🔧
Neuron_65,0,56.6779,9.987551,CEPDR,Effector 🔧
Neuron_66,0,58.42953,12.774521,CEPVL,Effector 🔧
Neuron_67,0,59.59217,13.040705,CEPVR,Effector 🔧
Neuron_68,0,43.166626,-7.5604277,DA01,Effector 🔧
Neuron_69,0,44.997566,-4.392262,DA02,Effector 🔧
Neuron_70,0,41.22718,-7.1189055,DA03,Effector 🔧
Neuron_71,0,54.69062,16.223654,DA04,Effector 🔧
Neuron_72,0,57.84435,9.681421,DA05,Effector 🔧
Neuron_73,0,52.133175,2.003074,DA06,Effector 🔧
Neuron_74,0,52.077564,11.841298,DA07,Effector 🔧
Neuron_75,0,51.210106,3.1001027,DA08,Effector 🔧
Neuron_76,0,45.082886,-8.081049,DA09,Effector 🔧
Neuron_77,0,56.63929,15.356348,DB01,Effector 🔧
Neuron_78,0,44.818714,-11.348514,DB02,Effector 🔧
Neuron_79,0,57.096603,20.13101,DB03,Effector 🔧
Neuron_80,0,42.834206,-11.17682,DB04,Effector 🔧
Neuron_81,0,57.81401,12.213364,DB05,Effector 🔧
Neuron_82,0,59.82534,15.451152,DB06,Effector 🔧
Neuron_83,0,47.67681,1.1002685,DB07,Effector 🔧
Neuron_84,0,42.556393,-10.873436,DD01,Effector 🔧
Neuron_85,0,51.586384,2.8868284,DD02,Effector 🔧
Neuron_86,0,40.26052,-2.4545636,DD03,Effector 🔧
Neuron_87,0,52.94551,14.29124,DD04,Effector 🔧
Neuron_88,0,7.139911,-15.527699,DD05,Effector 🔧
Neuron_89,0,47.99746,1.6955936,DVA,Effector 🔧
Neuron_90,3,-61.655285,16.994322,DVB,Sensor 🧿
Neuron_91,0,3.3144479,-14.713678,DVC,Effector 🔧
Neuron_92,0,53.786205,16.29088,FLPL,Effector 🔧
Neuron_93,0,4.63869,-16.487455,FLPR,Effector 🔧
Neuron_94,0,37.231876,-5.2320366,HSNL,Effector 🔧
Neuron_95,0,47.298134,1.4041983,HSNR,Effector 🔧
Neuron_96,0,46.55889,-3.3686836,IAL,Effector 🔧
Neuron_97,0,46.638172,-2.856774,IAR,Effector 🔧
Neuron_98,0,35.9617,-13.279516,IBDL,Effector 🔧
Neuron_99,0,51.61953,1.0384934,IBDR,Effector 🔧
Neuron_100,0,52.227276,-0.57739955,IL1DL,Effector 🔧
Neuron_101,0,52.405804,6.740745,IL1DR,Effector 🔧
Neuron_102,0,54.587452,18.302113,IL1L,Effector 🔧
Neuron_103,0,55.81838,12.438289,IL1R,Effector 🔧
Neuron_104,0,45.214466,-2.1277077,IL1VL,Effector 🔧
Neuron_105,0,43.235428,-5.4183917,IL1VR,Effector 🔧
Neuron_106,0,53.02939,2.1148336,IL2DL,Effector 🔧
Neuron_107,0,-1.782711,-18.54675,IL2DR,Effector 🔧
Neuron_108,0,59.059307,11.639449,IL2L,Effector 🔧
Neuron_109,0,41.88063,-9.325438,IL2R,Effector 🔧
Neuron_110,0,46.590073,-9.704823,IL2VL,Effector 🔧
Neuron_111,0,57.280857,11.206262,IL2VR,Effector 🔧
Neuron_112,0,58.115448,11.979332,LUAL,Effector 🔧
Neuron_113,0,57.3203,8.395959,LUAR,Effector 🔧
Neuron_114,0,59.53623,13.551613,M1,Effector 🔧
Neuron_115,0,42.08032,-6.0200067,M2L,Effector 🔧
Neuron_116,0,56.39452,10.056358,M2R,Effector 🔧
Neuron_117,6,-19.933012,-0.16942203,M3L,Integrator 🧠
Neuron_118,3,-50.105354,19.763676,M3R,Sensor 🧿
Neuron_119,3,-55.403904,18.58284,M4,Sensor 🧿
Neuron_120,6,-22.00853,1.7403578,M5,Integrator 🧠
Neuron_121,6,-47.820927,20.488565,MI,Integrator 🧠
Neuron_122,0,-4.140329,1.3840283,NSML,Effector 🔧
Neuron_123,6,-17.984253,0.021357527,NSMR,Integrator 🧠
Neuron_124,3,-52.330105,19.385807,OLLL,Sensor 🧿
Neuron_125,6,-9.022385,0.06465273,OLLR,Integrator 🧠
Neuron_126,3,-53.901653,19.717854,OLQDL,Sensor 🧿
Neuron_127,3,-54.636223,18.895023,OLQDR,Sensor 🧿
Neuron_128,3,-56.131577,18.569426,OLQVL,Sensor 🧿
Neuron_129,6,-46.338383,21.333263,OLQVR,Integrator 🧠
