Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,Canonical
Neuron_189,0,31.76683,12.254823,RMDR,❌
Neuron_190,0,55.848137,21.014536,RMDVL,❌
Neuron_191,0,31.489658,13.434188,RMDVR,❌
Neuron_192,0,26.731188,1.1567186,RMEL,❌
Neuron_193,0,-4.198795,-23.774145,RMER,❌
Neuron_194,0,7.930402,-20.357622,RMFL,❌
Neuron_195,0,-8.593025,-19.390255,RMFR,❌
Neuron_196,0,15.999066,8.160775,RMGL,❌
Neuron_197,0,39.99765,18.758242,RMGR,❌
Neuron_198,0,31.210588,15.419616,SAADL,❌
Neuron_199,0,37.56605,19.771954,SAADR,❌
Neuron_200,0,40.760876,17.939188,SAAVL,❌
Neuron_201,0,51.552647,16.857796,SAAVR,❌
Neuron_202,0,14.642289,-12.97747,SABD,❌
Neuron_203,0,23.420633,-2.659479,SABVL,❌
Neuron_204,0,25.242893,2.8421698,SABVR,❌
Neuron_205,0,21.517895,-2.647034,SDQL,❌
Neuron_206,0,40.78612,18.335419,SDQR,❌
Neuron_207,0,31.917225,15.48409,SIADL,❌
Neuron_208,0,36.86441,18.741247,SIADR,❌
Neuron_209,0,24.417381,0.55918884,SIAVL,❌
Neuron_210,0,24.19091,-2.866071,SIAVR,❌
Neuron_211,0,21.806894,-17.638672,SMBDL,❌
Neuron_212,0,25.53341,0.4832899,SMBDR,❌
Neuron_213,0,22.233143,-8.292883,SMBVL,❌
Neuron_214,0,-10.330517,-19.232115,SMBVR,❌
Neuron_215,0,14.561343,-12.304421,SMDDL,❌
Neuron_216,0,14.02089,8.332222,SMDDR,❌
Neuron_217,0,38.357185,20.018837,SMDVL,❌
Neuron_218,0,39.55745,20.556286,SMDVR,❌
Neuron_219,0,44.47956,15.799627,URADL,❌
Neuron_220,0,23.300741,3.5223134,URADR,❌
Neuron_221,0,27.300407,-10.075636,URAVL,❌
Neuron_222,0,36.671165,20.177916,URAVR,❌
Neuron_223,6,-24.503313,-7.5080967,URYDL,❌
Neuron_224,0,36.32222,16.954294,URYDR,❌
Neuron_225,6,-23.975597,-8.031125,URYVL,❌
Neuron_226,0,8.106582,-21.36403,URYVR,❌
Neuron_227,0,-2.0784652,-22.839275,VA01,❌
