feature_idx,saliency
29,0.023802375
27,0.02132108
18,0.019705188
26,0.019291034
2,0.018886102
9,0.017472025
7,0.0171452
10,0.016881144
19,0.016731204
25,0.016654657
30,0.016636463
21,0.0165191
3,0.014810369
8,0.014651961
12,0.014520141
14,0.014480994
31,0.013789995
23,0.013692078
16,0.013662778
17,0.013014175
5,0.012996326
15,0.012891263
6,0.012271927
11,0.011980753
28,0.011744091
4,0.011687263
1,0.010971853
24,0.010958776
20,0.010729951
0,0.00988112
22,0.009825065
13,0.009341744
