gene,saliency
WBGene00007100,3.1784674e-13
WBGene00013560,3.1756287e-13
WBGene00021655,3.1727553e-13
WBGene00013266,3.1723883e-13
WBGene00044448,3.1723541e-13
WBGene00012138,3.1722127e-13
WBGene00017087,3.1720576e-13
WBGene00018085,3.1716762e-13
WBGene00000435,3.1688972e-13
WBGene00000040,3.1680106e-13
WBGene00021130,3.1674847e-13
WBGene00013505,3.1671155e-13
WBGene00016576,3.1660826e-13
WBGene00003891,3.166046e-13
WBGene00013659,3.1657286e-13
WBGene00017610,3.1649737e-13
WBGene00019796,3.1643012e-13
WBGene00008695,3.163372e-13
WBGene00077658,3.1626568e-13
WBGene00077546,3.1609237e-13
WBGene00016071,3.1605174e-13
WBGene00249816,3.1595985e-13
WBGene00001638,3.1588103e-13
WBGene00201664,3.158371e-13
WBGene00000594,3.152821e-13
WBGene00019769,3.1521e-13
WBGene00021792,3.1512396e-13
WBGene00020953,3.1511883e-13
WBGene00000729,3.1490812e-13
WBGene00009528,3.1490435e-13
WBGene00016221,3.1486483e-13
WBGene00007420,3.1472465e-13
WBGene00007774,3.1465444e-13
WBGene00013331,3.1457885e-13
WBGene00011173,3.145575e-13
WBGene00016607,3.143928e-13
WBGene00012900,3.1426218e-13
WBGene00009947,3.14206e-13
WBGene00022661,3.14183e-13
WBGene00013524,3.141225e-13
WBGene00015163,3.1407854e-13
WBGene00219838,3.1395145e-13
WBGene00016947,3.1387428e-13
WBGene00009207,3.1386382e-13
WBGene00016756,3.1383799e-13
WBGene00018878,3.1376318e-13
WBGene00006602,3.136949e-13
WBGene00005192,3.1368243e-13
WBGene00201132,3.1366354e-13
WBGene00020811,3.1335966e-13
WBGene00219594,3.133523e-13
WBGene00012363,3.131193e-13
WBGene00005725,3.1308541e-13
WBGene00077785,3.1289874e-13
WBGene00019659,3.125886e-13
WBGene00000704,3.1258207e-13
WBGene00011739,3.1245826e-13
WBGene00005215,3.123872e-13
WBGene00019760,3.1228972e-13
WBGene00019679,3.1214956e-13
WBGene00020716,3.1210868e-13
WBGene00001736,3.1209044e-13
WBGene00011102,3.1206353e-13
WBGene00022889,3.1198126e-13
WBGene00011688,3.1152901e-13
WBGene00022002,3.1151205e-13
WBGene00020113,3.11386e-13
WBGene00015453,3.1130708e-13
WBGene00000673,3.112326e-13
WBGene00021832,3.1112447e-13
WBGene00001066,3.111214e-13
WBGene00018644,3.1105907e-13
WBGene00219303,3.1084686e-13
WBGene00007006,3.1081225e-13
WBGene00006367,3.1074866e-13
WBGene00015783,3.1074527e-13
WBGene00007530,3.1058579e-13
WBGene00020687,3.105355e-13
WBGene00304792,3.1043855e-13
WBGene00008149,3.103532e-13
WBGene00019236,3.1025017e-13
WBGene00010760,3.0982318e-13
WBGene00020071,3.0979253e-13
WBGene00000715,3.0974764e-13
WBGene00006230,3.0969254e-13
WBGene00013926,3.0965142e-13
WBGene00020992,3.0949706e-13
WBGene00007231,3.0922603e-13
WBGene00000375,3.0913732e-13
WBGene00013854,3.0905833e-13
WBGene00044990,3.0904538e-13
WBGene00013975,3.089497e-13
WBGene00007384,3.0880599e-13
WBGene00185005,3.086983e-13
WBGene00003723,3.086908e-13
WBGene00022056,3.0864157e-13
WBGene00011756,3.0835742e-13
WBGene00021757,3.0828923e-13
WBGene00000382,3.082654e-13
WBGene00001879,3.0802054e-13
WBGene00019300,3.0798847e-13
WBGene00004210,3.0779621e-13
WBGene00002077,3.0775773e-13
WBGene00007694,3.077438e-13
WBGene00009986,3.0772073e-13
WBGene00020962,3.0767942e-13
WBGene00011001,3.0767194e-13
WBGene00023021,3.0761594e-13
WBGene00010988,3.0752397e-13
WBGene00001629,3.0751554e-13
WBGene00006497,3.0739685e-13
WBGene00018473,3.0733253e-13
WBGene00019251,3.0686163e-13
WBGene00007601,3.0677457e-13
WBGene00201347,3.0669496e-13
WBGene00007074,3.065776e-13
WBGene00008237,3.063737e-13
WBGene00012781,3.0636444e-13
WBGene00020995,3.06336e-13
WBGene00012953,3.062684e-13
WBGene00018348,3.0622686e-13
WBGene00019445,3.061472e-13
WBGene00043057,3.0610597e-13
WBGene00303105,3.0610513e-13
WBGene00019742,3.06097e-13
WBGene00022309,3.058509e-13
WBGene00022455,3.0584313e-13
WBGene00019894,3.0556653e-13
WBGene00008151,3.0555625e-13
WBGene00009627,3.0552871e-13
WBGene00010755,3.05526e-13
WBGene00007735,3.0538953e-13
WBGene00003768,3.0525924e-13
WBGene00007045,3.051562e-13
WBGene00011731,3.0515293e-13
WBGene00017273,3.0495924e-13
WBGene00008104,3.0493774e-13
WBGene00011773,3.049182e-13
WBGene00022851,3.0481287e-13
WBGene00220052,3.0470765e-13
WBGene00018292,3.0468022e-13
WBGene00007175,3.0467921e-13
WBGene00001167,3.0461744e-13
WBGene00022576,3.0452051e-13
WBGene00008659,3.044497e-13
WBGene00011748,3.0442473e-13
WBGene00017772,3.0438843e-13
WBGene00021716,3.0435314e-13
WBGene00009980,3.0435038e-13
WBGene00017563,3.0424743e-13
WBGene00007533,3.0397237e-13
WBGene00021900,3.038992e-13
WBGene00202389,3.0388368e-13
WBGene00018630,3.0388005e-13
WBGene00006221,3.0376854e-13
WBGene00013198,3.0368918e-13
WBGene00044446,3.0361849e-13
WBGene00008245,3.0359737e-13
WBGene00009880,3.035062e-13
WBGene00010757,3.0329965e-13
WBGene00009537,3.031355e-13
WBGene00044251,3.0313146e-13
WBGene00016054,3.0307042e-13
WBGene00007993,3.0306896e-13
WBGene00008273,3.029533e-13
WBGene00008586,3.0292438e-13
WBGene00000699,3.0278712e-13
WBGene00010913,3.0271402e-13
WBGene00017968,3.0267325e-13
WBGene00008816,3.0260188e-13
WBGene00014239,3.0255865e-13
WBGene00002238,3.024888e-13
WBGene00044976,3.0247536e-13
WBGene00195192,3.0229934e-13
WBGene00011006,3.022792e-13
WBGene00013724,3.0220788e-13
WBGene00007561,3.0214278e-13
WBGene00003460,3.0209938e-13
WBGene00003656,3.0204463e-13
WBGene00020990,3.0191987e-13
WBGene00015760,3.0179307e-13
WBGene00007805,3.0173444e-13
WBGene00001423,3.0151077e-13
WBGene00016669,3.01344e-13
WBGene00008701,3.012879e-13
WBGene00011401,3.0117174e-13
WBGene00000256,3.0114762e-13
WBGene00017387,3.0102448e-13
WBGene00015458,3.0100596e-13
WBGene00003181,3.0096994e-13
WBGene00012899,3.0090318e-13
WBGene00018017,3.0078696e-13
WBGene00010790,3.0057383e-13
WBGene00009004,3.0044267e-13
WBGene00007785,3.004425e-13
WBGene00015781,3.0034875e-13
WBGene00013290,3.0027342e-13
WBGene00009609,3.0025285e-13
WBGene00007890,3.000491e-13
WBGene00017268,3.0001433e-13
WBGene00008838,3.0000625e-13
WBGene00019024,2.999754e-13
WBGene00007328,2.9987365e-13
WBGene00199478,2.9984836e-13
WBGene00006371,2.9975103e-13
WBGene00009336,2.9965865e-13
WBGene00022615,2.9959994e-13
WBGene00014593,2.9955433e-13
WBGene00012012,2.9935673e-13
WBGene00005566,2.9935673e-13
WBGene00007817,2.9929835e-13
WBGene00194679,2.992855e-13
WBGene00004981,2.9926409e-13
WBGene00007093,2.9922522e-13
WBGene00021828,2.9916152e-13
WBGene00017749,2.9910154e-13
WBGene00021447,2.9904153e-13
WBGene00005125,2.9902277e-13
WBGene00001760,2.9896663e-13
WBGene00001050,2.988789e-13
WBGene00219689,2.9881542e-13
WBGene00020440,2.9875443e-13
WBGene00021421,2.9856263e-13
WBGene00012822,2.9853079e-13
WBGene00019895,2.984644e-13
WBGene00012375,2.9845476e-13
WBGene00005770,2.9843177e-13
WBGene00001371,2.9842947e-13
WBGene00013974,2.981942e-13
WBGene00019820,2.9809288e-13
WBGene00003104,2.9802056e-13
WBGene00194952,2.9791583e-13
WBGene00010717,2.97896e-13
WBGene00011422,2.9781565e-13
WBGene00219352,2.9770332e-13
WBGene00020791,2.9765795e-13
WBGene00003691,2.9752527e-13
WBGene00020158,2.974789e-13
WBGene00077491,2.974781e-13
WBGene00015368,2.974121e-13
WBGene00044155,2.973663e-13
WBGene00195171,2.9731805e-13
WBGene00018555,2.9731767e-13
WBGene00201283,2.9702543e-13
WBGene00000252,2.9701998e-13
WBGene00020497,2.9701605e-13
WBGene00004309,2.9692904e-13
WBGene00008156,2.9684417e-13
WBGene00020296,2.9684122e-13
WBGene00017384,2.967815e-13
WBGene00015107,2.9678031e-13
WBGene00015976,2.9666853e-13
WBGene00004123,2.966562e-13
WBGene00010407,2.9662844e-13
WBGene00020416,2.965721e-13
WBGene00009514,2.965524e-13
WBGene00013809,2.963522e-13
WBGene00019856,2.962975e-13
WBGene00018264,2.9626505e-13
WBGene00000694,2.962207e-13
WBGene00009084,2.9618116e-13
WBGene00006566,2.961657e-13
WBGene00018052,2.9608233e-13
WBGene00044153,2.960005e-13
WBGene00019220,2.9595537e-13
WBGene00020036,2.9568828e-13
WBGene00268209,2.956822e-13
WBGene00001453,2.9565207e-13
WBGene00003725,2.9555324e-13
WBGene00011459,2.955416e-13
WBGene00013708,2.9553955e-13
WBGene00006478,2.9551066e-13
WBGene00008230,2.9538985e-13
WBGene00194864,2.953436e-13
WBGene00022530,2.9533166e-13
WBGene00006717,2.952495e-13
WBGene00021129,2.9524725e-13
WBGene00020702,2.9521153e-13
WBGene00007714,2.9518093e-13
WBGene00003253,2.9513398e-13
WBGene00005204,2.9511186e-13
WBGene00017431,2.9505112e-13
WBGene00011232,2.949835e-13
WBGene00006599,2.9489253e-13
WBGene00219639,2.9483558e-13
WBGene00012415,2.9470274e-13
WBGene00195255,2.9469556e-13
WBGene00007395,2.946945e-13
WBGene00018603,2.94686e-13
WBGene00003457,2.946221e-13
WBGene00007965,2.9459638e-13
WBGene00013987,2.945895e-13
WBGene00004419,2.9454046e-13
WBGene00044151,2.9450493e-13
WBGene00018169,2.9428204e-13
WBGene00019716,2.9421151e-13
WBGene00001732,2.9419682e-13
WBGene00044631,2.9390883e-13
WBGene00018075,2.9383565e-13
WBGene00011910,2.9379177e-13
WBGene00006189,2.9370647e-13
WBGene00022415,2.9370427e-13
WBGene00017924,2.9365632e-13
WBGene00011828,2.9360208e-13
WBGene00022347,2.9355367e-13
WBGene00016868,2.9348754e-13
WBGene00018835,2.9346512e-13
WBGene00022108,2.9332765e-13
WBGene00219451,2.932276e-13
WBGene00010048,2.9318613e-13
WBGene00001493,2.9317803e-13
WBGene00020939,2.9309451e-13
WBGene00197301,2.9307652e-13
WBGene00013920,2.9300157e-13
WBGene00022441,2.9297544e-13
WBGene00010897,2.9291822e-13
WBGene00002043,2.9287879e-13
WBGene00206412,2.9276058e-13
WBGene00199734,2.927407e-13
WBGene00001578,2.926569e-13
WBGene00007250,2.925456e-13
WBGene00002225,2.925158e-13
WBGene00000692,2.9239848e-13
WBGene00011180,2.9239355e-13
WBGene00016520,2.9235672e-13
WBGene00016128,2.9223943e-13
WBGene00011536,2.922264e-13
WBGene00215616,2.921884e-13
WBGene00011112,2.9212548e-13
WBGene00010597,2.9212358e-13
WBGene00006175,2.9183204e-13
WBGene00013267,2.9179315e-13
WBGene00020454,2.917494e-13
WBGene00001786,2.917053e-13
WBGene00000016,2.9146572e-13
WBGene00005712,2.9142539e-13
WBGene00001754,2.9119824e-13
WBGene00021605,2.911713e-13
WBGene00022044,2.9114122e-13
