Cluster,Interneuron,Motor,Sensory,Total,Sensory_%,Interneuron_%,Motor_%
0,43,82,50,175,28.571428571428573,24.571428571428573,46.857142857142854
3,5,2,15,22,68.18181818181819,22.727272727272727,9.090909090909092
6,8,9,7,24,29.166666666666668,33.333333333333336,37.5
7,6,0,0,6,0.0,100.0,0.0
