gene,integrated_gradients
WBGene00017193,2.6787598e-07
WBGene00015451,2.6772608e-07
WBGene00004363,2.6760603e-07
WBGene00004056,2.6758462e-07
WBGene00017472,2.6753943e-07
WBGene00012473,2.6744465e-07
WBGene00044795,2.6701662e-07
WBGene00219591,2.668344e-07
WBGene00013506,2.666456e-07
WBGene00019284,2.6659959e-07
WBGene00008665,2.664906e-07
WBGene00009262,2.661437e-07
WBGene00001115,2.6595495e-07
WBGene00004286,2.6587102e-07
WBGene00015200,2.6573758e-07
WBGene00002175,2.6554812e-07
WBGene00001585,2.6529764e-07
WBGene00219675,2.6491497e-07
WBGene00000840,2.6460978e-07
WBGene00003917,2.6442947e-07
WBGene00010259,2.642885e-07
WBGene00013730,2.642659e-07
WBGene00003996,2.6397788e-07
WBGene00012274,2.638287e-07
WBGene00022396,2.6357392e-07
WBGene00219575,2.6340263e-07
WBGene00198061,2.6313072e-07
WBGene00018230,2.628235e-07
WBGene00022029,2.6261102e-07
WBGene00002981,2.6235872e-07
WBGene00000120,2.6225334e-07
WBGene00004110,2.6179674e-07
WBGene00008078,2.6168533e-07
WBGene00011763,2.615831e-07
WBGene00013989,2.6153558e-07
WBGene00000064,2.6139978e-07
WBGene00013020,2.613023e-07
WBGene00012602,2.6128257e-07
WBGene00022150,2.6120085e-07
WBGene00012389,2.6085905e-07
WBGene00000403,2.607155e-07
WBGene00007400,2.6060292e-07
WBGene00012852,2.6058632e-07
WBGene00020027,2.6054101e-07
WBGene00003210,2.6053308e-07
WBGene00006767,2.6020447e-07
WBGene00017724,2.6000538e-07
WBGene00001080,2.5974254e-07
WBGene00015751,2.5943666e-07
WBGene00004749,2.594119e-07
WBGene00009831,2.5932317e-07
WBGene00021059,2.5930078e-07
WBGene00001335,2.591758e-07
WBGene00006701,2.5891399e-07
WBGene00015037,2.5878614e-07
WBGene00004276,2.581613e-07
WBGene00016841,2.581504e-07
WBGene00006640,2.5767778e-07
WBGene00018609,2.5738373e-07
WBGene00000248,2.5724324e-07
WBGene00015866,2.56996e-07
WBGene00220235,2.5694342e-07
WBGene00004184,2.568385e-07
WBGene00022153,2.5673836e-07
WBGene00017016,2.5671486e-07
WBGene00006791,2.5645681e-07
WBGene00044438,2.5640932e-07
WBGene00002998,2.5637857e-07
WBGene00050927,2.5637001e-07
WBGene00012289,2.562476e-07
WBGene00021884,2.5611203e-07
WBGene00011292,2.5607804e-07
WBGene00012226,2.560121e-07
WBGene00013261,2.5599934e-07
WBGene00010408,2.5592743e-07
WBGene00000157,2.55699e-07
WBGene00003776,2.555475e-07
WBGene00045393,2.5554093e-07
WBGene00003019,2.5549727e-07
WBGene00019915,2.5534155e-07
WBGene00011575,2.5523568e-07
WBGene00003423,2.5514186e-07
WBGene00010770,2.5497536e-07
WBGene00001425,2.5470547e-07
WBGene00009531,2.5466068e-07
WBGene00012794,2.5446627e-07
WBGene00010587,2.54449e-07
WBGene00021305,2.5442364e-07
WBGene00013596,2.5391623e-07
WBGene00020572,2.537525e-07
WBGene00185102,2.535375e-07
WBGene00022473,2.5344852e-07
WBGene00013970,2.5340213e-07
WBGene00000224,2.5321765e-07
WBGene00003408,2.5319417e-07
WBGene00008307,2.5316302e-07
WBGene00194955,2.5306824e-07
WBGene00021702,2.5299298e-07
