Col1,Col2,__SourceFile
HSN   VUL,NMJ  -  -  - 15  - -     -,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/HSN_WT_correct.txt
HSN   VUL,NMJ  -  -  - 15  - -     -,_extracted_txt/Ce_synapse_UNIX/Ce_synapse/White_Table/neurons/HSN_WT.txt
