,,0
"(0, 0)","(0, 1)",52
"(0, 1)","(0, 2)",126
"(0, 0)","(0, 1)",45
"(0, 1)","(1, 0)",132
"(0, 0)","(0, 2)",164
"(0, 0)","(0, 1)",70
"(0, 0)","(0, 1)",18
"(0, 0)","(0, 1)",43
"(0, 0)","(0, 1)",58
"(0, 0)","(0, 2)",233
"(0, 0)","(0, 1)",228
"(0, 0)","(0, 1)",24
"(0, 0)","(0, 1)",27
"(0, 0)","(1, 0)",124
"(0, 0)","(0, 1)",18
"(0, 0)","(0, 2)",48
"(0, 0)","(0, 1)",56
"(0, 1)","(1, 0)",32
"(0, 1)","(1, 0)",68
"(0, 1)","(0, 2)",63
"(0, 0)","(1, 0)",414
"(0, 0)","(0, 2)",312
"(0, 0)","(1, 0)",75
"(0, 0)","(1, 0)",36
"(0, 0)","(1, 1)",72
"(0, 2)","(1, 1)",30
"(0, 0)","(1, 0)",33
"(0, 0)","(0, 2)",59
"(0, 0)","(0, 2)",18
"(0, 0)","(0, 2)",54
"(0, 0)","(0, 2)",29
"(0, 0)","(1, 0)",32
"(0, 0)","(1, 0)",50
"(0, 0)","(1, 0)",62
"(0, 0)","(0, 1)",41
"(0, 0)","(0, 1)",43
"(0, 0)","(0, 2)",61
"(0, 0)","(1, 0)",14
"(0, 0)","(0, 1)",45
"(0, 0)","(1, 0)",17
"(0, 0)","(1, 1)",41
"(0, 0)","(0, 2)",31
"(0, 0)","(1, 1)",39
"(0, 1)","(0, 2)",17
"(0, 0)","(0, 1)",25
"(0, 0)","(0, 1)",21
"(0, 0)","(1, 0)",46
"(0, 0)","(0, 1)",15
"(0, 0)","(0, 2)",57
"(0, 0)","(0, 2)",28
"(0, 0)","(0, 1)",154
"(0, 0)","(0, 2)",30
"(0, 0)","(0, 1)",30
"(0, 0)","(0, 1)",60
"(0, 0)","(1, 1)",8
"(0, 0)","(0, 2)",54
"(0, 0)","(1, 0)",1
"(1, 0)","(1, 1)",18
"(0, 0)","(1, 0)",7
"(0, 1)","(1, 0)",17
"(0, 0)","(1, 1)",9
"(0, 0)","(1, 2)",26
"(0, 0)","(1, 0)",28
"(0, 0)","(1, 0)",32
"(0, 1)","(1, 1)",46
"(0, 0)","(1, 0)",23
"(0, 0)","(0, 2)",44
"(0, 2)","(1, 0)",11
"(0, 0)","(0, 1)",16
"(0, 2)","(1, 0)",2
"(0, 0)","(1, 2)",15
"(0, 0)","(0, 2)",7
"(0, 0)","(1, 0)",30
"(0, 2)","(1, 0)",41
"(0, 0)","(0, 2)",28
"(0, 1)","(0, 2)",36
"(0, 1)","(1, 0)",115
"(0, 0)","(0, 1)",98
"(0, 0)","(0, 2)",8
"(0, 0)","(0, 1)",6
"(0, 0)","(0, 2)",13
"(0, 0)","(0, 1)",74
"(0, 0)","(0, 1)",9
"(0, 0)","(0, 2)",10
"(0, 0)","(0, 2)",16
"(0, 1)","(0, 2)",15
"(0, 1)","(0, 2)",20
"(0, 0)","(0, 2)",5
"(0, 0)","(0, 1)",12
"(0, 2)","(1, 1)",14
"(0, 0)","(0, 2)",6
"(0, 1)","(0, 2)",24
"(0, 0)","(0, 1)",50
"(0, 0)","(1, 0)",3
"(0, 1)","(1, 1)",51
"(0, 0)","(0, 1)",38
"(0, 0)","(0, 1)",15
