,type,depth,kl_divergence
0,Unknown,1,0.1454358433402616
1,Unknown,2,0.18575464192124105
2,Unknown,3,0.16147963625971246
3,Unknown,4,0.1547234329611933
4,Glia,4,0.07514297041293236
5,Interneuron,1,0.11276696555698346
6,Interneuron,3,0.22250957911392705
7,Interneuron,4,0.23431889246724447
8,Sensory,1,0.08655509561456567
9,Sensory,2,0.32747775073619906
10,Sensory,3,0.09525250107876998
11,Sensory,4,0.15830656100883347
