Neuron,reciprocal,chain,feedforward,divergent,convergent
 SMBVL         ,0,0,0,0,1
 SMDVL         ,0,0,0,0,1
ADFR ,0,0,0,1,0
 ADFR          ,0,0,0,0,1
 ASHR          ,0,0,0,0,1
 AWAR          ,0,0,0,0,1
 AWBR          ,0,0,0,0,1
 AFDR          ,0,0,0,0,1
 OLQVR         ,0,0,0,0,1
 BAGL          ,0,0,0,0,1
 URXR          ,0,0,0,0,1
 URYVR         ,0,0,0,0,1
 AUAR          ,0,0,0,0,1
 AIYR          ,0,0,0,0,1
 AIZR          ,0,0,0,0,1
 ADAR          ,0,0,0,0,1
 RIAR          ,0,0,0,0,1
 RIH           ,0,0,0,0,1
 AVHL          ,0,0,0,0,1
 PVPR          ,0,0,0,0,1
 SMBDR         ,0,0,0,0,1
 SMBVR         ,0,0,0,0,1
ADLL ,0,0,0,1,0
 ASEL          ,0,0,0,0,1
 ASER          ,0,0,0,0,1
 ASGL          ,0,0,0,0,1
 ASHL          ,0,0,0,0,1
 AWAL          ,0,0,0,0,1
 AWCL          ,0,0,0,0,1
 OLQVL         ,0,0,0,0,1
 ALA           ,0,0,0,0,1
 RIPL          ,0,0,0,0,1
 AVJL          ,0,0,0,0,1
 AVJR          ,0,0,0,0,1
 AVAL          ,0,0,0,0,1
 AVAR          ,0,0,0,0,1
 AVBL          ,0,0,0,0,1
 AVDL          ,0,0,0,0,1
 AVDR          ,0,0,0,0,1
ADLR ,0,0,0,1,0
 ADLR          ,0,0,0,0,1
 OLLR          ,0,0,0,0,1
 CEPVR         ,0,0,0,0,1
 AIAR          ,0,0,0,0,1
 RICL          ,0,0,0,0,1
 RICR          ,0,0,0,0,1
 RIFR          ,0,0,0,0,1
 URBR          ,0,0,0,0,1
 RIPR          ,0,0,0,0,1
 PVCL          ,0,0,0,0,1
 AVBR          ,0,0,0,0,1
 SIBVL         ,0,0,0,0,1
ASEL ,0,0,0,1,0
 ASJL          ,0,0,0,0,1
 IL2R          ,0,0,0,0,1
 AIYL          ,0,0,0,0,1
ASER ,0,0,0,1,0
 ASKL          ,0,0,0,0,1
ASGL ,0,0,0,1,0
 AINR          ,0,0,0,0,1
ASGR ,0,0,0,1,0
ASHL ,0,0,0,1,0
 ADFL          ,0,0,0,0,1
 AVFL          ,0,0,0,0,1
 AVHR          ,0,0,0,0,1
 RIML          ,0,0,0,0,1
 HSNL          ,0,0,0,0,1
ASHR ,0,0,0,1,0
 RMGR          ,0,0,0,0,1
 AVER          ,0,0,0,0,1
 HSNR          ,0,0,0,0,1
ASIL ,0,0,0,1,0
 RMFL          ,0,0,0,0,1
 SAAVL         ,0,0,0,0,1
ASIR ,0,0,0,1,0
 ASGR          ,0,0,0,0,1
ASJL ,0,0,0,1,0
 ASJR          ,0,0,0,0,1
 ASKR          ,0,0,0,0,1
 CEPDL         ,0,0,0,0,1
 PVQL          ,0,0,0,0,1
ASJR ,0,0,0,1,0
 PVQR          ,0,0,0,0,1
ASKL ,0,0,0,1,0
 AIML          ,0,0,0,0,1
ASKR ,0,0,0,1,0
 AIMR          ,0,0,0,0,1
AWAL ,0,0,0,1,0
AWAR ,0,0,0,1,0
 ASIL          ,0,0,0,0,1
AWBL ,0,0,0,1,0
AWBR ,0,0,0,1,0
AWCL ,0,0,0,1,0
AWCR ,0,0,0,1,0
 ASIR          ,0,0,0,0,1
 IL2L          ,0,0,0,0,1
AFDL ,0,0,0,1,0
AFDR ,0,0,0,1,0
IL1DL ,0,0,0,1,0
 IL2DL         ,0,0,0,0,1
 RMDDR         ,0,0,0,0,1
 RMDVL         ,0,0,0,0,1
 RMEL          ,0,0,0,0,1
 URADL         ,0,0,0,0,1
 SIBDL         ,0,0,0,0,1
 dBWML1        ,0,0,0,0,1
 dBWML2        ,0,0,0,0,1
 dBWML3        ,0,0,0,0,1
 dBWML6        ,0,0,0,0,1
 dBWMR7        ,0,0,0,0,1
IL1DR ,0,0,0,1,0
 IL1DR         ,0,0,0,0,1
 IL1R          ,0,0,0,0,1
 IL2DR         ,0,0,0,0,1
 URYDR         ,0,0,0,0,1
 PVR           ,0,0,0,0,1
 RMDDL         ,0,0,0,0,1
 RMDVR         ,0,0,0,0,1
 URADR         ,0,0,0,0,1
 dBWMR1        ,0,0,0,0,1
 dBWMR2        ,0,0,0,0,1
 dBWMR3        ,0,0,0,0,1
IL1L ,0,0,0,1,0
 OLLL          ,0,0,0,0,1
 RMGL          ,0,0,0,0,1
 URBL          ,0,0,0,0,1
 RMDL          ,0,0,0,0,1
 RMDR          ,0,0,0,0,1
 RMER          ,0,0,0,0,1
 URAVL         ,0,0,0,0,1
 dBWML4        ,0,0,0,0,1
 dBWML5        ,0,0,0,0,1
 vBWML1        ,0,0,0,0,1
 vBWML2        ,0,0,0,0,1
 vBWML4        ,0,0,0,0,1
IL1R ,0,0,0,1,0
 AVEL          ,0,0,0,0,1
 RMHL          ,0,0,0,0,1
 dBWMR4        ,0,0,0,0,1
 dBWMR5        ,0,0,0,0,1
 vBWMR4        ,0,0,0,0,1
IL1VL ,0,0,0,1,0
 IL1L          ,0,0,0,0,1
 IL1VL         ,0,0,0,0,1
 URYVL         ,0,0,0,0,1
 AVL           ,0,0,0,0,1
IL1VR ,0,0,0,1,0
 IL2VR         ,0,0,0,0,1
 URAVR         ,0,0,0,0,1
 vBWMR2        ,0,0,0,0,1
IL2DL ,0,0,0,1,0
 IL1DL         ,0,0,0,0,1
 OLQDL         ,0,0,0,0,1
 RMED          ,0,0,0,0,1
 RMEV          ,0,0,0,0,1
IL2DR ,0,0,0,1,0
 OLQDR         ,0,0,0,0,1
 CEPDR         ,0,0,0,0,1
IL2L ,0,0,0,1,0
 ADEL          ,0,0,0,0,1
IL2R ,0,0,0,1,0
 ADER          ,0,0,0,0,1
IL2VL ,0,0,0,1,0
 BAGR          ,0,0,0,0,1
 DVC           ,0,0,0,0,1
IL2VR ,0,0,0,1,0
 IL1VR         ,0,0,0,0,1
 SIADR         ,0,0,0,0,1
OLQDL ,0,0,0,1,0
 URYDL         ,0,0,0,0,1
OLQDR ,0,0,0,1,0
 RMHR          ,0,0,0,0,1
 SIBDR         ,0,0,0,0,1
OLQVL ,0,0,0,1,0
OLQVR ,0,0,0,1,0
 SIBVR         ,0,0,0,0,1
OLLL ,0,0,0,1,0
 CEPVL         ,0,0,0,0,1
 SMDDL         ,0,0,0,0,1
 SMDDR         ,0,0,0,0,1
 SMDVR         ,0,0,0,0,1
OLLR ,0,0,0,1,0
 RIBR          ,0,0,0,0,1
 RIS           ,0,0,0,0,1
CEPDL ,0,0,0,1,0
 ALML          ,0,0,0,0,1
 AINL          ,0,0,0,0,1
CEPDR ,0,0,0,1,0
 BDUR          ,0,0,0,0,1
CEPVL ,0,0,0,1,0
 SIAVL         ,0,0,0,0,1
 vBWML5        ,0,0,0,0,1
 vBWML7        ,0,0,0,0,1
CEPVR ,0,0,0,1,0
 SIAVR         ,0,0,0,0,1
 vBWMR3        ,0,0,0,0,1
 vBWMR5        ,0,0,0,0,1
 vBWMR8        ,0,0,0,0,1
ALML ,0,0,0,1,0
 BDUL          ,0,0,0,0,1
 SDQL          ,0,0,0,0,1
 RIFL          ,0,0,0,0,1
 PVCR          ,0,0,0,0,1
ALMR ,0,0,0,1,0
 SIADL         ,0,0,0,0,1
AVM ,0,0,0,1,0
 AVKL          ,0,0,0,0,1
 PVNL          ,0,0,0,0,1
 PVNR          ,0,0,0,0,1
 RID           ,0,0,0,0,1
 DA01          ,0,0,0,0,1
 VA02          ,0,0,0,0,1
 VB03          ,0,0,0,0,1
PVM ,0,0,0,1,0
 AVM           ,0,0,0,0,1
 DVA           ,0,0,0,0,1
 vBWMR10       ,0,0,0,0,1
ALNL ,0,0,0,1,0
ALNR ,0,0,0,1,0
 SAAVR         ,0,0,0,0,1
PLNL ,0,0,0,1,0
 SAADR         ,0,0,0,0,1
