trial,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
73,0,0,0,67819,86767,141109,17790,15989,12254,3492,1079,934,1038,1776,388,11
74,0,0,0,69432,88933,144689,16602,15239,12671,3511,1035,919,973,1779,343,15
75,0,0,0,68782,87866,143320,17340,15659,12526,3516,1064,930,1073,1869,388,12
76,0,0,0,68629,87572,143991,17497,15480,12822,3500,1055,980,969,1790,353,15
77,0,0,0,69436,88262,144372,17376,14960,12740,3655,966,910,939,1742,312,14
78,0,0,0,68771,88184,143329,17094,15565,12584,3347,1093,945,1032,1812,374,9
79,0,0,0,69659,88082,144746,16379,14308,13018,3606,879,1004,940,1726,317,7
80,0,0,0,68314,86809,141723,17581,15734,12324,3450,1110,951,1016,1827,376,19
81,0,0,0,69829,88468,145096,16974,15374,13038,3529,962,917,1033,1716,361,10
82,0,0,0,68737,87735,142279,18136,15878,12422,3501,1100,939,994,1868,365,14
83,0,0,0,68887,88276,143926,17006,14936,12631,3431,921,950,973,1760,314,12
84,0,0,0,68015,87024,141587,18296,16180,12276,3418,1200,1000,986,1798,363,17
85,0,0,0,69198,87929,143540,17439,15197,12602,3496,989,957,924,1767,321,15
86,0,0,0,68979,87308,142285,18256,16531,12313,3469,1214,1014,1024,1918,359,16
87,0,0,0,68785,88386,143723,16453,14590,12700,3640,1013,971,978,1754,331,8
88,0,0,0,69495,88444,144340,17060,15244,12654,3578,1067,981,987,1751,339,13
89,0,0,0,69444,87870,143533,16741,14717,12811,3663,987,938,931,1748,286,7
90,0,0,0,68582,87531,143079,16810,14824,12828,3550,993,986,958,1748,278,14
91,0,0,0,68402,87550,142578,17717,15472,12607,3633,1097,938,947,1747,393,14
92,0,0,0,68239,87260,141985,17738,16104,12407,3382,1112,1034,1069,1752,409,16
93,0,0,0,67942,86665,141644,17638,15496,12267,3444,1229,971,988,1659,399,20
94,0,0,0,69028,87622,143618,16838,15059,12425,3459,1100,955,932,1732,342,17
95,0,0,0,69116,88150,143706,17326,15198,12788,3472,1038,927,957,1745,319,15
96,0,0,0,70158,89824,146876,15340,13634,13055,3739,744,807,890,1632,284,8
97,0,0,0,67982,87150,141720,17497,15707,12126,3566,1072,942,1048,1777,366,17
98,0,0,0,68556,88076,143595,17576,15650,12545,3387,1113,1002,1025,1757,334,11
99,0,0,0,69040,87903,143045,17204,15448,12508,3574,1019,902,947,1742,323,8
