Gene,avg_abs_r
WBGene00235164,0.4671800858107258
WBGene00001186,0.4435854518972054
WBGene00003689,0.44155104066987083
WBGene00011594,0.4176335199263132
WBGene00011060,0.4165977942981491
WBGene00017615,0.4090266675399899
WBGene00013551,0.4044352485341008
WBGene00017840,0.4036323249010527
WBGene00016324,0.4027419413084412
WBGene00011349,0.4026339909775286
WBGene00018036,0.4022085255261104
WBGene00009742,0.3989925333700495
WBGene00011722,0.3967923134005262
WBGene00011473,0.3963473207259635
WBGene00006707,0.39246957085350176
WBGene00006388,0.390960175547614
WBGene00006481,0.3908830559239172
WBGene00043981,0.3898291866761106
WBGene00016543,0.3889958457074785
WBGene00021861,0.3888867001167508
WBGene00019402,0.38874380075254134
WBGene00006280,0.387896249743082
WBGene00003919,0.38733836869624305
WBGene00006574,0.38683303732672625
WBGene00017841,0.3865044308521968
WBGene00017705,0.3864772606638412
WBGene00012675,0.38639248179377644
WBGene00011410,0.38637059857689837
WBGene00009881,0.3861689557452717
WBGene00006721,0.3861502209893381
WBGene00015146,0.3861118282770866
WBGene00219722,0.386093080943909
WBGene00022021,0.3842659601028714
WBGene00011523,0.381881934880804
WBGene00235376,0.38183524946181013
WBGene00021473,0.38070073619820044
WBGene00018423,0.3802872838846947
WBGene00011916,0.3801756681508215
WBGene00009144,0.38016549577000625
WBGene00012897,0.3797810195151854
WBGene00012383,0.37956804099820396
WBGene00018777,0.37947041801615405
WBGene00019875,0.3790123766726805
WBGene00003719,0.3788745058245341
WBGene00018952,0.37887142219030956
WBGene00010352,0.3787179124300676
WBGene00002988,0.37861580766092806
WBGene00021745,0.3782638274749952
WBGene00044674,0.37790417597964365
WBGene00003169,0.3777557970369454
WBGene00219667,0.37721787671938933
WBGene00021299,0.3767316067853231
WBGene00022165,0.3765848624368988
WBGene00022593,0.37657732451441356
WBGene00001744,0.3762420925471269
WBGene00008555,0.37597772152909403
WBGene00009884,0.37521384124815
WBGene00007506,0.37513637939333816
WBGene00017559,0.37504971080489297
WBGene00011173,0.3748446538236359
WBGene00009688,0.37428974030739115
WBGene00002140,0.37420409133674976
WBGene00021513,0.3740462795530117
WBGene00011273,0.3738820368030644
WBGene00005816,0.3738112734521453
WBGene00009398,0.3736180107459956
WBGene00009027,0.3735879427985937
WBGene00014156,0.3731604215154922
WBGene00008089,0.3731369230364147
WBGene00016034,0.37312998019634386
WBGene00018569,0.37307780273670105
WBGene00011446,0.37304061283430373
WBGene00005161,0.37272735968474036
WBGene00015112,0.37243555290928027
WBGene00019862,0.37226506478670757
WBGene00001602,0.3721868950114858
WBGene00019199,0.37217900988608094
WBGene00012164,0.37212240142160585
WBGene00022232,0.3720680971421124
WBGene00004170,0.37202861767390594
WBGene00021968,0.37165747854416253
