Neuron,total_3node_motifs,as_source,as_target
 CEPVR       ,3,0,0
 CEPDL       ,0,0,0
 RIBL        ,105,0,0
 RIGL        ,105,0,0
 RMDVL       ,28,0,0
 CEPDR       ,0,0,0
 RIBR        ,91,0,0
 RIGR        ,91,0,0
 CEPVL       ,3,0,0
 OLLR        ,1,0,0
 OLQDL       ,10,0,0
 OLQDR       ,15,0,0
 OLQVL       ,10,0,0
 OLQVR       ,10,0,0
 AVM         ,6,0,0
 BDUL        ,1,0,0
 PVR         ,231,0,0
 RMDDR       ,28,0,0
 SMBDR       ,36,0,0
 BDUR        ,3,0,0
 SDQR        ,45,0,0
 ALML        ,15,0,0
 ALMR        ,10,0,0
 AVDL        ,105,0,0
 PVM         ,15,0,0
 PDEL        ,55,0,0
 PDER        ,78,0,0
 AVKL        ,210,0,0
 DVA         ,325,0,0
 DB03        ,28,0,0
 VD09        ,10,0,0
PLML ,21,0,0
 PLNL        ,21,0,0
 PHCL        ,28,0,0
 PVCL        ,253,0,0
 LUAL        ,21,0,0
PLMR ,21,0,0
 PLNR        ,6,0,0
 PVCR        ,406,0,0
 LUAR        ,66,0,0
 SMDDR       ,45,0,0
 SMDVL       ,28,0,0
 ADER        ,15,0,0
 SMDDL       ,55,0,0
 PLML        ,21,0,0
 PHAL        ,28,0,0
 PHBL        ,45,0,0
 PVWL        ,66,0,0
 VA02        ,21,0,0
 PLMR        ,21,0,0
 PHAR        ,36,0,0
