Motif,partial_spearman_r,p,q_bh,n_rows
_0_1___1_0___2_0__nan_nan_nan_nan_nan_nan,0.1942398616353546,0.1514362564559743,0.9990525045782732,60
_0_1___0_2___1_1___1_2___2_2__nan_nan_nan_nan,-0.1942311654471187,0.1514549291109156,0.9952923600317356,60
_0_0___0_2___1_1___1_2___2_0___2_1__nan_nan_nan,0.1933983462152891,0.1532510861230863,0.992766513571676,60
_1_0___1_1___1_2___2_0___2_1__nan_nan_nan_nan,0.192743365535304,0.15467471867898,0.9991199248843352,60
_0_0___0_1___0_2___1_1___2_1__nan_nan_nan_nan,0.1924876849200917,0.1552330943218636,0.7719618924935994,60
_0_0___0_1___1_0___1_2___2_0___2_1__nan_nan_nan,0.1923544249621037,0.1555247069543699,0.999826427071518,60
_0_0___1_0___2_1___2_2__nan_nan_nan_nan_nan,0.1913074633116458,0.1578298449245711,0.9786019459560916,60
_0_1___1_2___2_0___2_2__nan_nan_nan_nan_nan,0.1899945897296175,0.1607558758982116,0.9713943453216118,60
_0_0___0_1___1_1___2_1__nan_nan_nan_nan_nan,0.1895473129367998,0.1617617726639356,0.999697696165639,60
_0_1___0_2___1_0___1_2___2_2__nan_nan_nan_nan,-0.1885198815636162,0.1640898737696456,0.9975576579961934,60
_0_1___0_2___1_0___1_1___1_2___2_0___2_1__nan_nan,0.1879374198554181,0.1654205466573749,0.9988681204723404,60
_0_1___1_1___2_1___2_2__nan_nan_nan_nan_nan,-0.1857222294261399,0.1705533968391184,0.9998226790465508,60
_1_0___1_1___1_2__nan_nan_nan_nan_nan_nan,0.1839404291601685,0.1747654328407113,0.9992040671394916,60
_0_1___0_2___1_1___1_2___2_1__nan_nan_nan_nan,0.1834529111378834,0.175930924378779,0.9957400534336498,60
_0_2___1_1___2_0___2_1___2_2__nan_nan_nan_nan,0.1814058344492157,0.1808862959091065,0.9702040606646612,60
_2_0___2_1___2_2__nan_nan_nan_nan_nan_nan,0.1810625034028423,0.1817271644146314,0.9969145702036109,60
_0_2___1_0___1_2__nan_nan_nan_nan_nan_nan,-0.1802397782931356,0.1837536018218172,0.9988275179539314,60
_0_1___0_2___1_0___1_1___2_0__nan_nan_nan_nan,0.1791361949182893,0.1864972872557433,0.9966016136864356,60
_1_0___1_1___1_2___2_2__nan_nan_nan_nan_nan,0.1777953266700916,0.1898703330546638,0.9998584425386784,60
_0_0___0_2___1_2___2_0___2_2__nan_nan_nan_nan,-0.1769304830345772,0.1920689474091838,0.9761434506064672,60
_1_0___1_1___2_0__nan_nan_nan_nan_nan_nan,0.1763118440636482,0.1936527796607989,0.9999966574917516,60
_0_0___0_2___1_1___2_0___2_1__nan_nan_nan_nan,0.1760121783891839,0.1944233219959994,0.9905127722296658,60
_1_1___1_2___2_0___2_2__nan_nan_nan_nan_nan,0.1746461042996827,0.1979636680379344,0.9974629138294878,60
_0_0___2_0___2_1___2_2__nan_nan_nan_nan_nan,0.1746399435337782,0.1979797375291041,0.9968369305887458,60
_0_1___0_2___1_2___2_0___2_1__nan_nan_nan_nan,0.1742703762309995,0.198945398872114,0.999723632090182,60
_0_0___0_2___2_1___2_2__nan_nan_nan_nan_nan,0.1735115868558772,0.2009385551530028,0.9964394649710036,60
_0_0___0_2___1_0___1_1___1_2__nan_nan_nan_nan,-0.1724442617438243,0.2037660656545072,0.9728764712653918,60
_0_0___0_1___0_2___1_0___1_2___2_1___2_2__nan_nan,0.1724047881253362,0.2038711743249994,0.9931544267648138,60
_0_0___0_1___0_2___1_1___1_2__nan_nan_nan_nan,-0.1720354767355812,0.2048564190825447,0.9825809678267436,60
_0_1___1_0___1_1___2_0___2_1__nan_nan_nan_nan,0.1707659208416889,0.2082689778582638,0.999487695165594,60
_0_0___0_1___0_2___1_0___1_2___2_0___2_1___2_2__nan,0.1702543886436406,0.2096552301620919,0.9275028479664468,60
_1_0___1_2__nan_nan_nan_nan_nan_nan_nan,-0.1700863727460414,0.2101119666280071,0.9962315449450468,60
_0_0___0_1___1_1___2_0__nan_nan_nan_nan_nan,-0.1696361190110691,0.2113393916600713,0.9697189797687754,60
_0_1___1_1___1_2___2_0___2_1__nan_nan_nan_nan,0.166990037713949,0.2186546487575546,0.9877447921489344,60
_0_1___0_2___1_1___2_1___2_2__nan_nan_nan_nan,-0.1669891065140308,0.2186572538438332,0.9989924636987888,60
_0_0___1_0___1_1___1_2___2_1__nan_nan_nan_nan,0.1664961807604047,0.2200392854239463,0.9958011703334528,60
_0_0___0_1___1_0___2_1___2_2__nan_nan_nan_nan,0.1657932962219193,0.2220205023027901,0.99575326879391,60
_0_0___1_0___1_2___2_0___2_1__nan_nan_nan_nan,0.1648693381533527,0.2246436997772465,0.9975959437265786,60
_0_0___0_2___2_0___2_1__nan_nan_nan_nan_nan,0.1648599904340212,0.2246703482732467,0.9971678391393244,60
_0_1___0_2___1_0___2_0___2_2__nan_nan_nan_nan,-0.1646436545673016,0.2252876923685354,0.9996253483266042,60
_0_0___0_1___1_2__nan_nan_nan_nan_nan_nan,0.1646298269954389,0.2253271912356008,0.9985280693358634,60
_0_1___1_0___1_2___2_1__nan_nan_nan_nan_nan,-0.1643948851115484,0.225999044366329,0.998213348456505,60
_0_0___0_1___1_0___1_2___2_0___2_2__nan_nan_nan,-0.1643453012605307,0.2261410145443298,0.7646010513997608,60
_1_0___1_1___2_0___2_2__nan_nan_nan_nan_nan,0.1638408149983831,0.2275889936193177,0.9996037340234074,60
_0_0___0_1___0_2___1_0___2_0___2_1__nan_nan_nan,0.1627797763945965,0.2306553168623636,0.9981121441892352,60
_0_2___1_0___1_1___2_0___2_1___2_2__nan_nan_nan,0.160769197259592,0.2365437454830866,0.7671562967237804,60
_0_1___0_2___1_1___2_2__nan_nan_nan_nan_nan,-0.1583499531399756,0.243764920325257,0.9979072521747832,60
_0_0___0_1___0_2___2_0___2_1__nan_nan_nan_nan,0.1582030861129355,0.2442080948693037,0.998576080477144,60
_0_2___1_2___2_2__nan_nan_nan_nan_nan_nan,-0.1563699769861235,0.2497858224961613,0.9989887127815782,60
_0_2___1_0___2_0___2_1__nan_nan_nan_nan_nan,0.1562632719415854,0.250113143728798,0.999470843511635,60
_0_0___0_2___1_0___1_2___2_0___2_2__nan_nan_nan,-0.1554827826495087,0.2525161732791509,0.9199629171862894,60
_0_0___0_1___0_2___1_0___1_1___2_0___2_1__nan_nan,0.1549600603973675,0.254134285973036,0.9839276860676898,60
_0_1___0_2___2_1__nan_nan_nan_nan_nan_nan,0.1547502656280702,0.2547856838471918,0.9961749191821871,60
_0_0___0_2___1_0___2_0__nan_nan_nan_nan_nan,0.1543573062510842,0.256008829320565,0.9991787620951772,60
_0_0___0_1___1_2___2_0___2_1__nan_nan_nan_nan,0.1535874972944388,0.2584164512389997,0.9915700974096456,60
_0_0___0_2___2_1__nan_nan_nan_nan_nan_nan,0.1530608232454244,0.2600724152391452,0.9982058047391644,60
_0_1___0_2___1_1__nan_nan_nan_nan_nan_nan,-0.1527637422461706,0.2610096367357299,0.9962586210676532,60
_0_2___1_0___1_1___1_2__nan_nan_nan_nan_nan,0.1524401044707526,0.2620332191636688,0.9996466654341052,60
_1_2___2_0___2_1___2_2__nan_nan_nan_nan_nan,0.150918386606593,0.2668821213141438,0.9995406341157472,60
_0_1___1_0___1_1___1_2___2_1__nan_nan_nan_nan,0.1508092804555689,0.2672320737174033,0.9988544137963956,60
_0_0___0_1___0_2___2_0___2_1___2_2__nan_nan_nan,0.1477404866261139,0.2772007580911775,0.988243706037686,60
_0_0___0_2___1_0___1_2__nan_nan_nan_nan_nan,-0.147644376792206,0.2775168858921628,0.9990938276799106,60
_0_0___0_1___0_2___1_0__nan_nan_nan_nan_nan,0.1473228045836567,0.2785763468430728,0.9987344132585564,60
_0_0___0_1___0_2___1_2___2_0___2_1__nan_nan_nan,0.1462013550312331,0.2822920120038001,0.9998412882199622,60
_0_2___1_1___1_2___2_1__nan_nan_nan_nan_nan,0.145990102856354,0.282995585876863,0.9987283620866286,60
_0_2___1_0___2_0___2_2__nan_nan_nan_nan_nan,-0.1454237285854267,0.2848875854418271,0.998626032700253,60
_0_0___0_1___1_2___2_1__nan_nan_nan_nan_nan,-0.1442417145192523,0.288862886322724,0.9981861999320488,60
_0_2___1_1___1_2___2_0___2_1__nan_nan_nan_nan,-0.1430789096560781,0.2928088631364651,0.9976212318161648,60
_0_1___0_2___1_2___2_1__nan_nan_nan_nan_nan,0.14001921590172,0.3033591963963218,0.9998716159386783,60
_0_0___0_2___1_2___2_0__nan_nan_nan_nan_nan,0.1397669974510049,0.3042397052649984,0.9951375446423308,60
_0_0___0_1___1_1___1_2__nan_nan_nan_nan_nan,0.1389636101651444,0.3070553589585827,0.9982849869075028,60
_0_0___0_1___0_2___1_2___2_1__nan_nan_nan_nan,0.1375436329331636,0.312072877257348,0.995935772799376,60
_0_0___0_2___1_0___1_2___2_0__nan_nan_nan_nan,0.1373766962711204,0.3126661815025983,0.9996771393260376,60
_1_0___1_1___2_0___2_1___2_2__nan_nan_nan_nan,0.1369803315142172,0.3140777793191759,0.7604365701469403,60
_0_1___1_1___2_0___2_1___2_2__nan_nan_nan_nan,0.1369803315142172,0.3140777793191759,0.7604365701469403,60
_0_1___0_2___1_1___1_2___2_1___2_2__nan_nan_nan,0.1369803315142172,0.3140777793191759,0.7604365701469403,60
_0_0___0_2___1_0___1_2___2_2__nan_nan_nan_nan,-0.1363292331618348,0.3164054035032489,0.9532581799027648,60
_0_0___0_1___0_2___1_2___2_0__nan_nan_nan_nan,0.1359203270515229,0.3178728196594826,0.9968135048863694,60
