Motif,Gene,partial_spearman_r,p,q_bh,n_rows
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",WBGene00000445,0.5490426479653178,1.1777066443029394e-05,0.1057050598594103,60
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan",WBGene00010528,0.5488906835994618,1.1856204857440232e-05,0.2128307333959096,60
"(0, 0)_(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00017493,-0.5484529350457282,1.208693517026423e-05,0.2169725732414132,60
"(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan",WBGene00009947,0.5483732660914371,1.21293725134719e-05,0.2177343659893341,60
"(0, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",WBGene00044674,-0.5480539694069864,1.2300842516502555e-05,0.2208124240137374,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00001005,-0.545669432360736,1.365423690918509e-05,0.1412834368698678,60
"(0, 1)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan_nan",WBGene00017640,0.5454376548381565,1.3792891863580256e-05,0.2475962018431291,60
"(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",WBGene00012164,0.545429148418186,1.3798005342218922e-05,0.1238439969490859,60
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",WBGene00000248,0.5454041276078837,1.3813056327674665e-05,0.2479581741380878,60
"(0, 1)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",WBGene00004833,-0.5453336845420835,1.3855512295901944e-05,0.2487203012237357,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan",WBGene00000584,-0.5449473640398801,1.409050489115766e-05,0.2134306686491149,60
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan",WBGene00021032,-0.5439382323584551,1.472187637148417e-05,0.1321362013722561,60
"(0, 0)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00009920,-0.5436884936420365,1.4882121638268816e-05,0.2671489655285635,60
"(0, 2)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",WBGene00007933,0.5433548950386546,1.509869673172356e-05,0.1549950573490387,60
"(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00003838,-0.5426798578048839,1.5545894223053177e-05,0.2790643471980276,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00000644,0.5423909523149915,1.5741010179919547e-05,0.1412834368698678,60
"(0, 1)_(0, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00000869,-0.5419460646504566,1.604590976028891e-05,0.2880401261069462,60
"(0, 1)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",WBGene00012782,0.5415965897680532,1.628924414515282e-05,0.168314271909256,60
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00044243,-0.5413798038143456,1.6441901461135706e-05,0.295148573128847,60
"(0, 0)_(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00021117,-0.5412230052375938,1.6553140900724447e-05,0.0990484774363015,60
"(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",WBGene00005153,0.5406101290775539,1.6994658850103564e-05,0.3050711210182091,60
"(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00017113,-0.5404643550092388,1.7101267563280784e-05,0.1534924270142267,60
"(0, 2)_(1, 0)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",WBGene00001594,0.5402371254285149,1.7268682229295163e-05,0.1549950573490387,60
"(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan_nan",WBGene00019743,-0.5398888828728405,1.752820117893392e-05,0.1682907030984965,60
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",WBGene00013457,-0.5393900829263074,1.7906211901621654e-05,0.3214344098460103,60
"(0, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00013204,-0.5391383404949257,1.809984411797045e-05,0.3249103017616875,60
"(0, 0)_(0, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00015710,0.5390902903241238,1.8137022281832957e-05,0.1294394308087487,60
"(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00013429,-0.5390752885567163,1.8148644163273852e-05,0.2078410367737667,60
"(0, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00200996,-0.539038867644961,1.817688815555548e-05,0.1631466596401881,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan",WBGene00003915,-0.5385168916027884,1.858616922517555e-05,0.1524550186710997,60
"(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan_nan",WBGene00004317,0.5383109153124649,1.875000870129759e-05,0.1682907030984965,60
"(0, 1)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",WBGene00021074,-0.5383076276478976,1.875263460634572e-05,0.168314271909256,60
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan",WBGene00021771,-0.538239364504858,1.880723430472539e-05,0.3376086630041254,60
"(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00302964,-0.5381929735026375,1.884442366442688e-05,0.1691381246000634,60
"(0, 1)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",WBGene00010043,-0.5374968342253291,1.9410718204826136e-05,0.348441802494834,60
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan",WBGene00044348,0.537234628508201,1.9628068494146108e-05,0.1652993590810142,60
"(0, 1)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00008018,0.5370818719216486,1.975572876433776e-05,0.3546350870486272,60
"(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00008451,-0.5364831039745652,2.026356745187809e-05,0.2254052337351404,60
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan",WBGene00013597,0.5363015892380598,2.041988588351514e-05,0.1880604897890717,60
