,motif_count
 vBWMR16     ,3
 vBWMR20     ,3
 sph         ,3
 um2aL       ,3
 um2aR       ,2
 um2pR       ,2
um2aL  ,2
um2pL ,2
 pm1vr       ,1
 pm1d        ,1
 dBWML7      ,2
dBWML5 ,2
 dBWML14     ,2
 dBWML18     ,2
dBWML19 ,2
 dBWML20     ,2
 dBWML24     ,1
 dBWMR4      ,2
 dBWMR24     ,1
 vBWMR13     ,2
 vBWMR23     ,2
 vBWMR24     ,1
vBWMR24 ,1
