,motif_count
SMDDR ,6
SMDVL ,6
OLLL ,6
AINL ,6
RIS ,6
ADER ,6
AVKR ,6
AVAR ,6
AWAR ,6
URXR ,6
RMGR ,6
PVPR ,6
SABVL ,6
AWBR ,6
AVHL ,6
AVKL ,6
SMBDR ,6
CEPDR ,6
ALNR ,6
URBR ,6
SIADL ,6
SMBVL ,6
PLNL ,6
PLNR ,6
AVFL ,6
SIAVL ,6
SIBDL ,6
OLLR ,6
URYVR ,6
RMEV ,6
SIAVR ,5
SIBVL ,6
OLQDL ,6
OLQVL ,6
AVDR ,6
AVEL ,6
 ASHR          ,6
 AWAR          ,6
 AWBR          ,6
 AFDR          ,5
 AIYR          ,6
 AIZR          ,6
 RIH           ,6
 ASEL          ,6
 ASER          ,5
 ASGL          ,5
 ASHL          ,5
 AWCL          ,5
 OLQVL         ,5
 RIPL          ,5
 AVJR          ,6
 AVAL          ,5
 AVAR          ,6
 AVBL          ,6
 AVDL          ,5
 AVDR          ,6
 ADLR          ,6
 AIAR          ,6
 RICL          ,6
 RICR          ,6
 AVBR          ,6
 AIYL          ,6
 ASGR        ,6
 AWBR        ,6
 AFDR        ,5
 PVQR        ,6
 ADFL          ,5
 AVFL          ,6
 AVHR          ,5
 RIML          ,6
 HSNL          ,5
 RMGL        ,6
 ADFL        ,6
 ASHR        ,6
 ASKL        ,6
 RICL        ,3
 AVER          ,5
 HSNR          ,6
 ASJR          ,6
 ASKR          ,6
 CEPDL         ,6
 PVQL          ,6
 AIML          ,6
 AIMR          ,3
 RMDVL         ,6
 SIBDL         ,5
 RMGL          ,6
 RMDR          ,3
 URAVL         ,5
 dBWML4        ,6
 dBWML5        ,5
 AVEL          ,6
 RMHL          ,6
 BAGR          ,6
 RMHR          ,6
 SIBDR         ,6
 SIBVR         ,3
 SMDDL         ,6
 SMDDR         ,6
 SMDVR         ,6
 ALML          ,6
 SIAVL         ,5
 vBWML5        ,5
 SDQL          ,5
 RID           ,5
 DVA           ,6
 SAADL         ,5
 vBWMR7        ,5
 RIVL        ,5
 AIBL        ,6
 ALMR        ,5
 DVA         ,6
 SDQL        ,6
 AVBL        ,6
 RIVR        ,5
 SAADL       ,5
 SIAVR       ,6
 SIBDL       ,5
 PVPL          ,6
 hyp           ,5
 RIVR          ,6
 AIAR        ,6
 AWCR        ,5
 AWBL        ,5
 ASIR        ,4
 ASJL        ,4
 ASIL        ,4
 ADAR        ,6
 AVDR        ,6
 PVQL        ,6
 OLQVL       ,6
 AVFR          ,6
 AIBR        ,6
 OLLL        ,3
 RIBL        ,6
 RIGR        ,5
 OLQDL       ,5
 AVKL        ,6
 BAGL        ,5
 PVPL        ,6
 URYDL       ,4
 URYVL       ,3
 RMFL        ,5
 VD01        ,5
 ADLL        ,6
 IL2L        ,6
 AVEL        ,6
 URXL        ,4
 RMDDR       ,6
 ALML        ,6
 AVFR        ,6
 RMHL        ,4
 vBWML11       ,6
 vBWML16       ,6
 vBWML15       ,3
 vBWMR11       ,5
 VC05          ,5
 vm2aL         ,5
 vm2pR         ,5
 HSNR        ,5
 ADFR          ,3
