WBGene,entropy,weight_corr
WBGene00004047,0.37885315943913245,0.030781095485282937
WBGene00021927,0.41478979155899687,0.02756897265989784
WBGene00019300,0.404290516202732,0.02600869227820029
WBGene00000913,0.38028691231165873,0.02141413613014959
WBGene00000897,0.3757675602874929,0.01294837059054938
WBGene00004981,0.39995309528101747,0.011620187738076706
WBGene00017928,0.39767158724664126,0.011572495262199363
WBGene00002278,0.40052496062576,0.009975396723141149
WBGene00020300,0.4012271627374561,0.009378480692598648
WBGene00020297,0.3654012298532309,0.009356478469640155
WBGene00019825,0.4509543677583262,0.008440540870796357
WBGene00014473,0.40074090316838973,0.006725840922875059
WBGene00017929,0.3501119606970161,0.006334765282518958
WBGene00021931,0.3953551450644626,0.00604457249429395
WBGene00206487,0.41679618479345243,0.005434153364964579
WBGene00045249,0.3156900479028305,0.005061773570932482
WBGene00185088,0.43940017342828996,0.004961204463534615
WBGene00021395,0.44229953871590116,0.004768353326160395
WBGene00001332,0.4149543763942682,0.004504269136660664
WBGene00019821,0.3648846307025125,0.004478913105253851
WBGene00022045,0.39051657018365915,0.003299748326899836
WBGene00020647,0.3391999288328695,0.0032841965493769997
WBGene00021945,0.40280703033855475,0.0028504745465669787
WBGene00020298,0.2853415720909641,0.00219532258533098
WBGene00021930,0.3602329839900639,0.0018715545962798318
WBGene00020299,0.3656156806110708,0.00183375274815512
WBGene00019823,0.3584426379583959,0.001676759732689665
WBGene00021402,0.27441530465273456,0.0016140458394254035
WBGene00006599,0.41474186270902785,0.0014215836037488438
WBGene00001788,0.45433290175348723,0.0013721393253390685
WBGene00010958,0.3645991371272719,0.0010976003659088737
WBGene00021921,0.3079659498007207,0.0010908962607782439
WBGene00010964,0.39364610527493615,0.0009005286242559456
WBGene00018925,0.371623503784594,0.0006918595741381055
WBGene00010967,0.37545392516489307,0.0006725493483636055
WBGene00021936,0.40388977210001353,0.0006371031701642711
WBGene00019664,0.3502844993557063,0.0006181561439243737
WBGene00010966,0.4246532336522373,0.0005334421511038786
WBGene00001579,0.3010765184304171,0.00041996376705201547
WBGene00002187,0.35519467644260405,0.00011255773757061643
WBGene00000829,0.418377639493143,0.0001118423927226806
WBGene00021926,0.31980370760899,3.675703868389997e-05
WBGene00004493,0.34279851902574493,-0.00011200401367317565
WBGene00021925,0.38537672711984555,-0.0002244991238598137
WBGene00003932,0.38653547556875056,-0.00028205937080862695
WBGene00010957,0.3281408399372305,-0.00028874696054545225
WBGene00195063,0.40038751000163286,-0.00035889886225312596
WBGene00010960,0.39833103609491494,-0.0004942509239130717
WBGene00010959,0.4326396738649363,-0.0005115237100656053
WBGene00010963,0.34332850220544375,-0.0005266716186521953
WBGene00014472,0.3887343258834554,-0.0005607475277615301
WBGene00021394,0.32182361004332216,-0.0006446773373694137
WBGene00022046,0.32655088043935976,-0.0006804874782363544
WBGene00010962,0.411007846441132,-0.0006929771946583673
WBGene00021401,0.42047946123314617,-0.0008337960618748008
WBGene00000816,0.31250235582566793,-0.0008557974996971881
WBGene00019663,0.42255129254623924,-0.0008775608641807001
WBGene00022044,0.4066986070569193,-0.0010022064284427982
WBGene00017926,0.31159117089272526,-0.001225015791971558
WBGene00010961,0.39911600953544146,-0.0012297018841116736
WBGene00014454,0.3639265836793407,-0.0013675211172549293
WBGene00019820,0.326306589114647,-0.0016756771402858396
WBGene00001338,0.3553208105614617,-0.0018323283480923668
WBGene00021922,0.3124136886842379,-0.001996334150888704
WBGene00022048,0.3974142375182909,-0.002409175426284567
WBGene00004427,0.320126978938884,-0.002434211993772283
WBGene00019822,0.32966174049590574,-0.0024637737840325605
WBGene00019774,0.4287888086399664,-0.0027125049862859684
WBGene00019069,0.4306903315998107,-0.0029176057803348017
WBGene00019658,0.3965027390624893,-0.0031844335926074392
WBGene00021938,0.28400648948021134,-0.0033443919806392516
WBGene00021934,0.39082278284220145,-0.0034830618747672733
WBGene00044789,0.4010610968500008,-0.003543261836330453
WBGene00010965,0.43580435332343315,-0.0037681608975323193
WBGene00020296,0.3857349461408467,-0.0039452952342599115
WBGene00018932,0.34787207011124915,-0.004001991401969362
WBGene00000815,0.3315479897132726,-0.004115604657528849
WBGene00018935,0.3739065096081085,-0.004622109565243235
WBGene00007007,0.36123234531007714,-0.004684259801211728
WBGene00018934,0.40544204317037236,-0.0050530987896669505
WBGene00004824,0.3862428692222428,-0.005784956020800219
WBGene00021923,0.3583168143774834,-0.005828116815635637
WBGene00220183,0.42711577981489335,-0.005872852862413383
WBGene00019665,0.4212106154271683,-0.005895377344955862
WBGene00001165,0.38472851136273173,-0.007146664412955594
WBGene00021929,0.32840218988695397,-0.008611396902022072
WBGene00021942,0.4031959263249504,-0.008681920687465917
WBGene00021932,0.37873224426594704,-0.011504563160705108
WBGene00021406,0.20584869809145853,
WBGene00021407,0.0,
WBGene00001492,0.178481861013474,
WBGene00235257,0.21716962365021483,
WBGene00023131,0.16115695289639764,
WBGene00015246,0.17833081341773627,
WBGene00015247,0.15830740973229812,
WBGene00017927,0.17632079540408915,
WBGene00001111,0.196930947755904,
WBGene00023277,0.206867010956657,
WBGene00000674,0.2261220526613581,
WBGene00021400,0.14843533733759134,
