,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
"(0, 0)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",124398,4308,0,57,15,0,0,0,0,0,0,0,0,0,0,0
PC66,124452,4200,0,15,111,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan_nan",124390,4324,0,49,15,0,0,0,0,0,0,0,0,0,0,0
PC71,126381,2366,0,1,30,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",126442,2244,0,91,1,0,0,0,0,0,0,0,0,0,0,0
PC83,125431,3254,0,6,87,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",125949,2724,0,102,3,0,0,0,0,0,0,0,0,0,0,0
PC45,126872,1890,0,0,16,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",126005,2612,0,158,3,0,0,0,0,0,0,0,0,0,0,0
PC101,124463,4178,0,15,122,0,0,0,0,0,0,0,0,0,0,0
PC68,126380,2368,0,1,29,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan_nan",123068,5450,0,224,36,0,0,0,0,0,0,0,0,0,0,0
PC19,125396,3324,0,6,52,0,0,0,0,0,0,0,0,0,0,0
PC183,125917,2788,0,3,70,0,0,0,0,0,0,0,0,0,0,0
PC85,126367,2394,0,1,16,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(2, 2)_nan_nan_nan_nan_nan",125472,3172,0,128,6,0,0,0,0,0,0,0,0,0,0,0
PC8,125915,2792,0,3,68,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",126449,2230,0,98,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",125033,3544,0,191,10,0,0,0,0,0,0,0,0,0,0,0
PC180,124420,4264,0,15,79,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan",124941,3728,0,99,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",125567,2982,0,223,6,0,0,0,0,0,0,0,0,0,0,0
as_target,85784,38526,0,4095,373,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",124991,3628,0,149,10,0,0,0,0,0,0,0,0,0,0,0
as_source,82446,41154,0,4851,327,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(2, 0)_(2, 1)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",125902,2818,0,55,3,0,0,0,0,0,0,0,0,0,0,0
KMeansCluster,114811,13362,0,325,280,0,0,0,0,0,0,0,0,0,0,0
PC189,124432,4240,0,15,91,0,0,0,0,0,0,0,0,0,0,0
PC14,124959,3692,0,10,117,0,0,0,0,0,0,0,0,0,0,0
PC27,125904,2814,0,3,57,0,0,0,0,0,0,0,0,0,0,0
51,123906,4786,0,21,65,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",126407,2314,0,56,1,0,0,0,0,0,0,0,0,0,0,0
Type_Interneuron,119484,9076,0,120,98,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
PC84,125939,2744,0,3,92,0,0,0,0,0,0,0,0,0,0,0
PC21,125928,2766,0,3,81,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",126909,1816,0,53,0,0,0,0,0,0,0,0,0,0,0,0
PC147,126388,2352,0,1,37,0,0,0,0,0,0,0,0,0,0,0
PC60,124966,3678,0,10,124,0,0,0,0,0,0,0,0,0,0,0
PC150,126405,2318,0,1,54,0,0,0,0,0,0,0,0,0,0,0
41,126395,2338,0,1,44,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan",126863,1908,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
PC51,126872,1890,0,0,16,0,0,0,0,0,0,0,0,0,0,0
PC141,126386,2356,0,1,35,0,0,0,0,0,0,0,0,0,0,0
PC162,122917,5752,0,36,73,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126367,2394,0,16,1,0,0,0,0,0,0,0,0,0,0,0
40,126381,2366,0,1,30,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
54,121922,6730,0,55,71,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan",125961,2700,0,114,3,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan",124958,3694,0,116,10,0,0,0,0,0,0,0,0,0,0,0
"(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",125890,2842,0,43,3,0,0,0,0,0,0,0,0,0,0,0
PC3,124913,3784,0,10,71,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC178,126394,2340,0,1,43,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan_nan",124975,3660,0,133,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan",126397,2334,0,46,1,0,0,0,0,0,0,0,0,0,0,0
PC90,125417,3282,0,6,73,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan_nan",125407,3302,0,63,6,0,0,0,0,0,0,0,0,0,0,0
PC184,123908,4782,0,21,67,0,0,0,0,0,0,0,0,0,0,0
PC199,125874,2874,0,3,27,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",125891,2840,0,44,3,0,0,0,0,0,0,0,0,0,0,0
37,126865,1904,0,0,9,0,0,0,0,0,0,0,0,0,0,0
PC115,126403,2322,0,1,52,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",126446,2236,0,95,1,0,0,0,0,0,0,0,0,0,0,0
PC133,119964,8622,0,105,87,0,0,0,0,0,0,0,0,0,0,0
42,125892,2838,0,3,45,0,0,0,0,0,0,0,0,0,0,0
PC61,126402,2324,0,1,51,0,0,0,0,0,0,0,0,0,0,0
13,120431,8194,0,91,62,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",125959,2704,0,112,3,0,0,0,0,0,0,0,0,0,0,0
AvgRelatedness,120492,8072,0,91,123,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_nan_nan_nan_nan_nan_nan_nan",125892,2838,0,45,3,0,0,0,0,0,0,0,0,0,0,0
PC195,126880,1874,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
StrengthImbalance,122480,6120,0,45,133,0,0,0,0,0,0,0,0,0,0,0
PC145,126863,1908,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",125871,2880,0,24,3,0,0,0,0,0,0,0,0,0,0,0
PC164,125388,3340,0,6,44,0,0,0,0,0,0,0,0,0,0,0
10,125365,3386,0,6,21,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
PC112,126383,2362,0,1,32,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
PC159,126880,1874,0,0,24,0,0,0,0,0,0,0,0,0,0,0
PC158,125382,3352,0,6,38,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
43,125917,2788,0,3,70,0,0,0,0,0,0,0,0,0,0,0
Type_Sensory,124399,4306,0,15,58,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan_nan",126389,2350,0,38,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
RichClubScore,120999,7564,0,78,137,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",125899,2824,0,52,3,0,0,0,0,0,0,0,0,0,0,0
PC123,124405,4294,0,15,64,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",124449,4206,0,108,15,0,0,0,0,0,0,0,0,0,0,0
PC170,126880,1874,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",126487,2154,0,136,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan",124553,3998,0,212,15,0,0,0,0,0,0,0,0,0,0,0
PC156,125868,2886,0,3,21,0,0,0,0,0,0,0,0,0,0,0
PC176,126861,1912,0,0,5,0,0,0,0,0,0,0,0,0,0,0
PC190,126387,2354,0,1,36,0,0,0,0,0,0,0,0,0,0,0
"(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",126494,2140,0,143,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",126040,2542,0,193,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
44,122893,5800,0,36,49,0,0,0,0,0,0,0,0,0,0,0
PC137,126377,2374,0,1,26,0,0,0,0,0,0,0,0,0,0,0
PC187,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
PC191,126861,1912,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",125488,3140,0,144,6,0,0,0,0,0,0,0,0,0,0,0
12,125385,3346,0,6,41,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
HDBSCAN_Cluster,121867,6840,0,55,16,0,0,0,0,0,0,0,0,0,0,0
PC161,126858,1918,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",125885,2852,0,38,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
PC80,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",125572,2972,0,228,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 0)_(1, 1)_(2, 2)_nan_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1,124874,3862,0,10,32,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan",125957,2708,0,110,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan",125953,2716,0,106,3,0,0,0,0,0,0,0,0,0,0,0
Type_Unknown,125363,3390,0,6,19,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",126869,1896,0,13,0,0,0,0,0,0,0,0,0,0,0,0
PC121,126858,1918,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",126881,1872,0,25,0,0,0,0,0,0,0,0,0,0,0,0
PC171,124876,3858,0,10,34,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan",126363,2402,0,12,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_nan_nan_nan_nan_nan_nan",126402,2324,0,51,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",125871,2880,0,24,3,0,0,0,0,0,0,0,0,0,0,0
PC169,126884,1866,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_(2, 1)_(2, 2)_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC149,126391,2346,0,1,40,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",126355,2418,0,4,1,0,0,0,0,0,0,0,0,0,0,0
48,124863,3884,0,10,21,0,0,0,0,0,0,0,0,0,0,0
53,126367,2394,0,1,16,0,0,0,0,0,0,0,0,0,0,0
LatentArchetype,126886,1862,0,0,30,0,0,0,0,0,0,0,0,0,0,0
45,126862,1910,0,0,6,0,0,0,0,0,0,0,0,0,0,0
PC148,126374,2380,0,1,23,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC130,126880,1874,0,0,24,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC47,126891,1852,0,0,35,0,0,0,0,0,0,0,0,0,0,0
PC143,125387,3342,0,6,43,0,0,0,0,0,0,0,0,0,0,0
26,126420,2288,0,1,69,0,0,0,0,0,0,0,0,0,0,0
"(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",126393,2342,0,42,1,0,0,0,0,0,0,0,0,0,0,0
TotalStrength,125386,3344,0,6,42,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC157,126869,1896,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
9,123395,5302,0,28,53,0,0,0,0,0,0,0,0,0,0,0
PC110,126891,1852,0,0,35,0,0,0,0,0,0,0,0,0,0,0
23,126875,1884,0,0,19,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
PC62,126891,1852,0,0,35,0,0,0,0,0,0,0,0,0,0,0
16,126381,2366,0,1,30,0,0,0,0,0,0,0,0,0,0,0
57,126373,2382,0,1,22,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC198,124387,4330,0,15,46,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
PC25,126879,1876,0,0,23,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
27,126869,1896,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",125965,2692,0,118,3,0,0,0,0,0,0,0,0,0,0,0
PC113,125859,2904,0,3,12,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126871,1892,0,15,0,0,0,0,0,0,0,0,0,0,0,0
PC134,126863,1908,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",126871,1892,0,15,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",126866,1902,0,10,0,0,0,0,0,0,0,0,0,0,0,0
58,124383,4338,0,15,42,0,0,0,0,0,0,0,0,0,0,0
38,126387,2354,0,1,36,0,0,0,0,0,0,0,0,0,0,0
0,126403,2322,0,1,52,0,0,0,0,0,0,0,0,0,0,0
PC128,126861,1912,0,0,5,0,0,0,0,0,0,0,0,0,0,0
50,126367,2394,0,1,16,0,0,0,0,0,0,0,0,0,0,0
62,126385,2358,0,1,34,0,0,0,0,0,0,0,0,0,0,0
PC192,125916,2790,0,3,69,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126369,2390,0,18,1,0,0,0,0,0,0,0,0,0,0,0
"(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
47,126358,2412,0,1,7,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(2, 2)_nan_nan_nan_nan_nan",126870,1894,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan",126463,2202,0,112,1,0,0,0,0,0,0,0,0,0,0,0
29,125917,2788,0,3,70,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC188,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
PC193,125884,2854,0,3,37,0,0,0,0,0,0,0,0,0,0,0
PC194,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
31,126865,1904,0,0,9,0,0,0,0,0,0,0,0,0,0,0
19,125392,3332,0,6,48,0,0,0,0,0,0,0,0,0,0,0
PC197,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
22,125860,2902,0,3,13,0,0,0,0,0,0,0,0,0,0,0
39,125867,2888,0,3,20,0,0,0,0,0,0,0,0,0,0,0
PC173,126360,2408,0,1,9,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan",126539,2050,0,188,1,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",126863,1908,0,7,0,0,0,0,0,0,0,0,0,0,0,0
61,126359,2410,0,1,8,0,0,0,0,0,0,0,0,0,0,0
PC144,125867,2888,0,3,20,0,0,0,0,0,0,0,0,0,0,0
24,126887,1860,0,0,31,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 2)_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 2)_(2, 2)_nan_nan_nan_nan_nan",126870,1894,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan_nan",126368,2392,0,17,1,0,0,0,0,0,0,0,0,0,0,0
30,126371,2386,0,1,20,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 2)_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
PC152,126876,1882,0,0,20,0,0,0,0,0,0,0,0,0,0,0
18,125863,2896,0,3,16,0,0,0,0,0,0,0,0,0,0,0
PC117,124373,4358,0,15,32,0,0,0,0,0,0,0,0,0,0,0
PC118,125868,2886,0,3,21,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(2, 0)_nan_nan_nan_nan_nan_nan",126866,1902,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",126894,1846,0,38,0,0,0,0,0,0,0,0,0,0,0,0
PC116,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
PC132,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
32,126857,1920,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",126352,2424,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan",126954,1726,0,98,0,0,0,0,0,0,0,0,0,0,0,0
63,126358,2412,0,1,7,0,0,0,0,0,0,0,0,0,0,0
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",126946,1742,0,90,0,0,0,0,0,0,0,0,0,0,0,0
PC131,126895,1844,0,0,39,0,0,0,0,0,0,0,0,0,0,0
