cycle_id,cycle_label,n_neurons,neurons
173,"(0, 0)_(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",109,BWM-VR04;RIMR;SMBVR;ADER;BDUR;DVC;AVFR;CEPVR;URYVR;RMFL;AVAR;AIBL;AIYR;URXR;ASEL;CEPVL;ASJL;BDUL;PVQL;AWCL;RIS;RIVR;RIFL;ASGL;SMBDL;IL1R;IL2VR;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;ASHR;AIYL;SIBDL;DVA;OLLL;AVAL;AVDR;AVEL;AVER;AVBL;OLQVR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;URBR;RMGR;RMHL;RMHR;URXL;AWAL;AVFL;PVPL;PLNL;FLPR;AVJL;PVCR;PVCL;AVJR;IL1L;IL2L;IL1DL;AVL;ASKL;AUAL;ALML;ADLL;RIAL;BWM-DR04;ALMR;PVNR;IL2R;BWM-VR08;AVM;PLNR;RIBL;RIBR;RIGR;ASER;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;SDQL;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR
175,"(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",60,CEPshVL;PVT;RIAR;RIMR;AIBR;AUAR;BAGL;ASEL;RIML;CEPVL;BAGR;RIVR;URYVL;RIFL;SMBDL;RMDVR;SMBVL;SMDDR;SMDVL;RIVL;RICR;ASHR;AIYL;SAAVL;AVBR;AVAL;AVEL;AVER;AVBL;AVDL;RICL;AVKR;AVKL;ADAL;FLPL;PVCL;SMBDR;RIAL;SIBVR;BWM-DL04;BWM-VL03;BWM-DL07;BWM-VL01;RIGR;AIAR;ASER;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;SDQL;IL1VL;RIR;ADEL;BWM-VR03
185,"(0, 1)_(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",131,CEPshVR;CEPshDL;ASIR;PVT;RIH;RIMR;SMBVR;ADER;ASIL;AVFR;URYVR;ADLR;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;RID;RIML;ASKR;AWCR;ASGR;BAGR;ASJL;BDUL;PVQL;AWCL;RIVR;URYVL;RIFL;ASGL;SMBDL;IL1R;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;RIVL;RICR;ALNR;RMFR;CEPDL;AWBR;SIADL;SIBDL;DVA;SAAVL;SIAVL;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;OLLR;OLQDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;HSNL;HSNR;AVHL;AWAR;RMGR;RMHL;RMHR;ADFL;URXL;PVPL;FLPR;FLPL;PVCR;PVCL;AVJR;IL1L;GLRDR;RMEV;IL2L;URADR;BWM-DL02;SMBDR;BWM-DR01;BWM-DR03;AUAL;ALML;BWM-DR02;ADFR;RIAL;SIADR;SIBVR;OLQDL;BWM-VL04;BWM-DR04;BWM-DR06;ALMR;AWBL;BWM-VR05;BWM-DR05;BWM-DL08;PLNR;ALNL;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;SDQR;SDQL;RMER;ADEL;AIAL;AIMR;IL1DR
186,"(1, 0)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",138,CEPshVR;CEPshVL;CEPshDR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;BDUR;AVFR;CEPVR;URYVR;PVNL;RMFL;AIBR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RIML;AVHR;CEPVL;AWCR;BAGR;BDUL;IL2DL;AWCL;RIS;RIVR;URYVL;RIFL;IL2DR;SMBDL;IL1R;BWM-VR01;IL2VR;GLRVL;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RICR;ALNR;CEPDR;RMFR;ASHR;AIYL;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;AVBL;AVDL;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;URAVR;RMHL;RMHR;ADAL;ADFL;AWAL;AVFL;PVPL;PLNL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;RMEV;IL2L;IL1DL;BWM-DL03;SMBDR;BWM-DL01;AVL;ASKL;AUAL;AIML;BWM-DR02;BWM-VR02;RIAL;IL2VL;SIBVR;OLQDL;BWM-DL04;RIFR;BWM-DR04;ALMR;SIAVR;AWBL;IL2R;BWM-VL05;BWM-VL02;BWM-VL03;BWM-DL05;BWM-DL07;BWM-VL01;ALNL;RIBR;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;BWM-VR03
193,"(0, 0)_(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan",76,CEPshVR;CEPshDL;RIH;SMBVR;DVC;AVFR;URYVR;PVNL;RMFL;AVAR;AIBL;URXR;RID;RIS;RIFL;SMBDL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ASHR;AIYL;SIADL;SIBDL;DVA;AVAL;AVDR;AVEL;AVER;SIBVL;AVBL;AVDL;OLQVR;SIBDR;RICL;ADAR;SAADR;AVKL;RMGR;URXL;PVPL;AVJL;AVJR;IL1L;BWM-DL01;BWM-DR01;ALML;RIAL;SIBVR;BWM-VL04;AWBL;BWM-DL05;BWM-DR05;PLNR;ALNL;RIBL;RIBR;RIGR;RIGL;RMDDR;RMGL;AIZL;AIZR;ASHL;SDQR;RIR;ADEL;AIAL;AIMR
197,"(0, 0)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",142,CEPshVR;CEPshDL;RIH;BWM-VR04;RIMR;SMBVR;DVC;AVFR;CEPVR;URYVR;RMFL;AIBR;AVAR;AIBL;AUAR;URXR;BAGL;RID;CEPVL;BDUL;PVQL;RIS;RIVR;RIFL;SMBDL;IL1R;BWM-VR01;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;RMFR;CEPDL;ASHR;AIYL;SIBDL;DVA;SIAVL;URYDL;AVBR;OLLL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;SIBDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;RMGR;RMHL;RMHR;ADAL;URXL;AVFL;PVPL;AVJL;PVCR;PVCL;AVJR;IL1L;GLRL;RMEV;OLQVL;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;ALA;ASKL;AUAL;ALML;BWM-DR02;BWM-VR02;SIADR;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;BWM-DR06;PVR;ALMR;SIAVR;PVNR;AWBL;GLRR;GLRDL;BWM-VR05;BWM-VR06;BWM-VR07;AVM;BWM-DR08;BWM-VL05;BWM-VL02;BWM-VL03;BWM-VL07;BWM-VL08;BWM-DL05;BWM-DR05;BWM-DL08;BWM-DL07;BWM-DR07;RIBL;RIBR;RIGR;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;SDQL;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR;BWM-VR03
198,"(0, 1)_(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan",80,AINL;AINR;RIAR;RIMR;ASIL;URYVR;RMFL;AVAR;AIBL;AUAR;URXR;RID;AVHR;CEPVL;IL2DL;PVQL;RIS;RIVR;SMBDL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDVL;RICR;RMFR;CEPDL;AIYL;AWBR;DVA;SIAVL;URYDL;AVBR;OLLL;AVDR;AVEL;URYDR;AVBL;OLLR;SIBDR;RICL;BWM-VL06;AVKR;SAAVR;HSNL;URBR;RMGR;ADFL;PVPL;PLNL;PVCL;IL1L;URAVL;URADR;BWM-DL02;URADL;BWM-DR01;AUAL;RIAL;BWM-VL04;AWBL;BWM-VR05;RIBL;RIBR;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;SDQR;SDQL;RMER;IL1DR
200,"(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan_nan",149,AINL;AINR;CEPshVR;CEPshDL;CEPshVL;CEPshDR;ASJR;PVT;RIAR;BWM-VR04;RIMR;SMBVR;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RID;RIML;CEPVL;ASGR;BAGR;ASJL;PVQL;RIS;RIVR;URYVL;ASGL;SMBDL;IL1R;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;CEPDR;RMFR;CEPDL;ASHR;SIADL;SIBDL;DVA;SAAVL;SIAVL;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLLR;OLQVR;SIBDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;RMGR;RMHL;RMHR;ADAL;URXL;PVPL;PLNL;FLPL;AVJL;PVCL;AVJR;IL1L;GLRL;GLRVR;RMEV;URAVL;OLQVL;URADR;IL1DL;BWM-DL02;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;BWM-DR03;AFDL;AUAL;BWM-DR02;RIAL;SIADR;OLQDL;BWM-VL04;BWM-DR06;PVR;SIAVR;AWBL;BWM-VR08;BWM-VR05;BWM-VR07;AVM;BWM-VL05;BWM-VL02;BWM-VL07;BWM-DL05;BWM-DR05;BWM-DL08;BWM-DR07;RIBR;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RIPR;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR
208,"(0, 0)_(0, 1)_(0, 2)_(2, 0)_nan_nan_nan_nan_nan",143,CEPshVR;CEPshDL;ASJR;RIH;BWM-VR04;RIMR;SMBVR;ADER;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;BAGL;RID;RIML;AWCR;ASGR;BAGR;ASJL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;ASGL;SMBDL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RICR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;SIBDL;DVA;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLLR;OLQVR;SIBDR;RICL;BWM-VL06;ADAR;SAADR;AVKL;SAADL;HSNL;HSNR;URAVR;AVHL;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;PLNL;FLPL;AVJL;AVJR;IL1L;GLRDR;IL2L;OLQVL;IL1DL;BWM-DL02;BWM-DL01;BWM-DR01;BWM-DR03;PVQR;ASKL;AUAL;AIML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;SIADR;SIBVR;OLQDL;BWM-VL04;RIFR;BWM-DR04;PVR;ALMR;AWBL;GLRR;BWM-VL02;BWM-DL05;BWM-DR05;BWM-DL08;PLNR;ALNL;RIBL;RIBR;RIGR;AIAR;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;ASHL;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR
209,"(0, 0)_(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",145,CEPshVR;CEPshDL;ASJR;PVT;RIH;BWM-VR04;RIMR;SMBVR;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;BAGL;RID;AWCR;BAGR;ASJL;URBL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;ASGL;SMBDL;BWM-VR01;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;SIBDL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;OLQDR;SIBDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;HSNL;HSNR;URAVR;AWAR;RMGR;RMHR;ADAL;URXL;AWAL;PVPL;AVJL;PVCL;AVJR;IL1L;GLRL;GLRDR;GLRVR;URAVL;OLQVL;BWM-DL02;SMBDR;BWM-DL01;BWM-DR01;BWM-DR03;ALA;PVQR;ASKL;AUAL;ALML;ADFR;RIAL;SIADR;SIBVR;OLQDL;BWM-VL04;BWM-DL06;PVR;ALMR;SIAVR;PVNR;IL2R;BWM-VR08;BWM-VR05;AVM;BWM-VL02;BWM-VL07;BWM-DL05;BWM-DR05;BWM-DL08;excgl;RIBL;RIBR;RIGR;RIGL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;SDQL;RIR;ADEL;AIAL;AIMR;IL1DR;BWM-VR03
215,"(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",35,PVT;RIAR;RIMR;URYVR;AIBR;URXR;BAGR;RIVR;RMDVR;SMDDR;SMDVL;RICR;RMFR;AVAL;AVEL;ADAR;AVKR;AVKL;SAAVR;ADAL;RIAL;BWM-VL03;RIBR;RIGR;AIAR;ASER;RIGL;RMGL;AIZL;AIZR;AQR;SDQL;IL1VL;RIR;ADEL
217,"(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",89,AINL;AINR;ASJR;RIAR;RIH;RIMR;ADER;ASIL;DVC;AVFR;CEPVR;PVNL;RMFL;AIBR;AIYR;AUAR;AFDR;BAGL;RIML;AVHR;CEPVL;ASKR;AWCR;BAGR;ASJL;URBL;BDUL;IL2DL;RIS;ASGL;SMBDL;IL1R;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;AWBR;DVA;PVPR;URYDL;OLLL;AVDR;AVEL;AVER;URYDR;OLLR;OLQVR;OLQDR;ADAR;AVKR;AVKL;SAADL;SAAVR;HSNR;URBR;RMHL;ADAL;ADFL;AVFL;PVPL;PLNL;FLPR;FLPL;AVJL;PVCL;AVJR;IL1L;OLQVL;URADR;ASKL;AUAL;ADFR;RIAL;OLQDL;RIFR;PVNR;IL2R;AVM
219,"(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan",86,ASJR;PVT;RIH;RIMR;ADER;BDUR;DVC;AVFR;PVNL;RMFL;AIBR;AIBL;URXR;RIML;AVHR;CEPVL;ASKR;ASJL;URBL;BDUL;IL2DL;PVQL;RIS;RIVR;URYVL;RIFL;ASGL;IL1R;IL2VR;RMDL;RMDR;SMDDL;SMDDR;SMDVR;RIVL;RICR;CEPDR;RMFR;CEPDL;AIYL;DVA;SAAVL;PVPR;AVBR;OLLL;AVAL;AVEL;AVBL;OLLR;OLQVR;RICL;ADAR;AVKR;AVKL;SAADL;HSNL;HSNR;AVHL;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;AVJL;IL1L;IL2L;ALA;AVL;PVQR;ASKL;AUAL;ADLL;RIAL;OLQDL;RIFR;BWM-DR04;PVNR;AWBL;IL2R;AVM
226,"(1, 0)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",152,AINL;AINR;CEPshVR;CEPshDL;CEPshVL;CEPshDR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;BAGL;ASEL;RID;RIML;CEPVL;AWCR;ASGR;BAGR;ASJL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;SMBDL;BWM-VR01;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RICR;RMFR;ASHR;SIADL;SIBDL;DVA;SAAVL;SIAVL;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;SIBDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;RMGR;RMHL;RMHR;ADAL;URXL;PVPL;PLNL;FLPL;PVCL;AVJR;IL1L;GLRL;GLRDR;GLRVR;RMEV;BWM-DL02;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;BWM-DR03;AUAL;ALML;BWM-DR02;RIAL;SIADR;SIBVR;BWM-VL04;BWM-DL04;BWM-DL06;BWM-DR04;ALMR;SIAVR;AWBL;GLRR;BWM-VR05;BWM-VL05;BWM-VL02;BWM-VL03;BWM-VL08;BWM-DL05;BWM-DR05;BWM-DL08;BWM-DL07;BWM-VL01;PLNR;ALNL;BWM-DR07;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;IL1DR;BWM-VR03
232,"(0, 2)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",149,AINL;AINR;ASIR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;BDUR;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RID;RIML;AVHR;CEPVL;ASKR;AWCR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;ASGL;SMBDL;IL1R;IL2VR;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIBDL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;AVBL;AVDL;OLLR;OLQVR;OLQDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;URAVR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;PLNL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;IL1DL;SMBDR;URADL;ALA;AVL;PVQR;ASKL;AFDL;AUAL;ALML;ADLL;BWM-VR02;ADFR;RIAL;OLQDL;RIFR;BWM-DR04;BWM-DR06;PVR;ALMR;AWBL;IL2R;BWM-VR08;BWM-VR05;AVM;BWM-VL03;BWM-DL07;PLNR;BWM-DR07
235,"(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",114,AINL;AINR;ASIR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;BDUR;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AVAR;AIBL;AIYR;AUAR;URXR;BAGL;RID;RIML;AVHR;CEPVL;ASKR;AWCR;BDUL;PVQL;AWCL;RIS;URYVL;RIFL;ASGL;SMBDL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVR;RIVL;RICR;ALNR;RMFR;CEPDL;ASHR;AIYL;DVA;SAAVL;SIAVL;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;OLLR;OLQDR;RICL;ADAR;AVKR;SAADR;AVKL;HSNR;RMGR;RMHL;RMHR;ADAL;URXL;PVPL;PLNL;AVJL;PVCR;PVCL;AVJR;IL1L;SMBDR;AVL;ASKL;AUAL;ALML;BWM-VR02;RIAL;RIFR;BWM-DR04;BWM-DR06;ALMR;IL2R;AVM;BWM-VL03;ALNL;RIBL;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;SDQR;SDQL;RIR;ADEL;AIAL;AIMR;IL1DR
246,"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",47,RIAR;RIH;RIMR;PVNL;RMFL;AVAR;AIBL;BAGL;ASEL;RIML;CEPVL;BAGR;AWCL;RIS;URYVL;RMDL;RMDR;RMDVL;RMDVR;SMDDL;SMDDR;RICR;RMFR;DVA;AVEL;AVER;URYDR;AVBL;RICL;AVKR;AVKL;HSNL;RMHL;RMHR;PVPL;RIAL;RIBR;RIGR;RIGL;RMGL;AIZL;AIZR;AQR;SDQR;SDQL;ADEL;AIMR
250,"(0, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan_nan",124,AINL;CEPshVR;CEPshDL;CEPshVL;CEPshDR;PVT;RIAR;RIH;BWM-VR04;RIMR;AVFR;CEPVR;URYVR;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RID;RIML;CEPVL;BAGR;ASJL;RIVR;URYVL;RIFL;ASGL;IL1R;BWM-VR01;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;RIVL;RICR;RMFR;CEPDL;ASHR;SIADL;DVA;SAAVL;SIAVL;URYDL;AVBR;AVAL;AVDR;AVEL;AVER;AVBL;AVDL;OLLR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;RMHL;RMHR;ADAL;URXL;PLNL;AVJL;PVCL;AVJR;GLRL;RMEV;URAVL;URADR;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;AVL;AFDL;AUAL;BWM-DR02;RIAL;SIADR;IL2VL;SIBVR;BWM-VL04;BWM-DL04;BWM-DL06;BWM-DR04;SIAVR;AWBL;GLRR;GLRDL;BWM-VR05;BWM-VR06;BWM-DR08;BWM-VL05;BWM-VL03;BWM-DL05;BWM-DR05;BWM-DL08;BWM-DL07;BWM-VL01;RIBR;RIGR;AIAR;ASER;RIGL;RMGL;AIZL;AIZR;AQR;ASHL;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL
265,"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 1)_nan_nan_nan",50,RIMR;ADER;AVFR;URYVR;RMFL;AVAR;AIBL;AIYR;RIML;AVHR;CEPVL;PVQL;RIS;RIFL;ASGL;RMDL;RMDR;RMDVL;RMDVR;SMDVR;ASHR;AIYL;AVBR;OLLL;AVEL;OLLR;AVKL;HSNL;HSNR;ADAL;ADFL;URXL;AWAL;PVCR;IL2L;ASKL;ALML;ADLL;RIAL;BWM-VR05;RIBL;RIBR;RIGL;AIZL;AQR;RMED;ASHL;RIR;ADEL;AIMR
274,"(0, 1)_(0, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",167,AINL;AINR;CEPshVR;CEPshDL;ASIR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;BDUR;DVC;AVFR;CEPVR;URYVR;ADLR;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RIML;AVHR;CEPVL;ASKR;AWCR;ASGR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;AWCL;RIS;RIVR;URYVL;RIFL;ASGL;SMBDL;IL1R;BWM-VR01;IL2VR;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;SIADL;SIBDL;DVA;SAAVL;SIAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVDR;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLLR;OLQVR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;HSNL;HSNR;URAVR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;URADR;IL1DL;BWM-DL02;BWM-DL03;SMBDR;URADL;BWM-DL01;BWM-DR01;ALA;ASKL;AFDL;ALML;ADLL;BWM-DR02;BWM-VR02;ADFR;RIAL;SIADR;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;BWM-DR04;BWM-DR06;PVR;ALMR;SIAVR;PVNR;AWBL;IL2R;GLRR;GLRDL;BWM-VR06;BWM-VR07;AVM;BWM-VL05;BWM-VL02;BWM-VL03;BWM-VL07;BWM-DL05;BWM-DR05
281,"(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",143,CEPshVR;CEPshVL;CEPshDR;RIAR;RIH;RIMR;SMBVR;DVC;AVFR;CEPVR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;BAGL;ASEL;RIML;AVHR;CEPVL;AWCR;BAGR;PVQL;RIS;RIVR;URYVL;RIFL;SMBDL;IL1R;GLRVL;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;ALNR;RMFR;CEPDL;AIYL;SIADL;DVA;SAAVL;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLLR;OLQDR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;AVHL;RMGR;RMHR;ADAL;URXL;PVPL;FLPR;FLPL;AVJL;PVCR;PVCL;AVJR;IL1L;RMEV;IL2L;BWM-DL03;SMBDR;BWM-DL01;BWM-DR01;AVL;AUAL;ALML;BWM-DR02;BWM-VR02;RIAL;SIBVR;BWM-DL04;BWM-DL06;BWM-DR04;BWM-DR06;PVR;ALMR;SIAVR;AWBL;GLRR;GLRDL;BWM-VR06;BWM-VR07;BWM-DR08;BWM-VL05;BWM-VL02;BWM-VL03;BWM-VL07;BWM-VL08;BWM-DL05;BWM-VL01;PLNR;ALNL;BWM-DR07;RIBL;RIGR;ASER;RIGL;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;SDQR;SDQL;RIR;ADEL;AIAL;AIMR;IL1DR;BWM-VR03;DB1
