triad,gold_count,null_mean,null_std,Z,p_two_sided,p_greater,p_less,q_two_sided
003,21157301,21157301.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
012,666154,666154.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
102,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
021D,17337,17337.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
021U,8542,8542.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
021C,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
111D,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
111U,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
030T,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
030C,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
201,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
120D,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
120U,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
120C,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
210,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
300,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
