triad,gold_count,deg_null_mean,deg_null_std,deg_Z,deg_p_two,deg_p_greater,deg_p_less,deg_q_two,shuf_null_mean,shuf_null_std,shuf_Z,shuf_p_two,shuf_p_greater,shuf_p_less,shuf_q_two
003,21157301,21157301.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,21141170.255,966.5479006215779,16.689028023988786,0.0024875621890547263,0.0024875621890547263,0.9975124378109452,0.006633499170812604
012,666154,666154.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,698485.4,1912.7162143357587,-16.903396205708415,0.0024875621890547263,0.9975124378109452,0.0024875621890547263,0.006633499170812604
102,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,1912.385,961.0315525517358,-1.9899294616521443,0.06218905472636816,0.9975124378109452,0.04228855721393035,0.12437810945273632
021D,17337,17337.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,1923.67,45.777604188359746,336.7002330785864,0.0024875621890547263,0.0024875621890547263,0.9975124378109452,0.006633499170812604
021U,8542,8542.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,1922.095,46.71140924623066,141.7192310577568,0.0024875621890547263,0.0024875621890547263,0.9975124378109452,0.006633499170812604
021C,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,3850.58,63.58852966949022,-60.55463178680019,0.0024875621890547263,0.9975124378109452,0.0024875621890547263,0.006633499170812604
111D,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,20.715,11.295651095370363,-1.8338916300708201,0.09203980099502487,0.9975124378109452,0.04228855721393035,0.14726368159203979
111U,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,21.01,11.80111143730873,-1.780340784985535,0.07711442786069651,0.9975124378109452,0.04228855721393035,0.1370923161967938
030T,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,20.59,4.44869129872559,-4.628327437756444,0.0024875621890547263,0.9975124378109452,0.0024875621890547263,0.006633499170812604
030C,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,7.005,2.576463822595951,-2.718842755937484,0.007462686567164179,0.9975124378109452,0.0024875621890547263,0.017057569296375266
201,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.08,0.28986220951085057,-0.2759932042710981,0.9975124378109452,0.9975124378109452,0.9228855721393034,0.9975124378109452
120D,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.045,0.20782433633689096,-0.21652902058136891,0.9975124378109452,0.9975124378109452,0.9527363184079602,0.9975124378109452
120U,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.055,0.22855235921889394,-0.24064507663788431,0.9975124378109452,0.9975124378109452,0.9427860696517413,0.9975124378109452
120C,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.115,0.3639192024744607,-0.3160042097753018,0.9975124378109452,0.9975124378109452,0.8980099502487562,0.9975124378109452
210,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
300,0,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.0,0.0,,0.9975124378109452,0.9975124378109452,0.9975124378109452,0.9975124378109452
