Neuron,Unclassified ❓
 vBWMR2      ,4.0
vBWMR3 ,6.0
vBWMR2 ,4.0
 vBWMR1      ,4.0
 vBWMR4      ,4.0
 vBWMR15     ,3.0
vBWMR16 ,3.0
 vBWMR17     ,3.0
 vBWMR19     ,3.0
vBWMR20 ,3.0
 vBWMR21     ,3.0
intL ,9.0
 intR        ,9.0
 anal        ,9.0
sph ,9.0
anal ,9.0
 intL        ,9.0
 um2pL       ,5.0
BWM-VL01,404.0
PLNR,242.0
ALNL,392.0
BWM-DR07,173.0
I2R ,359.0
NSMR ,203.0
M3R ,80.0
pm5d ,101.0
pm5vl ,70.0
MCR ,44.0
pm2vr ,4.0
pm4vr ,39.0
mc2v ,14.0
AWAL ,160.0
AIYL ,385.0
ALNL ,310.0
RMFL ,384.0
 dBWML9        ,296.0
IL1VR ,219.0
RMFR ,128.0
PHAR ,573.0
ASJR ,70.0
 vBWML8      ,25.0
 DD05        ,58.0
VD08 ,127.0
vBWML8 ,14.0
vBWMR8 ,18.0
AS09 ,45.0
vm2aR ,21.0
AS08 ,36.0
vBWML7 ,4.0
vBWML9 ,8.0
um1aL ,16.0
vm1aR ,10.0
pm1vl ,1.0
pm1vr ,1.0
pm2d ,4.0
pm2vl ,4.0
mc3dl ,31.0
pm7vl ,17.0
 dBWML3      ,6.0
dBWML3 ,6.0
dBWML2 ,4.0
dBWML4 ,4.0
 dBWML1      ,4.0
 dBWML5      ,3.0
dBWML6 ,3.0
dBWML18 ,3.0
dBWML22 ,3.0
 dBWML23     ,2.0
dBWML24 ,1.0
dBWMR5 ,3.0
 dBWMR6      ,3.0
dBWMR6 ,3.0
dBWMR7 ,3.0
dBWMR9 ,3.0
dBWMR10 ,3.0
dBWMR13 ,3.0
dBWMR16 ,3.0
dBWMR17 ,3.0
dBWMR20 ,3.0
vBWML10 ,4.0
 vBWML11     ,3.0
vBWMR7 ,4.0
 vBWMR6      ,3.0
vBWML12 ,3.0
vBWML16 ,3.0
vBWML19 ,3.0
vBWML22 ,2.0
vBWMR4 ,4.0
vBWMR5 ,3.0
vBWMR17 ,3.0
 vBWMR18     ,3.0
vBWMR18 ,3.0
vBWMR19 ,3.0
intR ,9.0
um2aR ,5.0
um2pR ,5.0
RIBL,2020.0
RIBR,1841.0
RIGR,1712.0
AIAR,941.0
ASER,840.0
RIGL,1847.0
IL1VR,550.0
RMDDL,1651.0
RMDDR,1853.0
RMGL,2698.0
AIZL,1847.0
AIZR,1676.0
AQR,1490.0
RMED,1289.0
ASHL,1540.0
RIPR,572.0
SDQR,761.0
SDQL,1068.0
RMER,972.0
IL1VL,655.0
RIPL,356.0
RIR,1334.0
ADEL,2042.0
AIAL,894.0
AIMR,1070.0
RMEL,864.0
IL1DR,553.0
CANR,28.0
dBWML8 ,4.0
vm1aL ,10.0
vm1pR ,10.0
pm1d ,1.0
dBWML11 ,3.0
 dBWML12     ,3.0
dBWML13 ,3.0
dBWML15 ,3.0
 dBWML16     ,3.0
dBWML17 ,3.0
dBWML21 ,3.0
 dBWML22     ,3.0
dBWML23 ,2.0
 dBWMR14     ,3.0
dBWMR15 ,3.0
dBWMR23 ,2.0
dBWMR24 ,1.0
vBWML1 ,4.0
vBWML4 ,4.0
vBWML23 ,1.0
vBWMR10 ,3.0
 vBWMR11     ,3.0
vBWMR12 ,3.0
vBWMR14 ,3.0
vBWMR21 ,3.0
 vBWMR22     ,3.0
vBWMR22 ,3.0
vBWMR23 ,2.0
BWM-VR03,361.0
DB1,48.0
 I2L           ,109.0
 MCL           ,131.0
 pm3vl         ,50.0
 pm4d          ,250.0
 MCR         ,85.0
 pm1vr         ,46.0
 pm3vr         ,46.0
 I1L           ,71.0
 I1R           ,31.0
 pm4vr         ,88.0
 pm6vl         ,11.0
 pm7d          ,11.0
 mc2dl         ,6.0
 AFDL          ,236.0
 AIZL          ,860.0
 RIGR          ,563.0
 SMDVL         ,1121.0
 AVJL          ,1245.0
 ASJL          ,171.0
 ASKL          ,226.0
 RMGR          ,529.0
 RMDDR         ,734.0
 RMDL          ,1083.0
 SIADR         ,492.0
 RIFL          ,335.0
 SIADL         ,443.0
 AVKR          ,419.0
 ALNL          ,158.0
 RMEL        ,58.0
 vm2aR         ,119.0
 vm2pL         ,119.0
 RIFL        ,118.0
 ALA           ,141.0
 OLLR          ,683.0
 AWAR        ,86.0
 VC04          ,66.0
 HSNL        ,120.0
 IL2DL         ,58.0
 URBL          ,170.0
 IL1DL         ,127.0
 DB04          ,416.0
 PDA         ,365.0
 VD03          ,444.0
 URADL       ,14.0
 IL2DR         ,107.0
 RMFR          ,360.0
 AS01          ,424.0
 AS03          ,154.0
 RID         ,184.0
 DB05        ,148.0
 dBWMR1        ,260.0
 IL2VL         ,33.0
 dBWMR10       ,297.0
 dBWML14       ,368.0
 dBWML16       ,353.0
 AS03        ,92.0
 intestine     ,137.0
 VB06          ,193.0
 VB04          ,237.0
 URAVR       ,13.0
 URADR       ,31.0
 CEPDR       ,13.0
 IL2DL       ,7.0
 PHBL          ,109.0
 VC06          ,41.0
 VC02        ,108.0
 vm2aL       ,53.0
 vm2aR       ,53.0
 DB01          ,134.0
 vBWML21       ,227.0
 vBWML20       ,187.0
 VD06        ,38.0
 VD04        ,41.0
 VD10        ,34.0
 AS04        ,42.0
 DD04          ,167.0
 dBWMR23       ,163.0
 dBWML18       ,137.0
 DD03        ,71.0
 VB07          ,40.0
dBWML9 ,11.0
um1aR ,16.0
 pm6vl       ,20.0
 mc1v        ,22.0
 pm7d        ,18.0
 pm7vl       ,17.0
 pm1vl       ,1.0
 vBWML9      ,9.0
 vBWMR7      ,5.0
 vBWMR9      ,5.0
 um1aL       ,16.0
 um1pL       ,16.0
 um1pR       ,16.0
 vm1aR       ,10.0
 dBWML8      ,4.0
 dBWML10     ,4.0
 vBWMR8      ,7.0
 dBWML2      ,4.0
dBWML1 ,4.0
 dBWML4      ,4.0
 dBWML6      ,3.0
dBWML7 ,3.0
 dBWMR8      ,3.0
 dBWMR11     ,3.0
dBWMR12 ,3.0
 dBWMR13     ,3.0
dBWMR14 ,3.0
 dBWMR15     ,3.0
 dBWMR16     ,3.0
 vBWML3      ,6.0
vBWML2 ,4.0
 vBWML1      ,4.0
vBWMR9 ,4.0
 vBWMR10     ,3.0
 vBWML23     ,1.0
 vBWMR5      ,3.0
vBWMR6 ,3.0
vBWMR11 ,3.0
 vBWMR12     ,3.0
vBWMR13 ,3.0
 vBWMR14     ,3.0
vBWMR15 ,3.0
 vBWMR16     ,3.0
 vBWMR20     ,3.0
 sph         ,9.0
 um2aL       ,5.0
 um2aR       ,5.0
 um2pR       ,5.0
um2aL  ,5.0
um2pL ,5.0
 pm1vr       ,1.0
 pm1d        ,1.0
 dBWML7      ,3.0
dBWML5 ,3.0
 dBWML14     ,3.0
 dBWML18     ,3.0
dBWML19 ,3.0
 dBWML20     ,3.0
 dBWML24     ,1.0
 dBWMR4      ,4.0
 dBWMR24     ,1.0
 vBWMR13     ,3.0
 vBWMR23     ,2.0
 vBWMR24     ,1.0
vBWMR24 ,1.0
