Neuron,Type,TotalStrength,AvgRelatedness,StrengthImbalance,RichClubScore,total_3node_motifs,as_source,as_target,KMeansCluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Leiden,HDBSCAN_Cluster,LeidenRole,SymbolicRole,LatentArchetype
RIH,Unknown,440.0,15.370728562217923,218.0,0.3,2850,242,129,3,0.4294282,-0.38312566,-0.36720797,0.18432917,-0.31229365,-0.65993387,-0.19778773,0.48559478,-0.03731151,1.0584702,-0.09806075,0.016767554,-0.4265435,-0.961124,0.08545665,-0.27275896,-0.8101793,-0.16453171,-0.38043228,-0.10858887,0.59164304,-0.2436055,-0.55415285,-0.5495118,0.8473802,-0.4390988,-0.37303585,0.31030485,-0.38412312,-0.38109332,0.18178351,0.19718753,-0.33442125,-0.4884392,0.13050035,0.17143196,-0.016860958,0.060077943,0.3542746,0.5639375,-0.236992,-0.10672305,-0.46635786,-0.31301403,1.1408036,-0.079622515,0.18508309,-0.21959217,-0.2550279,0.0897172,0.5796702,0.36611953,-0.790536,0.43249893,0.3825279,-0.25150025,-0.067352876,0.22428527,-0.028531604,0.012962562,-0.37254173,0.06180334,0.120901324,0.20163062,3,6,🧩 Integrative Hub,Unknown ❓,-1
BWM-VR04,Unknown,258.0,7.75,246.0,0.0501347708894878,210,13,56,0,0.43632144,0.44443566,-0.1649025,-0.21403477,-0.029292976,-0.9300136,0.0011956589,0.11805715,-0.1579618,0.58914256,0.21944965,-0.02928712,-0.46905038,-1.1202092,0.18948601,-0.3436186,-0.7552714,-0.24813339,-0.25108334,0.32766122,0.85484666,-0.07591595,-0.61447006,-0.7291476,0.9051342,-0.07400149,-0.23494433,0.042547207,-0.15761107,-0.19089451,0.2460713,0.6424855,-0.3873186,-0.73116255,0.13470852,0.103335105,0.412,-0.38983995,-0.093496166,0.6186131,-0.10597087,0.011785476,-0.027017424,-0.51892775,0.6551574,-0.2707946,0.5175763,-0.87556106,-0.27652007,0.076812655,0.7417067,0.47965243,-0.47402784,0.39168787,0.15899687,-0.27426288,0.2675381,0.17620906,0.21815765,0.069422446,-0.5592327,-0.02061843,-0.19683605,0.0017173217,3,6,🧩 Integrative Hub,Unknown ❓,-1
RIMR,Unknown,585.0,14.190727699530516,57.0,0.1761363636363636,1953,357,275,3,0.6740939,0.099683724,-0.4702041,-0.1272507,-0.043802097,-0.6973429,-0.060482137,0.35542637,0.19860029,0.9095378,0.13116351,-0.13629107,-0.3135558,-0.5205148,-0.026982937,-0.41638502,-0.6556346,-0.23715967,-0.49611276,-0.040851068,0.41052422,0.0073443465,-0.9275617,-0.4482244,0.9523567,-0.046172906,-0.13920741,-0.39161432,-0.20464315,-0.5689578,0.28900963,0.5727761,-0.39538103,-0.60812294,0.15538996,0.5904305,-0.30020657,-0.18172693,0.20717072,0.17516458,-0.52920437,-0.12895556,-0.30558845,-0.40798423,0.536195,-0.56243736,0.08323766,-0.56357867,-0.9547191,0.12416756,0.5813942,0.5630223,-0.7033652,0.2520385,-0.23725498,0.07071461,0.20693702,0.18429852,0.19254164,-0.107608765,-0.1631477,-0.4224024,0.21601509,0.3031999,3,6,🧩 Integrative Hub,Relay 🧠,-1
SMBVR,Unknown,326.0,15.86,128.0,0.1290909090909091,741,19,50,2,0.28839752,0.07610237,-0.16915376,-0.32806677,-0.27077037,-0.5310125,-0.08842235,0.37279928,0.05557784,0.7570042,0.15250933,-0.315434,-0.36626455,-1.1177744,0.012027616,0.14104037,-0.6984155,-0.1584489,-0.35436183,-0.3371639,0.49514806,-0.30113307,-0.6937632,-0.49864635,1.0343891,-0.13778213,0.15819457,0.0006389032,0.16604795,-0.07068017,0.34090063,0.35006753,0.07954226,-0.92939943,-0.12204439,0.20498255,-0.040689353,-0.17099945,0.219163,0.47700036,-0.008206388,-0.13793544,-0.24495651,-0.41262224,1.1944189,-0.43533778,0.0018679259,-1.0711133,-0.5961326,0.6265366,0.7159782,0.42471778,-0.62909675,0.14813955,0.43521744,0.08745582,0.34660363,0.2263465,0.0121904835,0.22136755,-0.5213181,0.41090745,0.040968247,0.3311108,3,6,🧩 Integrative Hub,Unknown ❓,-1
ADER,Unknown,199.0,14.532882882882882,145.0,0.2,1596,217,43,5,0.401161,-0.06321906,-0.61129177,0.2755315,-0.10666206,-0.731697,0.3178972,0.16870292,-0.11782763,0.92079985,0.3274141,0.11937029,-0.5263313,-0.9602256,0.18680565,-0.16514981,-0.50048304,-0.13093099,-0.47568786,0.1876492,0.794345,-0.08689016,-0.79714876,-0.71895355,0.8014779,0.025953624,-0.081762,-0.30786577,-0.47578377,-0.21013229,0.3270033,0.15099561,-0.0939016,-0.6880979,0.13655026,0.1339732,-0.049350232,-0.32008725,-0.05306148,0.25284666,-0.11005967,-0.5098773,-0.1908388,-0.33374846,0.95166063,-0.18343963,0.75489223,-0.672872,-0.6611548,0.17784688,0.6949277,0.4965492,-0.25503874,0.1698258,-0.012455196,0.017782558,-0.24403803,0.1567258,0.21941915,-0.1877567,-0.48374546,0.17637481,-0.090163186,-0.05610362,3,6,🧩 Integrative Hub,Unknown ❓,-1
ASIL,Unknown,119.0,14.011111111111113,91.0,0.0613903167156741,325,87,23,2,0.2482726,0.1787411,-0.2806937,-0.19831833,-0.34410042,-0.6559878,0.12837158,0.4022478,0.18054079,0.6318944,0.41532072,-0.03725031,-0.5596551,-1.0832448,-0.36698988,-0.11215996,-0.821162,-0.21783891,-0.49086267,-0.13352184,0.40942767,-0.09559497,-0.39645672,-0.4255977,0.7502134,-0.6196785,-0.32822245,-0.09647076,-0.2102796,-0.4990577,-0.09493039,0.62531555,-0.17091228,-0.88572896,0.18244837,0.19051191,-0.575165,0.14778362,-0.16211338,0.40935794,-0.38338223,-0.7618729,-0.5295954,-0.43482566,0.6084325,-0.6967826,0.32225573,-0.2368381,0.012145963,0.17776833,0.95742863,0.27260348,-0.88352776,0.241654,-0.28069955,-0.64807004,-0.27502248,-0.020543113,-0.24629526,-0.32375276,-0.1821236,-0.012515677,0.17622319,0.18865336,3,6,🧩 Integrative Hub,Chemosensory 👃,-1
BDUR,Unknown,116.0,14.55952380952381,12.0,0.0482149381491727,378,119,103,2,0.10657187,-0.1831631,-0.29546762,-0.15216377,0.10464275,-0.70145625,0.28749153,0.10608754,-0.06697184,0.88014483,0.2969351,0.0832168,-0.07429762,-0.7913927,-0.11430769,-0.34810117,-1.1448702,-0.23158142,-0.16541259,-0.45023078,0.63527405,0.021216128,-0.48143962,-0.5739042,0.87207043,-0.35493204,-0.49739173,-0.35125884,-0.6392588,-0.20456605,-0.07999147,0.19723338,-0.23401521,-0.71196485,0.11110497,0.054306738,-0.2105887,0.083340116,-0.19967036,0.47899333,0.038077068,-0.48740616,0.027923878,-0.95594245,0.9479392,-0.13807292,-0.03408598,-0.60707504,-0.42257357,0.28202206,0.4132487,0.21732184,-0.8117068,0.5020442,-0.49094385,0.326922,-0.10964058,0.48207402,0.110973984,-0.19766983,-0.39261916,-0.047862034,-0.27105227,-0.15956098,3,6,🧩 Integrative Hub,Unknown ❓,-1
DVC,Unknown,241.0,17.11111111111111,169.0,0.1163262349703027,903,213,115,5,0.68717,-0.09184298,-0.19401579,0.015996575,-0.5024378,-0.7970046,0.29995415,0.41313946,0.12309452,0.7303307,0.1907439,0.07391379,-0.71685797,-0.67822313,0.2877827,-0.21058938,-0.7661235,-0.39520326,-0.23561035,0.17400561,0.4823436,0.18830885,-0.7333982,-0.5849181,0.7086843,-0.13886452,-0.18012956,-0.102124035,-0.24910578,-0.43493995,0.6587354,0.52453744,0.27511367,-0.7362652,-0.00092598045,0.3058292,-0.1860963,-0.16352876,0.1751653,0.27944878,-0.0003844077,-0.48712495,-0.43049234,-0.61409503,1.0191944,-0.07889867,0.39822653,-0.32763994,-0.65963876,-0.033505917,0.5385652,0.5803362,-0.7345211,0.15398408,-0.10141905,-0.017014747,0.012555022,-0.35791612,-0.009295571,0.12765874,0.05224548,0.132776,0.045445316,-0.014978994,3,6,🧩 Integrative Hub,Unknown ❓,-1
AVFR,Unknown,84.0,16.23787878787879,16.0,0.1290909090909091,990,196,129,5,0.23334299,-0.0179579,-0.3421447,-0.020991633,-0.30639556,-0.85381806,0.26931995,-0.051710013,0.05925847,0.8085426,0.71638197,-0.061139543,-0.3388939,-0.627511,-0.18004055,-0.5535056,-0.9513288,-0.32879686,-0.2268229,-0.21322362,0.45790753,-0.3138002,-0.5882233,-0.6818495,0.8176345,-0.045662235,-0.5274354,-0.18924586,-0.32878366,-0.42094323,-0.10997913,0.50764745,-0.38274196,-0.9921778,-0.25236383,-0.051140208,-0.22614175,0.13349852,-0.27591065,0.04533259,-0.078623615,-0.65336925,0.12649076,-0.6963763,0.94907415,-0.1528483,-0.10461002,-0.5049505,-0.6397333,0.1350068,0.6798289,0.038169462,-0.48347047,0.24497259,-0.23833849,0.041971765,-0.12810998,0.08754289,0.20573995,-0.074510254,-0.5453649,-0.059860617,0.2555516,0.23634906,3,6,🧩 Integrative Hub,Unknown ❓,-1
CEPVR,Unknown,228.0,14.5,108.0,0.1163262349703027,861,85,46,2,0.724061,0.35589576,-0.4019404,-0.01987432,-0.16775832,-0.9045043,-0.34068424,0.15787974,-0.29080746,0.8523888,0.23791964,-0.21422136,-0.3646505,-0.7614995,0.36637783,-0.50117886,-0.7298536,-0.3183497,-0.61250967,-0.01150472,0.822768,0.06745977,-0.43712303,-0.6174679,0.7130186,0.026509127,-0.48081133,0.008842925,-0.05913339,-0.16040966,0.07177164,0.64674723,-0.26668274,-0.7994916,0.23884723,0.11554171,-0.06247329,-0.42089674,-0.008658661,0.4586605,-0.03787662,-0.28152674,0.08238291,-0.38165626,0.760658,-0.21152535,0.5232034,-0.36130187,-0.21562807,0.6637148,0.5648445,0.4976741,-0.6200284,0.3535204,0.06751413,-0.07284666,0.010321404,0.3820776,0.4710436,0.18204296,-0.43518272,0.11734379,-0.35965115,0.18598792,3,6,🧩 Integrative Hub,Glia ⚙️,-1
