pre,post,gap_weight,chem_weight,functional_weight,uncertainty,data_sources
ADAL,DVB,,,,,[]
ADAL,DVC,,,,,[]
ADAL,FLPL,,,,,[]
ADAL,FLPR,,1.0,-0.0047164275310933,,"['chklovskii', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADAL,HSNL,,,,,[]
ADAL,HSNR,,,,,[]
ADAL,I1L,,,,,[]
ADAL,I1R,,,-0.0011882928665727,,['funconn']
ADAL,I2L,,,-0.0184136964380741,,['funconn']
ADAL,I2R,,,-0.0290513560175895,,['funconn']
ADAL,I3,,,,,[]
ADAL,I4,,,,,[]
ADAL,I5,,,,,[]
ADAL,I6,,,0.1779903769493103,,['funconn']
ADAL,IL1DL,,,0.0104047572240233,,['funconn']
ADAL,IL1DR,,,0.0103762373328208,,['funconn']
ADAL,IL1L,,,,,[]
ADAL,IL1R,,,,,[]
ADAL,IL1VL,,,,,[]
ADAL,IL1VR,,,,,[]
ADAL,IL2DL,,,0.0102641647681593,,['funconn']
ADAL,IL2DR,,,0.0401107184588909,,['funconn']
ADAL,IL2L,,,,,[]
ADAL,IL2R,,,0.1246772035956382,,['funconn']
ADAL,IL2VL,,,,,[]
ADAL,IL2VR,,,,,[]
ADAL,LUAL,,,,,[]
ADAL,LUAR,,,,,[]
ADAL,M1,,,,,[]
ADAL,M2L,,,0.0838793516159057,,['funconn']
ADAL,M2R,,,,,[]
ADAL,M3L,,,,,[]
ADAL,M3R,,,-0.0012002128642052,,['funconn']
ADAL,M4,,,,,[]
ADAL,M5,,,,,[]
ADAL,MCL,,,,,[]
ADAL,MCR,,,0.0135872801765799,,['funconn']
ADAL,MI,,,0.0185773037374019,,['funconn']
ADAL,NSML,,,,,[]
ADAL,NSMR,,,,,[]
ADAL,OLLL,,,,,[]
ADAL,OLLR,,,,,[]
ADAL,OLQDL,,,,,[]
ADAL,OLQDR,,,,,[]
ADAL,OLQVL,2.5,1.0,-0.0056617213413119,0.1499999999999999,"['cook2019', 'funconn', 'witvliet2020_8']"
ADAL,OLQVR,,,,,[]
ADAL,PDA,,,,,[]
ADAL,PDB,,,,,[]
ADAL,PDEL,,,,,[]
ADAL,PDER,,,,,[]
ADAL,PHAL,,,,,[]
ADAL,PHAR,,,,,[]
ADAL,PHBL,,,,,[]
ADAL,PHBR,,,,,[]
ADAL,PHCL,,,,,[]
ADAL,PHCR,,,,,[]
ADAL,PLML,,,,,[]
ADAL,PLMR,,,,,[]
ADAL,PLNL,,,,,[]
ADAL,PLNR,,,,,[]
ADAL,PQR,,,,,[]
ADAL,PVCL,,,,,[]
ADAL,PVCR,,,,,[]
ADAL,PVDL,,,,,[]
ADAL,PVDR,,,,,[]
ADAL,PVM,,,,,[]
ADAL,PVNL,,,,,[]
ADAL,PVNR,,,,,[]
ADAL,PVPL,,1.0,,,['cook2019']
ADAL,PVPR,,,,,[]
ADAL,PVQL,2.333333333333333,,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,PVQR,,,,,[]
ADAL,PVR,,,,,[]
ADAL,PVT,,,,,[]
ADAL,PVWL,,,,,[]
ADAL,PVWR,,,,,[]
ADAL,RIAL,,,0.0061019542627036,,['funconn']
ADAL,RIAR,,,,,[]
ADAL,RIBL,,,0.109184056520462,,['funconn']
ADAL,RIBR,,,,,[]
ADAL,RICL,,1.6666666666666667,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAL,RICR,,1.1428571428571428,0.0010164738632738,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAL,RID,,,0.1139814108610153,,['funconn']
ADAL,RIFL,,,,,[]
ADAL,RIFR,,,-0.0051091597415506,,['funconn']
ADAL,RIGL,,,,,[]
ADAL,RIGR,,,-0.0066222664900124,,['funconn']
ADAL,RIH,,,,,[]
ADAL,RIML,,4.875,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RIMR,,,,,[]
ADAL,RIPL,,2.875,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,RIPR,,2.0,,,['witvliet2020_8']
ADAL,RIR,,,,,[]
ADAL,RIS,,,,,[]
ADAL,RIVL,,,-0.0102716945111751,,['funconn']
ADAL,RIVR,,,-0.0149606633931398,,['funconn']
ADAL,RMDDL,,,0.0273562856018543,,['funconn']
ADAL,RMDDR,,,0.101044550538063,,['funconn']
ADAL,RMDL,,,-0.0192140527069568,,['funconn']
ADAL,RMDR,,,0.024113031104207,,['funconn']
ADAL,RMDVL,,,0.0558422952890396,,['funconn']
ADAL,RMDVR,,,0.0019297873368486,,['funconn']
ADAL,RMED,,,,,[]
ADAL,RMEL,,,,,[]
ADAL,RMER,,,0.026099007576704,,['funconn']
ADAL,RMEV,,,,,[]
ADAL,RMFL,,2.0,0.0561261884868145,,"['funconn', 'witvliet2020_8']"
ADAL,RMFR,,,0.0102460989728569,,['funconn']
ADAL,RMGL,,,-0.0031358795240521,,['funconn']
ADAL,RMGR,,,,,[]
ADAL,RMHL,,,,,[]
ADAL,RMHR,,,,,[]
ADAL,SAADL,,1.0,0.0833848491311073,,"['funconn', 'witvliet2020_8']"
ADAL,SAADR,,,,,[]
ADAL,SAAVL,,,-0.007337664719671,,['funconn']
ADAL,SAAVR,,,,,[]
ADAL,SABD,,,,,[]
ADAL,SABVL,,,,,[]
ADAL,SABVR,,,,,[]
ADAL,SDQL,,,,,[]
ADAL,SDQR,,,,,[]
ADAL,SIADL,,,,,[]
ADAL,SIADR,,,,,[]
ADAL,SIAVL,,,,,[]
ADAL,SIAVR,,,,,[]
ADAL,SIBDL,,,,,[]
ADAL,SIBDR,,,,,[]
ADAL,SIBVL,,,,,[]
ADAL,SIBVR,,,,,[]
ADAL,SMBDL,,,,,[]
ADAL,SMBDR,,,,,[]
ADAL,SMBVL,,,,,[]
ADAL,SMBVR,,,,,[]
ADAL,SMDDL,,,,,[]
ADAL,SMDDR,,,,,[]
ADAL,SMDVL,,,,,[]
ADAL,SMDVR,,2.0,-0.0053377812728285,,"['cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,URADL,,,,,[]
ADAL,URADR,,,,,[]
ADAL,URAVL,,1.0,0.0522731319069862,,"['cook2019', 'funconn']"
ADAL,URAVR,,,,,[]
ADAL,URBL,,,0.0124311661347746,,['funconn']
ADAL,URBR,,,,,[]
ADAL,URXL,,1.5,,,"['cook2019', 'witvliet2020_7']"
ADAL,URXR,,,0.0049744751304388,,['funconn']
ADAL,URYDL,,,0.0310629103332757,,['funconn']
ADAL,URYDR,,,0.0596319176256656,,['funconn']
ADAL,URYVL,,,0.0318929105997085,,['funconn']
ADAL,URYVR,,,0.0067802714183926,,['funconn']
ADAL,VA1,,,0.0443472638726234,,['funconn']
ADAL,VA10,,,,,[]
ADAL,VA11,,,,,[]
ADAL,VA12,,,,,[]
ADAL,VA2,,,,,[]
ADAL,VA3,,,,,[]
ADAL,VA4,,,,,[]
ADAL,VA5,,,,,[]
ADAL,VA6,,,,,[]
ADAL,VA7,,,,,[]
ADAL,VA8,,,,,[]
ADAL,VA9,,,,,[]
ADAL,VB1,,,,,[]
ADAL,VB10,,,,,[]
ADAL,VB11,,,,,[]
ADAL,VB2,,,0.0462022013962268,,['funconn']
ADAL,VB3,,,,,[]
ADAL,VB4,,,,,[]
ADAL,VB5,,,,,[]
ADAL,VB6,,,,,[]
ADAL,VB7,,,,,[]
ADAL,VB8,,,,,[]
ADAL,VB9,,,,,[]
ADAL,VC1,,,,,[]
ADAL,VC2,,,,,[]
ADAL,VC3,,,,,[]
ADAL,VC4,,,,,[]
ADAL,VC5,,,,,[]
ADAL,VC6,,,,,[]
ADAL,VD1,,,,,[]
ADAL,VD10,,,,,[]
ADAL,VD11,,,,,[]
ADAL,VD12,,,,,[]
ADAL,VD13,,,,,[]
ADAL,VD2,,,,,[]
ADAL,VD3,,,,,[]
ADAL,VD4,,,,,[]
ADAL,VD5,,,,,[]
ADAL,VD6,,,,,[]
ADAL,VD7,,,,,[]
ADAL,VD8,,,,,[]
ADAL,VD9,,,,,[]
ADAR,ADAL,2.0,,-0.0001712718803901,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAR,ADEL,,,0.0333539620041847,,['funconn']
ADAR,ADER,,1.0,,,['witvliet2020_7']
ADAR,ADFL,,,-0.0039878357201814,,['funconn']
ADAR,ADFR,2.333333333333333,,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,ADLL,,,0.0313981808722019,,['funconn']
ADAR,ADLR,,,-6.664381362497807e-05,,['funconn']
ADAR,AFDL,,,0.0201771222054958,,['funconn']
ADAR,AFDR,,,,,[]
ADAR,AIAL,,,,,[]
ADAR,AIAR,,,,,[]
ADAR,AIBL,,1.1428571428571428,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AIBR,,1.3333333333333333,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AIML,,,,,[]
ADAR,AIMR,,,,,[]
ADAR,AINL,,,-0.0115842577069997,,['funconn']
ADAR,AINR,,,-0.0236464776098728,,['funconn']
ADAR,AIYL,,,,,[]
ADAR,AIYR,,,0.0403881929814815,,['funconn']
ADAR,AIZL,,,0.0492522902786731,,['funconn']
ADAR,AIZR,,,0.0263929776847362,,['funconn']
ADAR,ALA,,,-0.0156891234219074,,['funconn']
ADAR,ALML,,,,,[]
ADAR,ALMR,,,,,[]
ADAR,ALNL,,,,,[]
ADAR,ALNR,,,,,[]
ADAR,AQR,,,,,[]
ADAR,AS1,,,,,[]
ADAR,AS10,,,,,[]
ADAR,AS11,,,,,[]
ADAR,AS2,,,,,[]
ADAR,AS3,,,,,[]
ADAR,AS4,,,,,[]
ADAR,AS5,,,,,[]
ADAR,AS6,,,,,[]
ADAR,AS7,,,,,[]
ADAR,AS8,,,,,[]
ADAR,AS9,,,,,[]
ADAR,ASEL,,,0.0459421537816524,,['funconn']
ADAR,ASER,,,,,[]
ADAR,ASGL,,,0.0329104326665401,,['funconn']
ADAR,ASGR,,,,,[]
ADAR,ASHL,,,-0.0282962992787361,,['funconn']
ADAR,ASHR,3.0,1.5,,0.6370828693386971,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,ASIL,,,0.0575156584382057,,['funconn']
ADAR,ASIR,,,,,[]
ADAR,ASJL,,,,,[]
ADAR,ASJR,,,-0.0238894410431385,,['funconn']
ADAR,ASKL,,,0.0102524738758802,,['funconn']
ADAR,ASKR,,,,,[]
ADAR,AUAL,,,0.3197585344314575,,['funconn']
ADAR,AUAR,,,,,[]
ADAR,AVAL,,1.1428571428571428,0.0093480851501226,,"['chklovskii', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVAR,,3.0,0.0162419471889734,,"['cook2019', 'funconn', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVBL,,3.0,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVBR,,9.25,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVDL,3.0,1.5,,0.5316496580927725,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AVDR,1.5,3.0,,0.0499999999999999,"['cook2019', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVEL,,1.0,-0.0003265399427618,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAR,AVER,,1.0,,,"['witvliet2020_7', 'witvliet2020_8']"
ADAR,AVFL,,,,,[]
ADAR,AVFR,,,,,[]
ADAR,AVG,,,0.0615493319928646,,['funconn']
ADAR,AVHL,,,,,[]
ADAR,AVHR,,,-0.0136022754013538,,['funconn']
ADAR,AVJL,,5.75,0.0563656389713287,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVJR,,,,,[]
ADAR,AVKL,,,0.1253659576177597,,['funconn']
ADAR,AVKR,,,,,[]
ADAR,AVL,,,,,[]
ADAR,AVM,,,,,[]
ADAR,AWAL,,,0.0451573207974433,,['funconn']
ADAR,AWAR,,,,,[]
ADAR,AWBL,,,0.0197467133402824,,['funconn']
ADAR,AWBR,1.0,,-0.0078299585729837,,"['funconn', 'witvliet2020_8']"
ADAR,AWCL,,,,,[]
ADAR,AWCR,,,,,[]
ADAR,BAGL,,,-0.0094646336510777,,['funconn']
ADAR,BAGR,,,0.0340249314904212,,['funconn']
ADAR,BDUL,,,,,[]
ADAR,BDUR,,,,,[]
ADAR,CEPDL,,,,,[]
ADAR,CEPDR,,,-0.0014474430354312,,['funconn']
ADAR,CEPVL,,,,,[]
ADAR,CEPVR,,,0.0066635399125516,,['funconn']
ADAR,DA1,,,,,[]
ADAR,DA2,,,,,[]
ADAR,DA3,,,,,[]
ADAR,DA4,,,,,[]
ADAR,DA5,,,,,[]
ADAR,DA6,,,,,[]
ADAR,DA7,,,,,[]
ADAR,DA8,,,,,[]
ADAR,DA9,,,,,[]
ADAR,DB1,,,,,[]
ADAR,DB2,,,0.1289548724889755,,['funconn']
ADAR,DB3,,,,,[]
ADAR,DB4,,,,,[]
ADAR,DB5,,,,,[]
ADAR,DB6,,,,,[]
ADAR,DB7,,,,,[]
ADAR,DD1,,,,,[]
ADAR,DD2,,,,,[]
ADAR,DD3,,,,,[]
ADAR,DD4,,,,,[]
ADAR,DD5,,,,,[]
ADAR,DD6,,,,,[]
ADAR,DVA,,1.0,,,['witvliet2020_7']
ADAR,DVB,,,,,[]
ADAR,DVC,,,,,[]
ADAR,FLPL,,,0.0553082264959812,,['funconn']
ADAR,FLPR,,,0.1353970617055893,,['funconn']
ADAR,HSNL,,,,,[]
ADAR,HSNR,,,,,[]
