wbgene,symbol,sequence
WBGene00001999,hrp-1,hrp-1
WBGene00018330,elks-1,elks-1
WBGene00021952,vha-19,vha-19
WBGene00015249,otub-4,otub-4
WBGene00015250,B0546.3,B0546.3
WBGene00015251,B0546.4,B0546.4
WBGene00015248,mai-2,mai-2
WBGene00019048,F58E2.4,F58E2.4
WBGene00000424,ced-10,ced-10
WBGene00015658,tsg-101,tsg-101
WBGene00006769,unc-33,unc-33
WBGene00021374,Y37E11B.1,Y37E11B.1
WBGene00021376,blos-7,blos-7
WBGene00006383,taf-2,taf-2
WBGene00021379,Y37E11B.7,Y37E11B.7
WBGene00022608,madf-9,madf-9
WBGene00016987,CC8.2,CC8.2
WBGene00003129,map-1,map-1
WBGene00021363,taf-6.2,taf-6.2
WBGene00021364,Y37E11AL.9,Y37E11AL.9
WBGene00021357,Y37E11AL.1,Y37E11AL.1
WBGene00021367,Y37E11AM.3,Y37E11AM.3
WBGene00021366,Y37E11AM.2,Y37E11AM.2
WBGene00021365,smgl-2,smgl-2
WBGene00021369,siah-1,siah-1
WBGene00019724,M02B7.2,M02B7.2
WBGene00044690,M02B7.7,M02B7.7
WBGene00019726,bris-1,bris-1
WBGene00018145,F37C4.5,F37C4.5
WBGene00219307,F56D6.17,F56D6.17
WBGene00020929,W02C12.2,W02C12.2
WBGene00020930,hlh-30,hlh-30
WBGene00018064,cdc-73,cdc-73
WBGene00016435,C35B1.5,C35B1.5
WBGene00016432,C35B1.2,C35B1.2
WBGene00006701,ubc-1,ubc-1
WBGene00004385,rnp-2,rnp-2
WBGene00004386,rnp-3,rnp-3
WBGene00001033,dnj-15,dnj-15
WBGene00000123,ama-1,ama-1
WBGene00003668,nhr-78,nhr-78
WBGene00005662,sars-2,sars-2
WBGene00018898,F55F10.1,F55F10.1
WBGene00021286,tald-1,tald-1
WBGene00004419,rpl-7A,rpl-7A
WBGene00021281,ell-1,ell-1
WBGene00019953,wapl-1,wapl-1
WBGene00019947,htz-1,htz-1
WBGene00019946,chat-1,chat-1
WBGene00019719,M01H9.3,M01H9.3
WBGene00019720,M01H9.4,M01H9.4
WBGene00022675,gbb-2,gbb-2
WBGene00195011,ZK180.8,ZK180.8
WBGene00022678,sar-1,sar-1
WBGene00017900,F28E10.1,F28E10.1
WBGene00000684,col-110,col-110
WBGene00017597,F19C7.8,F19C7.8
WBGene00006706,ubc-9,ubc-9
WBGene00004205,psr-1,psr-1
WBGene00017924,mrps-21,mrps-21
WBGene00017925,F29B9.11,F29B9.11
WBGene00017920,jmjd-1.2,jmjd-1.2
WBGene00017919,F29B9.1,F29B9.1
WBGene00020679,ogdh-1,ogdh-1
WBGene00019543,cif-1,cif-1
WBGene00006968,yars-2,yars-2
WBGene00019544,miro-1,miro-1
WBGene00017119,timm-17B.1,timm-17B.1
WBGene00017121,cyc-2.1,cyc-2.1
WBGene00004432,rpl-20,rpl-20
WBGene00021205,Y17G9B.8,Y17G9B.8
WBGene00001324,eor-1,eor-1
WBGene00001060,dpf-7,dpf-7
WBGene00001058,dpf-5,dpf-5
WBGene00019163,ubxn-6,ubxn-6
WBGene00019162,eif-1.A,eif-1.A
WBGene00006211,str-166,str-166
WBGene00006207,str-162,str-162
WBGene00006051,ssq-2,ssq-2
WBGene00044484,hot-9,hot-9
WBGene00015330,C02B10.5,C02B10.5
WBGene00015327,snpn-1,snpn-1
WBGene00015329,C02B10.4,C02B10.4
WBGene00015328,C02B10.3,C02B10.3
WBGene00016055,C24D10.4,C24D10.4
WBGene00020994,W03F8.4,W03F8.4
WBGene00195093,Y59E9AL.36,Y59E9AL.36
WBGene00043064,nbet-1,nbet-1
WBGene00021156,Y4C6B.2,Y4C6B.2
WBGene00018319,hda-6,hda-6
WBGene00018317,F41H10.4,F41H10.4
WBGene00018321,sand-1,sand-1
WBGene00022776,perm-3,perm-3
WBGene00022774,swsn-6,swsn-6
WBGene00022773,ZK616.3,ZK616.3
WBGene00022772,ZK616.2,ZK616.2
WBGene00001411,fem-1,fem-1
WBGene00001093,drp-1,drp-1
WBGene00020464,T12E12.3,T12E12.3
WBGene00020463,cec-6,cec-6
WBGene00219682,linc-50,linc-50
WBGene00000247,bec-1,bec-1
WBGene00019263,H35B03.1,H35B03.1
WBGene00019264,H35B03.2,H35B03.2
WBGene00016289,lntl-1,lntl-1
WBGene00015680,egal-1,egal-1
WBGene00015540,sams-4,sams-4
WBGene00171412,21ur-8397,21ur-8397
WBGene00003019,lin-33,lin-33
WBGene00002129,inx-7,inx-7
WBGene00004494,rps-25,rps-25
WBGene00006780,unc-44,unc-44
WBGene00019205,kcc-2,kcc-2
WBGene00000535,cpi-1,cpi-1
WBGene00015703,C11D2.7,C11D2.7
WBGene00015702,C11D2.4,C11D2.4
WBGene00006809,unc-77,unc-77
WBGene00019055,F58F9.1,F58F9.1
WBGene00020469,T13A10.2,T13A10.2
WBGene00003754,nlp-16,nlp-16
WBGene00001853,hil-2,hil-2
WBGene00022235,sqd-1,sqd-1
WBGene00003082,lsm-8,lsm-8
WBGene00004783,seu-1,seu-1
WBGene00022233,ipla-6,ipla-6
WBGene00004881,smg-3,smg-3
WBGene00022253,hrpf-2,hrpf-2
WBGene00022240,shl-1,shl-1
WBGene00022245,acp-6,acp-6
WBGene00022248,Y73B6BL.27,Y73B6BL.27
WBGene00015309,C01G5.7,C01G5.7
WBGene00235291,C01G5.25,C01G5.25
WBGene00015310,fan-1,fan-1
WBGene00016610,paqr-1,paqr-1
WBGene00018160,odr-8,odr-8
WBGene00018161,F38A5.2,F38A5.2
WBGene00018164,sup-36,sup-36
WBGene00001090,drh-1,drh-1
WBGene00001091,drh-2,drh-2
WBGene00015282,C01B10.8,C01B10.8
WBGene00004885,smg-7,smg-7
WBGene00003030,lin-45,lin-45
WBGene00019259,H34C03.2,H34C03.2
WBGene00015927,dyci-1,dyci-1
WBGene00006917,vha-8,vha-8
WBGene00015935,C17H12.10,C17H12.10
WBGene00015934,ceh-48,ceh-48
WBGene00003043,lip-1,lip-1
WBGene00006608,tre-2,tre-2
WBGene00020234,T05A12.3,T05A12.3
WBGene00195050,T22D1.17,T22D1.17
WBGene00004458,rpn-1,rpn-1
WBGene00020683,ribo-1,ribo-1
WBGene00020682,T22D1.3,T22D1.3
WBGene00020689,npr-12,npr-12
WBGene00002178,jnk-1,jnk-1
WBGene00015552,C06G3.6,C06G3.6
WBGene00015551,C06G3.5,C06G3.5
