wbgene,symbol,sequence
WBGene00008783,F14B6.2,F14B6.2
WBGene00012106,T27F6.7,T27F6.7
WBGene00006829,unc-101,unc-101
WBGene00010770,K11D2.4,K11D2.4
WBGene00012208,W02D9.2,W02D9.2
WBGene00012216,W02D9.10,W02D9.10
WBGene00001008,dlk-1,dlk-1
WBGene00010419,atp-1,atp-1
WBGene00003921,par-6,par-6
WBGene00012042,T26E3.10,T26E3.10
WBGene00012192,W02A11.1,W02A11.1
WBGene00012036,clec-103,clec-103
WBGene00006889,pfd-3,pfd-3
WBGene00012193,vps-25,vps-25
WBGene00012194,toe-4,toe-4
WBGene00006700,uba-2,uba-2
WBGene00007094,B0019.2,B0019.2
WBGene00012477,Y18D10A.4,Y18D10A.4
WBGene00001746,gsk-3,gsk-3
WBGene00003905,pad-1,pad-1
WBGene00012484,car-1,car-1
WBGene00001433,fkb-8,fkb-8
WBGene00001427,fkb-2,fkb-2
WBGene00003989,pfn-1,pfn-1
WBGene00008131,C47B2.2,C47B2.2
WBGene00006529,tba-2,tba-2
WBGene00003948,pbs-2,pbs-2
WBGene00004063,pmr-1,pmr-1
WBGene00012274,W05B5.1,W05B5.1
WBGene00009064,F22G12.4,F22G12.4
WBGene00009065,F22G12.5,F22G12.5
WBGene00010805,M01E5.2,M01E5.2
WBGene00010806,M01E5.3,M01E5.3
WBGene00006595,top-1,top-1
WBGene00011433,pde-1,pde-1
WBGene00011434,T04D3.5,T04D3.5
WBGene00012343,W08E3.2,W08E3.2
WBGene00004915,snr-2,snr-2
WBGene00012344,ola-1,ola-1
WBGene00012732,Y40B1A.1,Y40B1A.1
WBGene00012734,Y40B1A.3,Y40B1A.3
WBGene00012735,sptf-3,sptf-3
WBGene00007217,tads-1,tads-1
WBGene00007216,C01A2.4,C01A2.4
WBGene00007213,C01A2.1,C01A2.1
WBGene00012290,W05H12.2,W05H12.2
WBGene00219206,W05H12.4,W05H12.4
WBGene00012289,W05H12.1,W05H12.1
WBGene00012740,slc-25A46,slc-25A46
WBGene00012738,eif-3.J,eif-3.J
WBGene00005010,spr-5,spr-5
WBGene00013021,ints-8,ints-8
WBGene00045238,rpr-1,rpr-1
WBGene00013020,Y48G10A.3,Y48G10A.3
WBGene00013019,Y48G10A.2,Y48G10A.2
WBGene00013018,Y48G10A.1,Y48G10A.1
WBGene00013604,Y87G2A.18,Y87G2A.18
WBGene00013593,Y87G2A.1,Y87G2A.1
WBGene00219288,Y87G2A.25,Y87G2A.25
WBGene00013594,Y87G2A.2,Y87G2A.2
WBGene00000089,aex-6,aex-6
WBGene00000891,cyn-15,cyn-15
WBGene00013597,gpi-1,gpi-1
WBGene00006709,ubc-14,ubc-14
WBGene00013598,vps-28,vps-28
WBGene00013599,eipr-1,eipr-1
WBGene00013601,Y87G2A.13,Y87G2A.13
WBGene00012351,W09C5.1,W09C5.1
WBGene00004445,rpl-31,rpl-31
WBGene00012353,W09C5.7,W09C5.7
WBGene00012354,cox-4,cox-4
WBGene00012234,ints-4,ints-4
WBGene00012393,Y6B3B.9,Y6B3B.9
WBGene00012389,Y6B3B.4,Y6B3B.4
WBGene00012578,Y37H9A.3,Y37H9A.3
WBGene00003581,ndx-4,ndx-4
WBGene00014870,Y37H9A.4,Y37H9A.4
WBGene00014871,Y37H9A.5,Y37H9A.5
WBGene00012370,W09G3.7,W09G3.7
WBGene00012366,maea-1,maea-1
WBGene00012371,W09G3.8,W09G3.8
WBGene00012368,fbxa-93,fbxa-93
WBGene00012241,W04A8.6,W04A8.6
WBGene00006382,taf-1,taf-1
WBGene00004475,rps-6,rps-6
WBGene00014947,Y71A12B.14,Y71A12B.14
WBGene00013509,Y71A12B.12,Y71A12B.12
WBGene00002112,ins-29,ins-29
WBGene00002108,ins-25,ins-25
WBGene00002110,ins-27,ins-27
WBGene00009824,gpdh-1,gpdh-1
WBGene00009823,gadr-6,gadr-6
WBGene00006565,tfg-1,tfg-1
WBGene00001047,dnj-29,dnj-29
WBGene00013406,Y63D3A.7,Y63D3A.7
WBGene00010537,mys-2,mys-2
WBGene00003980,pes-7,pes-7
WBGene00009865,F49B2.6,F49B2.6
WBGene00000158,apg-1,apg-1
WBGene00013670,hpo-13,hpo-13
WBGene00013671,Y105E8A.11,Y105E8A.11
WBGene00004489,rps-20,rps-20
WBGene00013676,ekl-4,ekl-4
WBGene00013677,yars-1,yars-1
WBGene00013678,Y105E8A.20,Y105E8A.20
WBGene00013685,Y105E8A.28,Y105E8A.28
WBGene00013679,Y105E8A.21,Y105E8A.21
WBGene00013680,rpom-1,rpom-1
WBGene00013682,Y105E8A.25,Y105E8A.25
WBGene00013687,exoc-8,exoc-8
WBGene00013692,Y105E8B.7,Y105E8B.7
WBGene00013689,bath-40,bath-40
WBGene00013688,riok-2,riok-2
WBGene00013690,hprt-1,hprt-1
WBGene00013691,Y105E8B.6,Y105E8B.6
WBGene00001334,ero-1,ero-1
WBGene00003790,npp-4,npp-4
WBGene00013202,Y54E5A.7,Y54E5A.7
WBGene00003951,pbs-5,pbs-5
WBGene00010579,K05C4.2,K05C4.2
WBGene00001979,hmp-2,hmp-2
WBGene00009559,mtx-1,mtx-1
WBGene00001030,dnj-12,dnj-12
WBGene00004495,rps-26,rps-26
WBGene00009558,F39B2.8,F39B2.8
WBGene00009556,F39B2.5,F39B2.5
WBGene00006349,sur-2,sur-2
WBGene00009554,F39B2.3,F39B2.3
WBGene00006730,uev-1,uev-1
WBGene00009553,hinf-1,hinf-1
WBGene00010767,blos-9,blos-9
WBGene00004889,smp-1,smp-1
WBGene00002324,let-49,let-49
WBGene00006711,ubc-16,ubc-16
WBGene00009304,eva-1,eva-1
WBGene00009306,maph-1.1,maph-1.1
WBGene00006789,unc-54,unc-54
WBGene00001488,frm-1,frm-1
WBGene00002189,kin-1,kin-1
WBGene00014148,ZK909.3,ZK909.3
WBGene00013970,klu-1,klu-1
WBGene00009371,F33H2.8,F33H2.8
WBGene00009367,F33H2.3,F33H2.3
WBGene00000881,cyn-5,cyn-5
WBGene00009285,F31C3.3,F31C3.3
WBGene00009286,zipt-1,zipt-1
WBGene00004677,rrn-3.56,rrn-3.56
WBGene00004512,rrn-1.1,rrn-1.1
WBGene00004567,rrn-2.1,rrn-2.1
WBGene00004622,rrn-3.1,rrn-3.1
WBGene00196396,F31C3.14,F31C3.14
WBGene00195813,F31C3.13,F31C3.13
WBGene00002061,ife-3,ife-3
WBGene00001177,egl-8,egl-8
WBGene00015152,B0348.2,B0348.2
WBGene00004496,rps-27,rps-27
WBGene00021004,sftb-2,sftb-2
WBGene00022434,Y108G3AL.2,Y108G3AL.2
WBGene00000838,cul-3,cul-3
WBGene00044689,arid-1,arid-1
WBGene00077643,trpp-1,trpp-1
WBGene00017080,lec-12,lec-12
WBGene00019818,R02C2.7,R02C2.7
WBGene00018013,phf-10,phf-10
WBGene00015759,C14C6.5,C14C6.5
WBGene00018615,F48G7.4,F48G7.4
WBGene00018614,pals-31,pals-31
WBGene00018622,nhr-190,nhr-190
WBGene00019244,H25P19.1,H25P19.1
WBGene00019243,fbxb-72,fbxb-72
WBGene00019983,sti-1,sti-1
WBGene00020058,R13D11.4,R13D11.4
WBGene00001480,fmo-5,fmo-5
WBGene00019240,H24K24.3,H24K24.3
WBGene00021748,Y50D4C.3,Y50D4C.3
WBGene00021750,Y50D4C.6,Y50D4C.6
WBGene00006770,unc-34,unc-34
WBGene00019971,ergo-1,ergo-1
WBGene00019623,K10C9.1,K10C9.1
WBGene00000552,cmd-1,cmd-1
WBGene00021738,Y50D4A.4,Y50D4A.4
WBGene00021736,wrb-1,wrb-1
WBGene00021739,Y50D4A.5,Y50D4A.5
WBGene00016539,madd-2,madd-2
WBGene00016538,C39F7.1,C39F7.1
WBGene00004266,rab-1,rab-1
WBGene00016540,C39F7.5,C39F7.5
WBGene00044774,F16B3.3,F16B3.3
WBGene00022284,glb-33,glb-33
WBGene00004923,snt-3,snt-3
WBGene00004925,snt-5,snt-5
WBGene00018757,tag-304,tag-304
WBGene00302980,F53E2.2,F53E2.2
WBGene00006794,unc-60,unc-60
WBGene00018706,F52F10.2,F52F10.2
WBGene00022805,nhr-256,nhr-256
WBGene00002016,hsp-16.2,hsp-16.2
WBGene00002018,hsp-16.41,hsp-16.41
WBGene00020388,T10B5.2,T10B5.2
WBGene00020389,T10B5.3,T10B5.3
WBGene00020390,T10B5.4,T10B5.4
WBGene00020391,cct-7,cct-7
WBGene00020279,glb-25,glb-25
WBGene00019095,F59A7.8,F59A7.8
WBGene00268196,F59A7.14,F59A7.14
WBGene00003676,nhr-86,nhr-86
WBGene00021486,lbp-9,lbp-9
WBGene00000514,ckb-4,ckb-4
WBGene00017724,F22F7.7,F22F7.7
WBGene00003724,nhr-134,nhr-134
WBGene00018266,nhr-183,nhr-183
WBGene00020852,nhr-228,nhr-228
WBGene00018911,F56A4.3,F56A4.3
WBGene00018762,F53E10.6,F53E10.6
WBGene00003579,ndx-2,ndx-2
WBGene00020952,kel-8,kel-8
WBGene00021564,Y45G12B.3,Y45G12B.3
WBGene00021562,nuo-5,nuo-5
WBGene00018140,F37B4.10,F37B4.10
WBGene00016471,srab-8,srab-8
WBGene00022260,Y73C8B.3,Y73C8B.3
WBGene00020883,fbxa-64,fbxa-64
WBGene00018056,F35F10.6,F35F10.6
WBGene00015885,fbxa-65,fbxa-65
WBGene00015577,ugt-64,ugt-64
WBGene00020696,pygl-1,pygl-1
WBGene00004422,rpl-11.1,rpl-11.1
WBGene00020695,T22F3.2,T22F3.2
WBGene00003025,lin-40,lin-40
WBGene00020854,T27C4.1,T27C4.1
WBGene00219739,linc-136,linc-136
WBGene00003479,mtm-9,mtm-9
WBGene00021482,Y39H10A.6,Y39H10A.6
WBGene00019180,H10D18.5,H10D18.5
WBGene00019177,H10D18.1,H10D18.1
WBGene00015041,cyp-34A6,cyp-34A6
WBGene00003767,nlp-29,nlp-29
WBGene00003765,nlp-27,nlp-27
WBGene00268212,D1065.6,D1065.6
WBGene00021554,Y45G5AL.1,Y45G5AL.1
WBGene00021559,Y45G5AM.7,Y45G5AM.7
WBGene00021560,coh-4,coh-4
WBGene00003751,nlp-13,nlp-13
WBGene00017062,glrx-3,glrx-3
WBGene00017981,figl-1,figl-1
WBGene00017982,hpo-18,hpo-18
WBGene00017984,F32D1.5,F32D1.5
WBGene00017988,fipp-1,fipp-1
WBGene00021625,Y47D7A.13,Y47D7A.13
WBGene00021626,rft-2,rft-2
WBGene00019224,gnrr-5,gnrr-5
WBGene00006796,unc-62,unc-62
WBGene00020904,T28F12.1,T28F12.1
WBGene00022019,sut-2,sut-2
WBGene00022015,Y61A9LA.3,Y61A9LA.3
WBGene00022022,Y61A9LA.11,Y61A9LA.11
WBGene00022021,Y61A9LA.10,Y61A9LA.10
WBGene00018814,F54D11.4,F54D11.4
WBGene00019353,K03B4.1,K03B4.1
WBGene00022584,ZC266.1,ZC266.1
WBGene00018208,F39G3.3,F39G3.3
WBGene00002010,hsp-6,hsp-6
WBGene00019842,R02F11.4,R02F11.4
WBGene00016509,adss-1,adss-1
WBGene00016508,C37H5.5,C37H5.5
WBGene00016511,C37H5.13,C37H5.13
WBGene00019232,ugt-13,ugt-13
WBGene00015340,C02E7.7,C02E7.7
WBGene00015339,C02E7.6,C02E7.6
WBGene00006523,tam-1,tam-1
WBGene00004136,pqn-51,pqn-51
WBGene00019651,K11D12.12,K11D12.12
WBGene00003374,mlk-1,mlk-1
WBGene00015450,C04F5.8,C04F5.8
WBGene00021614,Y47A7.2,Y47A7.2
WBGene00021613,ttc-37,ttc-37
WBGene00015074,natc-2,natc-2
WBGene00001037,dnj-19,dnj-19
WBGene00003637,nhr-47,nhr-47
WBGene00016060,mms-19,mms-19
WBGene00016062,C24G6.8,C24G6.8
WBGene00015969,glb-6,glb-6
WBGene00002215,klc-2,klc-2
WBGene00003927,pas-6,pas-6
WBGene00016989,mrpl-48,mrpl-48
WBGene00000795,crn-2,crn-2
WBGene00019757,memb-2,memb-2
WBGene00017768,F25B4.5,F25B4.5
WBGene00017769,hmgs-1,hmgs-1
WBGene00017772,clec-1,clec-1
WBGene00018426,F44E7.4,F44E7.4
WBGene00002637,let-418,let-418
WBGene00000713,col-140,col-140
WBGene00017834,F26F12.3,F26F12.3
WBGene00015423,C04E6.7,C04E6.7
WBGene00019764,M03F8.5,M03F8.5
WBGene00019762,M03F8.3,M03F8.3
WBGene00004206,pst-1,pst-1
WBGene00019765,M03F8.6,M03F8.6
WBGene00003954,pcm-1,pcm-1
WBGene00015678,mcp-1,mcp-1
WBGene00198675,C10F3.13,C10F3.13
WBGene00000069,acy-2,acy-2
WBGene00000979,dhs-16,dhs-16
WBGene00001508,fut-8,fut-8
WBGene00001345,fos-1,fos-1
WBGene00004502,rpt-2,rpt-2
WBGene00000159,aps-1,aps-1
WBGene00017931,picc-1,picc-1
WBGene00000534,cpi-2,cpi-2
WBGene00019806,pgap-3,pgap-3
WBGene00019808,R01B10.6,R01B10.6
WBGene00000802,crt-1,crt-1
WBGene00017535,atf-8,atf-8
WBGene00004373,rme-1,rme-1
WBGene00021068,W06H8.6,W06H8.6
WBGene00019521,dmd-7,dmd-7
WBGene00006437,mrck-1,mrck-1
WBGene00017430,bcl-11,bcl-11
WBGene00020273,T05H4.10,T05H4.10
WBGene00020274,T05H4.11,T05H4.11
WBGene00020275,atp-4,atp-4
WBGene00000110,alh-4,alh-4
WBGene00001513,gad-1,gad-1
WBGene00020268,hpo-19,hpo-19
WBGene00022646,acl-9,acl-9
WBGene00006815,unc-83,unc-83
WBGene00002273,lec-10,lec-10
WBGene00006722,ubh-2,ubh-2
WBGene00018491,mdh-1,mdh-1
WBGene00001089,dre-1,dre-1
WBGene00002148,gon-14,gon-14
WBGene00000784,cpr-4,cpr-4
WBGene00004740,scd-2,scd-2
WBGene00020425,syx-18,syx-18
WBGene00004897,snb-1,snb-1
WBGene00020949,W02F12.4,W02F12.4
WBGene00020950,dlst-1,dlst-1
WBGene00020951,sna-1,sna-1
WBGene00022623,ZC487.1,ZC487.1
WBGene00020808,clik-1,clik-1
WBGene00194910,ZC404.15,ZC404.15
WBGene00004975,spe-39,spe-39
WBGene00043952,ZC404.2,ZC404.2
WBGene00022601,ZC404.1,ZC404.1
WBGene00006803,unc-70,unc-70
WBGene00003844,odc-1,odc-1
WBGene00006801,unc-68,unc-68
WBGene00017618,F20A1.6,F20A1.6
WBGene00017614,F20A1.2,F20A1.2
WBGene00003164,mdt-6,mdt-6
WBGene00021959,Y57E12AL.6,Y57E12AL.6
WBGene00021956,Y57E12AL.1,Y57E12AL.1
WBGene00021960,tmem-258,tmem-258
WBGene00007029,mys-1,mys-1
WBGene00017313,cpsf-2,cpsf-2
WBGene00017317,attf-2,attf-2
WBGene00017311,F09G2.2,F09G2.2
WBGene00015742,kxd-1,kxd-1
WBGene00015746,C13F10.7,C13F10.7
WBGene00001563,gei-6,gei-6
WBGene00015461,krr-1,krr-1
WBGene00015462,C05C8.5,C05C8.5
WBGene00015463,hpo-9,hpo-9
WBGene00015466,hyls-1,hyls-1
WBGene00015460,C05C8.1,C05C8.1
WBGene00005815,srw-68,srw-68
WBGene00017565,ddo-2,ddo-2
WBGene00017790,F25E5.9,F25E5.9
WBGene00017792,F25E5.16,F25E5.16
WBGene00017782,F25E5.1,F25E5.1
WBGene00016926,nhr-171,nhr-171
WBGene00017605,F19F10.9,F19F10.9
WBGene00017608,ints-9,ints-9
WBGene00017606,ets-6,ets-6
WBGene00015708,C12D5.5,C12D5.5
WBGene00022410,Y97E10C.1,Y97E10C.1
WBGene00023200,Y97E10C.t1,Y97E10C.t1
WBGene00044342,T05B11.7,T05B11.7
WBGene00020246,clic-1,clic-1
WBGene00020245,T05B11.1,T05B11.1
WBGene00016150,hint-3,hint-3
WBGene00004453,rpl-39,rpl-39
WBGene00016149,frpr-3,frpr-3
WBGene00001719,grl-10,grl-10
WBGene00004499,rps-30,rps-30
WBGene00016148,C26F1.3,C26F1.3
WBGene00022812,uvs-1,uvs-1
WBGene00002078,xpo-1,xpo-1
WBGene00016500,memo-1,memo-1
WBGene00016501,C37C3.9,C37C3.9
WBGene00303000,C37C3.18,C37C3.18
WBGene00016496,C37C3.2,C37C3.2
WBGene00016495,C37C3.1,C37C3.1
WBGene00016503,C37C3.11,C37C3.11
WBGene00077712,nipi-4,nipi-4
WBGene00018219,F40A3.4,F40A3.4
WBGene00018218,F40A3.3,F40A3.3
WBGene00018217,F40A3.2,F40A3.2
WBGene00018216,F40A3.1,F40A3.1
WBGene00018221,F40A3.6,F40A3.6
WBGene00045393,F26D11.13,F26D11.13
WBGene00000488,che-7,che-7
WBGene00017818,F26D11.1,F26D11.1
WBGene00022394,natb-1,natb-1
WBGene00022393,abhd-12,abhd-12
WBGene00022392,Y97E10AL.1,Y97E10AL.1
WBGene00022396,Y97E10AR.1,Y97E10AR.1
WBGene00022398,Y97E10AR.3,Y97E10AR.3
WBGene00022402,lmtr-2,lmtr-2
WBGene00022400,rpb-9,rpb-9
WBGene00022401,Y97E10AR.6,Y97E10AR.6
WBGene00005006,spr-1,spr-1
WBGene00017016,snap-1,snap-1
WBGene00017017,D1014.4,D1014.4
WBGene00005648,srp-7,srp-7
WBGene00019479,K07C11.7,K07C11.7
WBGene00019480,K07C11.8,K07C11.8
WBGene00020942,W02D7.6,W02D7.6
WBGene00004766,sel-9,sel-9
WBGene00001664,gpa-2,gpa-2
WBGene00018700,lmd-3,lmd-3
WBGene00020721,T23B12.6,T23B12.6
WBGene00001040,dnj-22,dnj-22
WBGene00020719,natc-1,natc-1
WBGene00020718,mrps-2,mrps-2
WBGene00004256,pxn-1,pxn-1
WBGene00018481,F45F2.9,F45F2.9
WBGene00018482,F45F2.10,F45F2.10
WBGene00017799,F25G6.8,F25G6.8
WBGene00017800,F25G6.9,F25G6.9
WBGene00017797,symk-1,symk-1
WBGene00017796,F25G6.1,F25G6.1
WBGene00018290,vps-60,vps-60
WBGene00018285,smk-1,smk-1
WBGene00018294,atg-18,atg-18
WBGene00015219,B0507.2,B0507.2
WBGene00006467,magu-2,magu-2
WBGene00004457,rpm-1,rpm-1
WBGene00017190,F07B7.12,F07B7.12
WBGene00003386,mod-1,mod-1
WBGene00020553,ttc-17,ttc-17
WBGene00006146,str-87,str-87
WBGene00020862,fip-2,fip-2
WBGene00002017,hsp-16.11,hsp-16.11
WBGene00017657,F21C10.7,F21C10.7
WBGene00017653,F21C10.3,F21C10.3
WBGene00271808,F21C10.19,F21C10.19
WBGene00235316,B0222.15,B0222.15
WBGene00016044,C24B5.1,C24B5.1
WBGene00007023,mdt-27,mdt-27
WBGene00044077,pacs-1,pacs-1
WBGene00017193,F07C3.2,F07C3.2
WBGene00022788,slc-17.7,slc-17.7
WBGene00019465,acl-14,acl-14
WBGene00000766,coq-6,coq-6
WBGene00019466,tos-1,tos-1
WBGene00019467,K07B1.7,K07B1.7
WBGene00006623,try-5,try-5
WBGene00005938,srx-47,srx-47
WBGene00002036,hum-2,hum-2
WBGene00018088,trpp-4,trpp-4
WBGene00010593,gsnl-1,gsnl-1
WBGene00008236,C50F4.12,C50F4.12
WBGene00008238,C50F4.16,C50F4.16
WBGene00003160,mdf-1,mdf-1
WBGene00001909,his-35,his-35
WBGene00001915,his-41,his-41
WBGene00001910,C50F4.6,C50F4.6
WBGene00001911,his-37,his-37
WBGene00008237,nstp-10,nstp-10
WBGene00009098,ehbp-1,ehbp-1
WBGene00009100,rgef-1,rgef-1
WBGene00000720,col-147,col-147
WBGene00044011,T06E4.12,T06E4.12
WBGene00000226,atl-1,atl-1
WBGene00013962,ZK287.1,ZK287.1
WBGene00004320,rbx-1,rbx-1
WBGene00013966,ztf-9,ztf-9
WBGene00009580,xbx-6,xbx-6
WBGene00009583,aagr-3,aagr-3
WBGene00009584,drap-1,drap-1
WBGene00000172,aqp-4,aqp-4
WBGene00077696,marc-1,marc-1
WBGene00009776,F46B6.12,F46B6.12
WBGene00004882,smg-4,smg-4
WBGene00009769,F46B6.4,F46B6.4
WBGene00009770,F46B6.5,F46B6.5
WBGene00009771,F46B6.6,F46B6.6
WBGene00009772,ztf-7,ztf-7
WBGene00045419,lsy-12,lsy-12
WBGene00001211,egl-47,egl-47
WBGene00011571,ttr-46,ttr-46
WBGene00011575,madf-4,madf-4
WBGene00006777,unc-41,unc-41
WBGene00007784,ruvb-1,ruvb-1
WBGene00007785,tofu-1,tofu-1
WBGene00077500,C27H6.9,C27H6.9
WBGene00007786,rmd-2,rmd-2
WBGene00004323,rde-1,rde-1
WBGene00010699,trpp-6,trpp-6
WBGene00011543,acl-2,acl-2
WBGene00010177,F57A8.1,F57A8.1
WBGene00010178,yif-1,yif-1
WBGene00000142,aos-1,aos-1
WBGene00007428,wdr-20,wdr-20
WBGene00008254,C51E3.9,C51E3.9
WBGene00008255,C51E3.10,C51E3.10
WBGene00008252,C51E3.6,C51E3.6
WBGene00001172,egl-3,egl-3
WBGene00000840,cul-5,cul-5
WBGene00014107,ZK856.6,ZK856.6
WBGene00014109,chpf-1,chpf-1
WBGene00014112,ZK856.11,ZK856.11
WBGene00050936,ZK856.16,ZK856.16
WBGene00044175,fipr-9,fipr-9
WBGene00007534,fubl-1,fubl-1
WBGene00000102,akt-1,akt-1
WBGene00004405,rop-1,rop-1
WBGene00005530,sri-18,sri-18
WBGene00004364,ric-4,ric-4
WBGene00007096,B0024.3,B0024.3
WBGene00000722,col-149,col-149
WBGene00007099,trx-2,trx-2
WBGene00001646,gna-1,gna-1
WBGene00000200,arx-2,arx-2
WBGene00010625,K07C5.2,K07C5.2
WBGene00010626,K07C5.3,K07C5.3
WBGene00010627,nol-56,nol-56
WBGene00010629,K07C5.6,K07C5.6
WBGene00010631,cash-1,cash-1
WBGene00012528,pap-1,pap-1
WBGene00044209,Y32F6A.6,Y32F6A.6
WBGene00199558,F22E12.10,F22E12.10
WBGene00001178,egl-9,egl-9
WBGene00012532,crp-1,crp-1
WBGene00007952,C35A5.8,C35A5.8
WBGene00007953,hda-11,hda-11
WBGene00006460,ppm-1.A,ppm-1.A
WBGene00201964,F25D1.11,F25D1.11
WBGene00006934,vps-54,vps-54
WBGene00011890,mics-1,mics-1
WBGene00003065,lpd-9,lpd-9
WBGene00010418,H27A22.1,H27A22.1
WBGene00010375,H09F14.1,H09F14.1
WBGene00009256,tut-2,tut-2
WBGene00001747,gsp-1,gsp-1
WBGene00004083,pph-1,pph-1
WBGene00012117,T28B11.1,T28B11.1
WBGene00008370,D1054.1,D1054.1
WBGene00003923,pas-2,pas-2
WBGene00008371,D1054.3,D1054.3
WBGene00008380,prp-38,prp-38
WBGene00006481,plrg-1,plrg-1
WBGene00002985,lig-1,lig-1
WBGene00010012,saeg-1,saeg-1
WBGene00009334,F32D8.12,F32D8.12
WBGene00009336,F32D8.14,F32D8.14
WBGene00001303,sec-61.G,sec-61.G
WBGene00009325,F32D8.15,F32D8.15
WBGene00008915,F17C11.4,F17C11.4
WBGene00008919,vps-36,vps-36
WBGene00008920,eef-1G,eef-1G
WBGene00009969,F53B7.7,F53B7.7
WBGene00009966,isy-1,isy-1
WBGene00006443,pak-2,pak-2
WBGene00000065,act-3,act-3
WBGene00000064,act-2,act-2
WBGene00000063,act-1,act-1
WBGene00010406,math-33,math-33
WBGene00010407,scb-1,scb-1
WBGene00007385,atp-5,atp-5
WBGene00007387,jmjd-5,jmjd-5
WBGene00004152,pqn-70,pqn-70
WBGene00002072,ima-1,ima-1
WBGene00044203,T02E9.6,T02E9.6
WBGene00011383,T02E9.5,T02E9.5
WBGene00011382,dop-5,dop-5
WBGene00000554,cnb-1,cnb-1
WBGene00000728,col-155,col-155
WBGene00010191,dmsr-1,dmsr-1
WBGene00000730,col-157,col-157
WBGene00194712,T11F9.21,T11F9.21
WBGene00008331,ttll-5,ttll-5
WBGene00008338,pafo-1,pafo-1
WBGene00009533,F38B7.2,F38B7.2
WBGene00009534,F38B7.3,F38B7.3
WBGene00005962,srx-71,srx-71
WBGene00004064,pms-2,pms-2
WBGene00012100,sipa-1,sipa-1
WBGene00219612,linc-153,linc-153
WBGene00000249,bir-1,bir-1
WBGene00004806,skp-1,skp-1
WBGene00000146,ape-1,ape-1
WBGene00007118,npp-22,npp-22
WBGene00011436,T04F3.1,T04F3.1
WBGene00010075,F55A11.1,F55A11.1
WBGene00006373,syx-5,syx-5
WBGene00004768,sel-11,sel-11
WBGene00008407,D2023.3,D2023.3
WBGene00004258,pyc-1,pyc-1
WBGene00008408,D2023.4,D2023.4
WBGene00001978,hmp-1,hmp-1
WBGene00011263,R13H4.5,R13H4.5
WBGene00010790,sodh-1,sodh-1
WBGene00010284,aman-2,aman-2
WBGene00010290,F58H1.7,F58H1.7
WBGene00003235,mif-2,mif-2
WBGene00004917,snr-4,snr-4
WBGene00014291,C52E4.8,C52E4.8
WBGene00004501,rpt-1,rpt-1
WBGene00000876,cyl-1,cyl-1
WBGene00000073,add-2,add-2
WBGene00004032,pkc-1,pkc-1
WBGene00002241,kup-1,kup-1
WBGene00008645,F10C2.4,F10C2.4
WBGene00011087,R07B7.2,R07B7.2
WBGene00000533,clh-6,clh-6
WBGene00004138,pqn-53,pqn-53
WBGene00011093,R07B7.9,R07B7.9
WBGene00007756,C27A7.5,C27A7.5
WBGene00014122,ZK863.1,ZK863.1
WBGene00014124,usip-1,usip-1
WBGene00014125,ZK863.8,ZK863.8
WBGene00001088,dpy-30,dpy-30
WBGene00004384,rnp-1,rnp-1
WBGene00011450,ttr-22,ttr-22
WBGene00011449,T04H1.2,T04H1.2
WBGene00011451,T04H1.5,T04H1.5
WBGene00010094,tsfm-1,tsfm-1
WBGene00010097,srpa-68,srpa-68
WBGene00011016,R04F11.3,R04F11.3
WBGene00011017,R04F11.5,R04F11.5
WBGene00011015,R04F11.2,R04F11.2
WBGene00009092,tomm-20,tomm-20
WBGene00006669,twk-14,twk-14
WBGene00010468,K01D12.9,K01D12.9
WBGene00010471,cdr-6,cdr-6
WBGene00009200,F28C1.1,F28C1.1
WBGene00001179,egl-10,egl-10
WBGene00009201,F28C1.3,F28C1.3
WBGene00012244,mrps-11,mrps-11
WBGene00012243,W04D2.4,W04D2.4
WBGene00012245,rbm-25,rbm-25
WBGene00012142,T28H10.1,T28H10.1
WBGene00009722,F45D3.2,F45D3.2
WBGene00004759,sel-1,sel-1
WBGene00008453,E02A10.3,E02A10.3
WBGene00007587,mma-1,mma-1
WBGene00007586,ril-2,ril-2
WBGene00007588,C14C10.5,C14C10.5
WBGene00007589,erg-28,erg-28
WBGene00013853,ZC116.1,ZC116.1
WBGene00010737,K10C8.4,K10C8.4
WBGene00010736,istr-1,istr-1
WBGene00011242,R11D1.1,R11D1.1
WBGene00004442,rpl-28,rpl-28
WBGene00011248,R11D1.10,R11D1.10
WBGene00000984,dhs-21,dhs-21
WBGene00013897,ZC443.2,ZC443.2
WBGene00013898,ZC443.3,ZC443.3
WBGene00013899,ZC443.4,ZC443.4
WBGene00011589,T07F10.3,T07F10.3
WBGene00011287,glb-24,glb-24
WBGene00011285,ttr-28,ttr-28
WBGene00004151,pqn-68,pqn-68
WBGene00001233,eif-3.K,eif-3.K
WBGene00011309,R186.8,R186.8
WBGene00011308,pnn-1,pnn-1
WBGene00008851,F15B9.8,F15B9.8
WBGene00045418,F15B9.10,F15B9.10
WBGene00012337,scyl-1,scyl-1
WBGene00002250,lap-2,lap-2
WBGene00012339,W07G4.5,W07G4.5
WBGene00007907,C34B4.2,C34B4.2
WBGene00001137,eat-6,eat-6
WBGene00011648,cni-1,cni-1
WBGene00000732,col-159,col-159
WBGene00000733,col-160,col-160
WBGene00010188,F57B1.5,F57B1.5
WBGene00003719,nhr-129,nhr-129
WBGene00009349,F32H5.3,F32H5.3
