K_Removed,Correlation,Hub_Detection
0,0.8180646344156055,0.95180094
1,0.8187378922741941,0.94877964
2,0.8022327408636932,0.94627154
5,0.7994974015879779,0.93946713
10,0.6775737740709156,0.9324422
20,0.6790900089411225,0.9173824
30,0.686469279796287,0.905757
40,0.6845663743750908,0.89673346
50,0.6651200236978057,0.8919177
75,0.6831342809565724,0.8866021
100,0.6817244596214169,0.88610643
200,0.6870819555085917,0.8859322
