from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,data_sources
ADAL,SAADL,"(0.03, 94.34, 10.31)","(-0.9, 53.44, 1.45)",inter,inter,,1.0,,"['funconn', 'witvliet2020_8']"
ADAL,SMDVR,"(0.03, 94.34, 10.31)","(9.15, 51.03, -9.28)",inter,motor,,2.0,,"['cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAL,URAVL,"(0.03, 94.34, 10.31)","(2.35, 33.57, 4.74)",inter,sensory,,1.0,,"['cook2019', 'funconn']"
ADAL,URXL,"(0.03, 94.34, 10.31)","(13.05, 50.65, 2.27)",inter,sensory,,1.5,,"['cook2019', 'witvliet2020_7']"
ADAR,ADAL,"(-1.43, 91.22, -11.64)","(0.03, 94.34, 10.31)",inter,inter,2.0,,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAR,ADER,"(-1.43, 91.22, -11.64)","(-0.58, 83.23, -11.47)",inter,sensory,,1.0,,['witvliet2020_7']
ADAR,ADFR,"(-1.43, 91.22, -11.64)","(7.15, 54.63, -8.88)",inter,sensory,2.3333333333333335,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AIBL,"(-1.43, 91.22, -11.64)","(2.53, 55.49, 5.95)",inter,inter,,1.1428571428571428,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AIBR,"(-1.43, 91.22, -11.64)","(2.61, 55.94, -6.63)",inter,inter,,1.3333333333333333,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,ASHR,"(-1.43, 91.22, -11.64)","(3.81, 57.83, -10.2)",inter,sensory,3.0,1.5,0.6370828693386971,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVAL,"(-1.43, 91.22, -11.64)","(6.7, 50.2, 8.41)",inter,inter,,1.1428571428571428,,"['chklovskii', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVAR,"(-1.43, 91.22, -11.64)","(4.79, 50.99, -9.13)",inter,inter,,3.0,,"['cook2019', 'funconn', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVBL,"(-1.43, 91.22, -11.64)","(5.1, 63.74, 7.12)",inter,inter,,3.0,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVBR,"(-1.43, 91.22, -11.64)","(4.83, 62.69, -9.41)",inter,inter,,9.25,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVDL,"(-1.43, 91.22, -11.64)","(5.35, 65.34, 9.11)",inter,inter,3.0,1.5,0.5316496580927725,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,AVDR,"(-1.43, 91.22, -11.64)","(5.14, 65.45, -10.59)",inter,inter,1.5,3.0,0.04999999999999999,"['cook2019', 'white1986_jsh', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVEL,"(-1.43, 91.22, -11.64)","(4.58, 51.08, 5.98)",inter,inter,,1.0,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADAR,AVER,"(-1.43, 91.22, -11.64)","(3.63, 52.03, -6.09)",inter,inter,,1.0,,"['witvliet2020_7', 'witvliet2020_8']"
ADAR,AVJL,"(-1.43, 91.22, -11.64)","(7.13, 65.08, 8.47)",inter,inter,,5.75,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AWBR,"(-1.43, 91.22, -11.64)","(8.1, 57.4, -10.25)",inter,sensory,1.0,,,"['funconn', 'witvliet2020_8']"
ADAR,DVA,"(-1.43, 91.22, -11.64)","(10.96, 770.84, -1.61)",inter,inter,,1.0,,['witvliet2020_7']
ADAR,PVQR,"(-1.43, 91.22, -11.64)","(6.11, 767.28, -5.59)",inter,inter,1.5,,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_8']"
ADAR,PVR,"(-1.43, 91.22, -11.64)","(8.07, 786.71, -3.88)",inter,inter,,6.0,,['cook2019']
ADAR,RICL,"(-1.43, 91.22, -11.64)","(0.28, 70.85, 8.03)",inter,inter,,1.0,,"['chklovskii', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7']"
ADAR,RICR,"(-1.43, 91.22, -11.64)","(-0.2, 69.97, -8.23)",inter,inter,1.0,1.0,0.0,"['witvliet2020_7', 'witvliet2020_8']"
ADAR,RIFR,"(-1.43, 91.22, -11.64)","(-9.05, 106.41, -1.71)",inter,inter,,1.0,,"['cook2019', 'witvliet2020_7']"
ADAR,RIMR,"(-1.43, 91.22, -11.64)","(-1.99, 62.64, -4.65)",inter,motor,,6.125,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,RIPR,"(-1.43, 91.22, -11.64)","(7.11, 35.72, -6.56)",inter,inter,,3.0,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,RIVR,"(-1.43, 91.22, -11.64)","(11.31, 64.38, -7.21)",inter,inter,,1.8,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADAR,RMFR,"(-1.43, 91.22, -11.64)","(-2.4, 57.51, 0.07)",inter,motor,,1.5,,"['witvliet2020_7', 'witvliet2020_8']"
ADAR,SAADR,"(-1.43, 91.22, -11.64)","(-0.86, 50.27, -0.39)",inter,inter,,1.0,,['witvliet2020_7']
ADAR,SMDDR,"(-1.43, 91.22, -11.64)","(0.01, 54.1, -2.69)",inter,motor,,1.0,,['white1986_jsh']
ADAR,SMDVL,"(-1.43, 91.22, -11.64)","(10.92, 51.19, 7.29)",inter,motor,,1.5,,"['cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,URXR,"(-1.43, 91.22, -11.64)","(12.3, 50.87, -5.18)",inter,sensory,,1.5,,"['cook2019', 'witvliet2020_7']"
