from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,functional_weight,data_sources
ADAL,AVJL,"(0.03, 94.34, 10.31)","(7.13, 65.08, 8.47)",inter,inter,,1.0,,0.06940024346113205,"['funconn', 'white1986_jsh', 'witvliet2020_8']"
ADAL,AVJR,"(0.03, 94.34, 10.31)","(7.55, 65.13, -9.59)",inter,inter,,5.25,,0.057382259517908096,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAL,AVKR,"(0.03, 94.34, 10.31)","(-5.64, 75.68, -3.17)",inter,inter,,,,-0.014831848442554474,['funconn']
ADAL,AWAL,"(0.03, 94.34, 10.31)","(6.57, 57.58, 5.85)",inter,sensory,,,,0.08575571328401566,['funconn']
ADAL,AWBL,"(0.03, 94.34, 10.31)","(8.3, 57.36, 8.52)",inter,sensory,1.0,,,,['witvliet2020_8']
ADAL,AWBR,"(0.03, 94.34, 10.31)","(8.1, 57.4, -10.25)",inter,sensory,,,,-0.00902715977281332,['funconn']
ADAL,AWCL,"(0.03, 94.34, 10.31)","(3.0, 55.82, 9.03)",inter,sensory,,,,0.02674480713903904,['funconn']
ADAL,AWCR,"(0.03, 94.34, 10.31)","(1.74, 56.43, -9.51)",inter,sensory,,,,0.005742446985095739,['funconn']
ADAL,BAGL,"(0.03, 94.34, 10.31)","(5.69, 38.69, 8.54)",inter,sensory,,,,-0.021319113671779633,['funconn']
ADAL,CEPDR,"(0.03, 94.34, 10.31)","(12.9, 50.28, -7.07)",inter,sensory,,,,0.009168688207864761,['funconn']
ADAL,CEPVR,"(0.03, 94.34, 10.31)","(1.01, 40.68, -4.42)",inter,sensory,,,,-0.009815364144742489,['funconn']
ADAL,DB2,"(0.03, 94.34, 10.31)","(-9.21, 99.22, 0.23)",inter,motor,,,,-0.012891530990600586,['funconn']
ADAL,DD1,"(0.03, 94.34, 10.31)","(-9.32, 124.58, 0.77)",inter,motor,,,,0.0008853491162881255,['funconn']
ADAL,DVA,"(0.03, 94.34, 10.31)","(10.96, 770.84, -1.61)",inter,inter,,2.0,,,['witvliet2020_7']
