PC,t,p,mean_member,mean_other,q
PC1,-2.7443788297228298,0.006203963311429374,-4126.837504897662,484.21560057466075,0.31019816557146873
PC2,1.0749579610011533,0.2853355442238638,4730.216045789359,-555.012016039283,1.0
PC3,-0.5958464802421587,0.5527706935290158,-1713.635400027135,201.06655360318442,1.0
PC4,0.8215396131682475,0.4133638841316436,1118.7512162306566,-131.2668093710641,1.0
PC5,-2.3972752761776612,0.01700702732868914,-984.5403412021934,115.51940003439,0.850351366434457
PC6,-0.7353561935220406,0.4633488639456781,-408.14272044961467,47.888745866088776,1.0
PC7,-1.9058277743290353,0.058302791587484554,-723.9108081531823,84.93886815664145,1.0
PC8,-2.318697742508475,0.021987861764508496,-923.6480628392867,108.37470603980853,1.0
PC9,1.5933178275778141,0.11437001304866729,1038.406492493232,-121.83969511920563,1.0
PC10,0.7519998401185656,0.453921544464883,519.5011121016882,-60.95479715326514,1.0
PC11,-1.6485956341296715,0.10016066857761358,-300.1793301559177,35.22104140496103,1.0
PC12,-2.372782773746811,0.01799938913640828,-347.5501650588958,40.77921936691038,0.8999694568204141
PC13,-2.876942609908351,0.004169338711051821,-397.7047150891647,46.664019903795484,0.20846693555259102
PC14,-1.7369515534302085,0.08289509196841792,-218.2399268167718,25.606818079834518,1.0
PC15,-0.25067577316003453,0.802522075044515,-58.54401040571708,6.86916388760428,1.0
PC16,0.15214604416663524,0.8793003068447897,23.28276787804846,-2.731844764357715,1.0
PC17,-0.4528532487289094,0.6515070795445989,-81.79756608579352,9.597581087399938,1.0
PC18,1.951235929201639,0.053746943581806574,419.43610328528814,-49.213836118807144,1.0
PC19,1.2228042883706542,0.22419829979520786,245.71486751858984,-28.830544455514385,1.0
PC20,2.0792738493301157,0.040045658187432935,384.48843263312085,-45.11330942895287,1.0
PC21,-0.34488699716914195,0.7305240485244213,-31.909179922189846,3.7440104442036146,1.0
PC22,-1.459701728469462,0.1468041062063549,-180.89262999024047,21.224735252188196,1.0
PC23,-0.16501012564446468,0.8692855523099865,-36.71459409184918,4.307845706777021,1.0
PC24,0.26689657450640025,0.7900758279978282,43.445018650853505,-5.0975488550333905,1.0
PC25,-0.4136258346006629,0.6800175091923701,-69.8787197712163,8.199103119822935,1.0
PC26,-1.2713292064011161,0.20626265341503303,-164.43196326834433,19.29335035681907,1.0
PC27,0.64330969590581,0.5213717824024697,78.02743893401988,-9.155219501591544,1.0
PC28,-0.5928625839426712,0.5544927103383226,-69.67140385852699,8.174778052733979,1.0
PC29,0.17314855704769877,0.8628504135290271,19.487159773155543,-2.2864934133837007,1.0
PC30,1.6614037001530293,0.09965154860957456,199.90206096381846,-23.45517515308816,1.0
PC31,0.9086900723458958,0.36490062860427785,62.50957514022021,-7.334456816452507,1.0
PC32,1.4501123972624932,0.15019980558143795,189.52757250720063,-22.237901840844803,1.0
PC33,-1.1005967401880055,0.273095606067045,-81.64897722146438,9.580146660651637,1.0
PC34,0.9743987185279598,0.33221251506598337,112.22500157707708,-13.167733518377231,1.0
PC35,-0.3712441088096429,0.711214549697248,-35.78711506158717,4.19902150055972,1.0
PC36,0.6824118980766611,0.4964222247603366,58.06620706659202,-6.813101629146879,1.0
PC37,-0.018563761348099582,0.9852236335257631,-1.5675428073740663,0.18392502273184558,1.0
PC38,-0.5543781757603795,0.5805096551767743,-46.70684742939029,5.480270098381504,1.0
PC39,0.6068656804562178,0.5451714632741284,42.68349838508114,-5.00819714384949,1.0
PC40,0.07875742110501893,0.9373597596197667,4.719669308681841,-0.5537745322186493,1.0
PC41,1.475219223677662,0.14307336692733663,92.13193207331005,-10.81014669660141,1.0
PC42,0.32671334814251873,0.7445308806692646,20.94377812500665,-2.457403300000854,1.0
PC43,2.2387185863424093,0.02699550201935412,107.908789374278,-12.661297953248836,1.0
PC44,0.07182819756181479,0.9428759575508974,4.348273508174197,-0.5101974249592895,1.0
PC45,-0.5410540805608254,0.5896162507426561,-31.047472248404883,3.642903410479576,1.0
PC46,1.4868306856895925,0.14002385277832574,81.29831724637405,-9.539002556907937,1.0
PC47,0.36857786607151405,0.7132275634196219,23.311543127419842,-2.735221060283875,1.0
PC48,0.1925618453624548,0.8476692929072962,10.170416164124417,-1.193328829924022,1.0
PC49,0.2405841085119126,0.8103426728702035,12.37375107420439,-1.451853459373185,1.0
PC50,0.6814558215642222,0.4970393953411316,31.574411902100703,-3.704730996513173,1.0
