Neuron,KMeansCluster
vBWMR11 ,4
 vBWMR12     ,4
vBWMR13 ,4
 vBWMR14     ,4
vBWMR15 ,4
 vBWMR16     ,4
 vBWMR20     ,4
 sph         ,4
 um2aL       ,4
 um2aR       ,4
 um2pR       ,4
um2aL  ,4
um2pL ,4
 pm1vr       ,0
 pm1d        ,0
 dBWML7      ,4
dBWML5 ,4
 dBWML14     ,4
 dBWML18     ,4
dBWML19 ,4
 dBWML20     ,4
 dBWML24     ,4
 dBWMR4      ,4
 dBWMR24     ,4
 vBWMR13     ,4
 vBWMR23     ,4
 vBWMR24     ,4
vBWMR24 ,4
