Neuron,KMeansCluster
SMDDL ,1
SMDDR ,1
SMDVL ,1
OLLL ,1
AINL ,0
RIS ,1
ADER ,0
AVKR ,1
AVAR ,1
AWAR ,0
URXR ,1
RMGR ,1
PVPR ,1
SABVL ,1
AWBR ,0
AVHL ,1
AVKL ,1
SMBDR ,1
CEPDR ,1
ALNR ,0
URBR ,0
SIADL ,1
SMBVL ,1
PLNL ,0
PLNR ,0
AVFL ,1
SIAVL ,0
SIBDL ,0
OLLR ,1
URYVR ,0
RMEV ,0
SIAVR ,0
SIBVL ,1
OLQDL ,0
OLQVL ,0
AVDR ,1
AVEL ,1
 ASHR          ,0
 AWAR          ,0
 AWBR          ,0
 AFDR          ,0
 AIYR          ,0
 AIZR          ,1
 RIH           ,0
 ASEL          ,0
 ASER          ,0
 ASGL          ,0
 ASHL          ,0
 AWCL          ,0
 OLQVL         ,0
 RIPL          ,1
 AVJR          ,0
 AVAL          ,1
 AVAR          ,1
 AVBL          ,1
 AVDL          ,1
 AVDR          ,1
 ADLR          ,0
 AIAR          ,0
 RICL          ,0
 RICR          ,0
 AVBR          ,1
 AIYL          ,0
 ASGR        ,0
 AWBR        ,0
 AFDR        ,0
 PVQR        ,0
 ADFL          ,0
 AVFL          ,0
 AVHR          ,0
 RIML          ,1
 HSNL          ,0
 RMGL        ,0
 ADFL        ,0
 ASHR        ,0
 ASKL        ,0
 RICL        ,0
 AVER          ,1
 HSNR          ,0
 ASJR          ,0
 ASKR          ,0
 CEPDL         ,0
 PVQL          ,0
 AIML          ,0
 AIMR          ,0
 RMDVL         ,1
 SIBDL         ,0
 RMGL          ,0
 RMDR          ,1
 URAVL         ,0
 dBWML4        ,0
 dBWML5        ,0
 AVEL          ,1
 RMHL          ,0
 BAGR          ,0
 RMHR          ,0
 SIBDR         ,0
 SIBVR         ,0
 SMDDL         ,1
 SMDDR         ,1
 SMDVR         ,1
 ALML          ,0
 SIAVL         ,0
 vBWML5        ,0
 SDQL          ,0
 RID           ,0
 DVA           ,0
 SAADL         ,0
 vBWMR7        ,0
 RIVL        ,0
 AIBL        ,0
 ALMR        ,0
 DVA         ,0
 SDQL        ,0
 AVBL        ,1
 RIVR        ,4
 SAADL       ,4
 SIAVR       ,0
 SIBDL       ,0
 PVPL          ,0
 hyp           ,1
 RIVR          ,0
 AIAR        ,0
 AWCR        ,0
 AWBL        ,0
 ASIR        ,0
 ASJL        ,0
 ASIL        ,4
 ADAR        ,0
 AVDR        ,0
 PVQL        ,0
 OLQVL       ,0
 AVFR          ,0
 AIBR        ,0
 OLLL        ,0
