,neuron,clustering_impact,centrality_impact,motif_impact,type,symbolic_role,total_impact
398, SIADL         ,2.3044086749746118e-05,3.913166471510099e-05,0.46765078237979196,Unknown,Olfactory 🌬,0.4677129581312568
553,AVKR ,2.3044086749746118e-05,3.913166471510099e-05,0.467608249754979,Unknown,Unknown ❓,0.46767042550644383
311, RMDVR         ,2.3044086749746118e-05,3.913166471510099e-05,0.46759319314746034,Unknown,Motor 🦴,0.4676553688989252
1008, CEPVL       ,2.3044086749746118e-05,3.913166471510099e-05,0.467458664632962,Unknown,Glia ⚙️,0.4675208403844268
186, ADAL          ,2.3044086749746118e-05,3.913166471510099e-05,0.46733072108702345,Unknown,Unknown ❓,0.4673928968384883
96,IL2DL,4.9120190721917145e-05,0.00030369122451096047,0.46679674754989264,Unknown,Unknown ❓,0.4671495589651255
1352,vBWMR9 ,2.3044086749746118e-05,3.913166471510099e-05,0.4670638893937091,Unknown,Unknown ❓,0.4671260651451739
230, AVBL          ,2.3044086749746118e-05,3.913166471510099e-05,0.46626583937772165,Unknown,Oscillator 🔁,0.4663280151291865
366, SIBDR         ,2.3044086749746118e-05,3.913166471510099e-05,0.46625562292592804,Unknown,Unknown ❓,0.46631779867739287
975, AUAL        ,2.3044086749746118e-05,3.913166471510099e-05,0.4657306244043487,Unknown,Unknown ❓,0.46579280015581354
1316, vBWML14     ,2.3044086749746118e-05,3.913166471510099e-05,0.46537570620129526,Unknown,Unknown ❓,0.4654378819527601
1241,dBWML24 ,2.3044086749746118e-05,3.913166471510099e-05,0.4652019748865541,Unknown,Unknown ❓,0.46526415063801896
600, DA06          ,2.3044086749746118e-05,3.913166471510099e-05,0.4648156308955625,Unknown,Unknown ❓,0.4648778066470273
678,SIADR ,2.3044086749746118e-05,3.913166471510099e-05,0.4645569032993156,Unknown,Unknown ❓,0.4646190790507804
292,IL1DL ,2.3044086749746118e-05,3.913166471510099e-05,0.4640085966711543,Unknown,Unknown ❓,0.4640707724226191
592,PVR ,2.3044086749746118e-05,3.913166471510099e-05,0.4639293166514638,Unknown,Unknown ❓,0.46399149240292864
1169, VB06        ,2.3044086749746118e-05,3.913166471510099e-05,0.4637833162763627,Unknown,Unknown ❓,0.46384549202782754
1147, SABD        ,2.3044086749746118e-05,3.913166471510099e-05,0.46347808104826527,Unknown,Unknown ❓,0.4635402567997301
303, dBWMR7        ,2.3044086749746118e-05,3.913166471510099e-05,0.46338048300826057,Unknown,Unknown ❓,0.4634426587597254
244, AVBR          ,2.3044086749746118e-05,3.913166471510099e-05,0.46287384261188436,Unknown,Oscillator 🔁,0.4629360183633492
1028, DVA         ,2.3044086749746118e-05,3.913166471510099e-05,0.4624931808314538,Unknown,Unknown ❓,0.46255535658291863
550, SABVL         ,2.3044086749746118e-05,3.913166471510099e-05,0.46240671089280266,Unknown,Unknown ❓,0.4624688866442675
1078, PVPL        ,2.3044086749746118e-05,3.913166471510099e-05,0.4623429541075363,Unknown,Unknown ❓,0.4624051298590011
1095, ASIL        ,2.3044086749746118e-05,3.913166471510099e-05,0.4623148459342398,Unknown,Chemosensory 👃,0.46237702168570466
1012, OLQVL       ,2.3044086749746118e-05,3.913166471510099e-05,0.4619128483061938,Unknown,Unknown ❓,0.4619750240576586
468, PDEL          ,2.3044086749746118e-05,3.913166471510099e-05,0.46187481359712973,Unknown,Unknown ❓,0.46193698934859456
1247,dBWMR3 ,2.3044086749746118e-05,3.913166471510099e-05,0.46182440731123126,Unknown,Unknown ❓,0.4618865830626961
1381, vBWMR24     ,2.3044086749746118e-05,3.913166471510099e-05,0.46162494686010785,Unknown,Unknown ❓,0.4616871226115727
589, vBWMR11       ,2.3044086749746118e-05,3.913166471510099e-05,0.4615789924221569,Unknown,Unknown ❓,0.4616411681736217
58,RMDVL,0.00045197586488560787,0.001345712143084109,0.4597444968564635,Unknown,Motor 🦴,0.4615421848644332
1382,vBWMR24 ,2.3044086749746118e-05,3.913166471510099e-05,0.46092159807968375,Unknown,Unknown ❓,0.4609837738311486
1343,vBWMR4 ,2.3044086749746118e-05,3.913166471510099e-05,0.46064229568359377,Unknown,Unknown ❓,0.4607044714350586
138, pm1vr         ,2.3044086749746118e-05,3.913166471510099e-05,0.460318313705064,Unknown,Unknown ❓,0.4603804894565288
1051, PHBR        ,2.3044086749746118e-05,3.913166471510099e-05,0.46013615072930253,Unknown,Unknown ❓,0.46019832648076736
1144, VC03        ,2.3044086749746118e-05,3.913166471510099e-05,0.45942629134663093,Unknown,Unknown ❓,0.45948846709809577
428, dBWMR6        ,2.3044086749746118e-05,3.913166471510099e-05,0.4594017308445852,Unknown,Unknown ❓,0.45946390659605
784, vBWML20       ,2.3044086749746118e-05,3.913166471510099e-05,0.4592619441613124,Unknown,Unknown ❓,0.4593241199127772
1300, vBWML6      ,2.3044086749746118e-05,3.913166471510099e-05,0.4592129071028239,Unknown,Unknown ❓,0.45927508285428875
1458,SDQL,5.646852257877588e-05,0.00027321559765288285,0.45883690115692843,Unknown,Unknown ❓,0.4591665852771601
528,AVFL ,2.3044086749746118e-05,3.913166471510099e-05,0.45897148799861043,Unknown,Unknown ❓,0.45903366375007526
1155, VA06        ,2.3044086749746118e-05,3.913166471510099e-05,0.45894662466525915,Unknown,Unknown ❓,0.459008800416724
340,IL1VR ,2.3044086749746118e-05,3.913166471510099e-05,0.45882062547226116,Unknown,Unknown ❓,0.458882801223726
642,RMDDR ,2.3044086749746118e-05,3.913166471510099e-05,0.45831842861791,Unknown,Motor 🦴,0.45838060436937483
1420, vm1pR       ,2.3044086749746118e-05,3.913166471510099e-05,0.45826383889868794,Unknown,Unknown ❓,0.45832601465015277
151,I4 ,2.3044086749746118e-05,3.913166471510099e-05,0.4581779085412639,Unknown,Unknown ❓,0.4582400842927287
53,BWM-DL03,0.00013443399990620275,0.00011306648525714189,0.4578311686153332,Unknown,Unknown ❓,0.45807866910049655
372, SMDDL         ,2.3044086749746118e-05,3.913166471510099e-05,0.45787552878618953,Unknown,Motor 🦴,0.45793770453765437
858, MCL         ,2.3044086749746118e-05,3.913166471510099e-05,0.45707608154225454,Unknown,Unknown ❓,0.4571382572937194
950, ASIR        ,2.3044086749746118e-05,3.913166471510099e-05,0.4569391511736664,Unknown,Chemosensory 👃,0.45700132692513123
1265,dBWMR12 ,2.3044086749746118e-05,3.913166471510099e-05,0.4566604715524439,Unknown,Unknown ❓,0.4567226473039087
1015, BDUL        ,2.3044086749746118e-05,3.913166471510099e-05,0.4564448141399377,Unknown,Unknown ❓,0.45650698989140254
732,DA09 ,2.3044086749746118e-05,3.913166471510099e-05,0.4560886004749136,Unknown,Unknown ❓,0.45615077622637845
1195,dBWML1 ,2.3044086749746118e-05,3.913166471510099e-05,0.4557154892732645,Unknown,Unknown ❓,0.45577766502472933
1480,AUAR,0.00012896706453177642,0.0003195217791019008,0.4552572740268109,Unknown,Unknown ❓,0.45570576287044456
913,mc2v ,2.3044086749746118e-05,3.913166471510099e-05,0.455385834227324,Unknown,Unknown ❓,0.4554480099787888
1277,dBWMR18 ,2.3044086749746118e-05,3.913166471510099e-05,0.45473214547484986,Unknown,Unknown ❓,0.4547943212263147
1234, dBWML21     ,2.3044086749746118e-05,3.913166471510099e-05,0.4540764598413413,Unknown,Unknown ❓,0.45413863559280615
887, pm6d        ,2.3044086749746118e-05,3.913166471510099e-05,0.45386879243733347,Unknown,Unknown ❓,0.4539309681887983
1298, vBWML5      ,2.3044086749746118e-05,3.913166471510099e-05,0.45354597531691826,Unknown,Unknown ❓,0.4536081510683831
226, AVJL          ,2.3044086749746118e-05,3.913166471510099e-05,0.45325880181667344,Unknown,Unknown ❓,0.4533209775681383
1517,SIBVL,1.1503262795350966e-05,0.0003137494699807851,0.45185569315712354,Unknown,Unknown ❓,0.45218094588989965
451,URYDL ,2.3044086749746118e-05,3.913166471510099e-05,0.45195413815372376,Unknown,Unknown ❓,0.4520163139051886
526,RIPL ,2.3044086749746118e-05,3.913166471510099e-05,0.4517447295383287,Unknown,Unknown ❓,0.45180690528979356
1311,vBWML11 ,2.3044086749746118e-05,3.913166471510099e-05,0.45137404725024527,Unknown,Unknown ❓,0.4514362230017101
47,RIR,0.00024272221497516344,0.00037622660138324806,0.45063593046450023,Unknown,Unknown ❓,0.45125487928085867
639,RIML ,2.3044086749746118e-05,3.913166471510099e-05,0.450365039204371,Unknown,Relay 🧠,0.4504272149558358
1107, SIBDR       ,2.3044086749746118e-05,3.913166471510099e-05,0.4499700222632252,Unknown,Unknown ❓,0.45003219801469
165, pm7d          ,2.3044086749746118e-05,3.913166471510099e-05,0.4482270121476404,Unknown,Unknown ❓,0.4482891878991052
1334, vBWML23     ,2.3044086749746118e-05,3.913166471510099e-05,0.4477941257622433,Unknown,Unknown ❓,0.44785630151370814
267, SAAVL         ,2.3044086749746118e-05,3.913166471510099e-05,0.4477493040534455,Unknown,Unknown ❓,0.4478114798049103
29,BWM-VR01,0.00010262235572814499,0.00010805817525698346,0.44753369032029394,Unknown,Unknown ❓,0.44774437085127905
1186, vBWML8      ,2.3044086749746118e-05,3.913166471510099e-05,0.44765112739086516,Unknown,Unknown ❓,0.44771330314233
1468,AIBL,0.000328984167797447,0.0013567833187120093,0.44581273798163085,Unknown,Unknown ❓,0.4474985054681403
1150, DA06        ,2.3044086749746118e-05,3.913166471510099e-05,0.4472097803438449,Unknown,Unknown ❓,0.44727195609530973
1066, SIBDL       ,2.3044086749746118e-05,3.913166471510099e-05,0.447028856161334,Unknown,Unknown ❓,0.4470910319127988
459, DA08          ,2.3044086749746118e-05,3.913166471510099e-05,0.446972974767012,Unknown,Unknown ❓,0.4470351505184768
559, VD12          ,2.3044086749746118e-05,3.913166471510099e-05,0.4469491242540092,Unknown,Unknown ❓,0.447011300005474
1445,OLLL,0.00010954350842477811,0.0008006092455517301,0.44585047445309556,Unknown,Unknown ❓,0.44676062720707205
143, I1L           ,2.3044086749746118e-05,3.913166471510099e-05,0.44640487562776343,Unknown,Unknown ❓,0.44646705137922826
1354,vBWMR10 ,2.3044086749746118e-05,3.913166471510099e-05,0.4461609601215362,Unknown,Unknown ❓,0.44622313587300105
543,AVHL ,2.3044086749746118e-05,3.913166471510099e-05,0.4457195045317424,Unknown,Unknown ❓,0.44578168028320725
773, vBWML17       ,2.3044086749746118e-05,3.913166471510099e-05,0.44535301362145674,Unknown,Unknown ❓,0.44541518937292157
7,CEPshDR,0.0002795353493417821,0.00012340714554288096,0.4450090178541662,Glia,Glia ⚙️,0.44541196034905084
909,mc1dr ,2.3044086749746118e-05,3.913166471510099e-05,0.4451808164879291,Unknown,Unknown ❓,0.44524299223939395
1269,dBWMR14 ,2.3044086749746118e-05,3.913166471510099e-05,0.44462196928445036,Unknown,Unknown ❓,0.4446841450359152
651,RMEV ,2.3044086749746118e-05,3.913166471510099e-05,0.4445459291825955,Unknown,Unknown ❓,0.44460810493406033
110,BWM-DL08,0.00017945104159424602,0.00013635989616789446,0.4442497635869813,Unknown,Unknown ❓,0.44456557452474343
114,BWM-DR07,0.00021886372823583938,0.00036900936664716527,0.4432893159568418,Unknown,Unknown ❓,0.4438771890517248
439,PVDR ,2.3044086749746118e-05,3.913166471510099e-05,0.44325289968746046,Unknown,Unknown ❓,0.4433150754389253
336, IL1L          ,2.3044086749746118e-05,3.913166471510099e-05,0.4432159693975943,Unknown,Unknown ❓,0.4432781451490591
814,VD09 ,2.3044086749746118e-05,3.913166471510099e-05,0.44316335265921225,Unknown,Unknown ❓,0.4432255284106771
1430,AIZL,0.00022798508533353884,0.0009337674846678264,0.4414064668459711,Unknown,Unknown ❓,0.44256821941597246
1020, SDQR        ,2.3044086749746118e-05,3.913166471510099e-05,0.442082889722163,Unknown,Unknown ❓,0.4421450654736278
555,AVL ,2.3044086749746118e-05,3.913166471510099e-05,0.4414902901962705,Unknown,Unknown ❓,0.44155246594773534
1378,vBWMR22 ,2.3044086749746118e-05,3.913166471510099e-05,0.44107151782831505,Unknown,Unknown ❓,0.4411336935797799
1276, dBWMR18     ,2.3044086749746118e-05,3.913166471510099e-05,0.440844470658097,Unknown,Unknown ❓,0.44090664640956184
293, IL2DL         ,2.3044086749746118e-05,3.913166471510099e-05,0.4404276119587773,Unknown,Unknown ❓,0.4404897877102421
290,AFDL ,2.3044086749746118e-05,3.913166471510099e-05,0.4402755861414865,Unknown,Unknown ❓,0.4403377618929513
396, PVCR          ,2.3044086749746118e-05,3.913166471510099e-05,0.4396805588240795,Unknown,Oscillator 🔁,0.43974273457554436
288, ASIR          ,2.3044086749746118e-05,3.913166471510099e-05,0.4394752491869364,Unknown,Chemosensory 👃,0.43953742493840126
15,IL1DL,0.0001629481544976885,0.00038314528740172594,0.43866076359855316,Unknown,Unknown ❓,0.4392068570404526
414,PLNL ,2.3044086749746118e-05,3.913166471510099e-05,0.43879863627622245,Unknown,Unknown ❓,0.4388608120276873
1522,PVPR,0.00016540143052409806,0.0002992536434195525,0.43797795979063875,Unknown,Unknown ❓,0.4384426148645824
197, ADFR          ,2.3044086749746118e-05,3.913166471510099e-05,0.4381464666176953,Unknown,Unknown ❓,0.43820864236916013
1209, dBWML8      ,2.3044086749746118e-05,3.913166471510099e-05,0.43808086221891546,Unknown,Unknown ❓,0.4381430379703803
949, ASER        ,2.3044086749746118e-05,3.913166471510099e-05,0.4379642328999959,Unknown,Chemosensory 👃,0.43802640865146075
1526,ALNL,0.00013795260116786917,0.0003144647754246886,0.43740661379933954,Unknown,Unknown ❓,0.4378590311759321
177, AWBL          ,2.3044086749746118e-05,3.913166471510099e-05,0.43769984100606507,Unknown,Unknown ❓,0.4377620167575299
1291, vBWML2      ,2.3044086749746118e-05,3.913166471510099e-05,0.43759452376430846,Unknown,Unknown ❓,0.4376566995157733
31,IL2VR,0.0001755162570752436,0.00028617792585496136,0.43641081552846117,Unknown,Unknown ❓,0.43687250971139135
1372,vBWMR19 ,2.3044086749746118e-05,3.913166471510099e-05,0.43635262714580375,Unknown,Unknown ❓,0.4364148028972686
326, vBWML1        ,2.3044086749746118e-05,3.913166471510099e-05,0.4360574878822945,Unknown,Unknown ❓,0.4361196636337593
514, ALNL          ,2.3044086749746118e-05,3.913166471510099e-05,0.4353521184585058,Unknown,Unknown ❓,0.43541429420997063
62,RMED,0.000267785557463103,0.0009603336026862371,0.43412975745081894,Unknown,Unknown ❓,0.4353578766109683
23,BWM-VL02,7.327324236763855e-05,0.00010823959497895925,0.4351461628987181,Unknown,Unknown ❓,0.4353276757360647
614, DA03          ,2.3044086749746118e-05,3.913166471510099e-05,0.43515563839654686,Unknown,Unknown ❓,0.4352178141480117
200, AWBR          ,2.3044086749746118e-05,3.913166471510099e-05,0.4341093794677893,Unknown,Unknown ❓,0.43417155521925416
242, RIPR          ,2.3044086749746118e-05,3.913166471510099e-05,0.433581128049165,Unknown,Unknown ❓,0.4336433038006298
749,AS03 ,2.3044086749746118e-05,3.913166471510099e-05,0.43350547366226994,Unknown,Unknown ❓,0.43356764941373477
454,URYVR ,2.3044086749746118e-05,3.913166471510099e-05,0.43332558716645053,Unknown,Unknown ❓,0.43338776291791536
