gene,mean_members,mean_control,effect_size,pval,qval
WBGene00014121,0.004629629629629629,0.09012254297228389,-0.08549291334265427,1.9975741998323913e-17,4.4883494696034e-13
WBGene00010940,0.0069444444444444415,0.11815938810757463,-0.11121494366313019,3.0849942847545795e-16,3.4658368292075324e-12
WBGene00022887,2.123578042328042,6.665317871535488,-4.541739829207446,1.3389780790054577e-15,1.0028499485724542e-11
WBGene00012854,0.07337962962962963,0.3380787893741262,-0.2646991597444966,9.303586740627775e-15,5.226057261879137e-11
WBGene00015691,0.148776455026455,1.4670696603339088,-1.3182932053074539,2.2484442665874143e-14,1.0104058845190522e-10
WBGene00002026,122.5868716931217,570.1189407023604,-447.53206900923874,3.2987569166266025e-14,1.2353294859947189e-10
WBGene00023239,0.0,0.09550949913644212,-0.09550949913644212,8.891197187244417e-14,2.853947280002783e-10
WBGene00010183,0.008333333333333333,0.148013816925734,-0.13968048359240068,1.2070811849582863e-13,3.013545238314193e-10
WBGene00010311,0.295734126984127,1.1129204704334237,-0.8171863434492967,1.10447697742854e-13,3.013545238314193e-10
WBGene00003898,0.8523809523809525,2.1162924582613702,-1.2639115058804178,1.693206424971403e-13,3.8044655162682454e-10
WBGene00018239,0.31279761904761905,0.9186857471831565,-0.6058881281355375,2.803172554146161e-13,5.24870700992584e-10
WBGene00006407,6.546560846560847,18.235208487540092,-11.688647640979244,2.748633641562788e-13,5.24870700992584e-10
WBGene00013203,0.2386574074074074,0.8882802862077473,-0.64962287880034,4.653521837178851e-13,8.043075550736276e-10
WBGene00021209,0.42671957671957667,1.0466732461551114,-0.6199536694355348,5.268917931321377e-13,8.301774608324831e-10
WBGene00016642,0.42397486772486764,1.2243194341639938,-0.8003445664391262,5.542152259774466e-13,8.301774608324831e-10
WBGene00001819,0.0,0.0439838802533103,-0.0439838802533103,7.487892281472808e-13,1.0515340729525783e-09
WBGene00012650,0.004166666666666667,0.04864709268854346,-0.044480426021876796,8.622978682838853e-13,1.1397041648512127e-09
WBGene00021246,0.24513888888888888,0.7931820050991036,-0.5480431162102147,9.249830442341047e-13,1.1546357789386721e-09
WBGene00011274,0.7436507936507937,2.0475039065712637,-1.30385311292047,1.0039114417739567e-12,1.1872045360641596e-09
WBGene00000727,0.043220899470899465,0.22407270334731474,-0.18085180387641528,1.3908465746597702e-12,1.4881396040966844e-09
WBGene00001615,0.812632275132275,3.784201003371988,-2.971568728239713,1.3679904521192745e-12,1.4881396040966844e-09
WBGene00001724,0.03736772486772486,0.1969487622337363,-0.15958103736601145,2.110865105032874e-12,2.0936228721127386e-09
WBGene00009341,0.41593915343915344,1.0034377827123941,-0.5874986292732407,2.1431005411274636e-12,2.0936228721127386e-09
WBGene00010048,0.0,0.03992104613866271,-0.03992104613866271,2.789981861153289e-12,2.4849395406956476e-09
WBGene00017786,0.06851851851851852,0.35321161279710495,-0.2846930942785864,2.9860415505266137e-12,2.4849395406956476e-09
