gene,mean_hub,mean_control,effect_size,pval,qval
WBGene00019642,0.1687763713080169,0.7326869579446899,-0.5639105866366729,4.260141953748152e-12,6.959809424817497e-08
WBGene00009738,0.39957805907172994,2.0433071510391096,-1.6437290919673797,6.195032644815076e-12,6.959809424817497e-08
WBGene00003394,0.010126582278481011,0.09536082474226804,-0.08523424246378702,1.3260035808038059e-11,9.931324819026905e-08
WBGene00021936,0.7265822784810125,2.5135002454590083,-1.7869179669779958,3.056398377892369e-11,1.716855378821591e-07
WBGene00000039,0.008438818565400841,0.13492881688757977,-0.12648999832217891,5.565597402997086e-11,2.2665489562728296e-07
WBGene00015989,0.0661040787623066,0.30753559155621013,-0.2414315127939035,6.052469508049747e-11,2.2665489562728296e-07
WBGene00020853,0.17609001406469763,0.845868106692849,-0.6697780926281514,1.3866959555226037e-10,4.451095917805341e-07
WBGene00001636,0.0,0.05549828178694158,-0.05549828178694158,1.7347631010576366e-10,4.872299014708004e-07
WBGene00020812,0.4601969057665261,1.483406971035837,-1.023210065269311,2.974062168189787e-10,7.424911428561814e-07
WBGene00194939,0.0,0.07749959090165276,-0.07749959090165276,3.4439572172754327e-10,7.73822747149617e-07
WBGene00194849,0.04936708860759494,0.20921289477990507,-0.15984580617231012,4.564746212359574e-10,9.324116604137024e-07
WBGene00235106,0.0,0.0415807560137457,-0.0415807560137457,7.055248940366489e-10,1.3210365703424552e-06
WBGene00021246,0.3188466947960618,0.7190067092128947,-0.40016001441683285,8.596361517745685e-10,1.4857818995555983e-06
WBGene00021789,0.09943741209563993,0.32664048437244314,-0.2272030722768032,1.090376874161955e-09,1.7499769989674977e-06
WBGene00219682,0.15218002812939518,0.4412943871706759,-0.2891143590412807,1.5433794845307938e-09,2.311879575861494e-06
WBGene00010508,0.0,0.05498281786941581,-0.05498281786941581,1.8495133711694939e-09,2.5972947460504598e-06
WBGene00008301,0.0,0.04910816560301096,-0.04910816560301096,1.997923386556049e-09,2.6406670925016388e-06
WBGene00003933,0.04177215189873418,0.2728195058091965,-0.23104735391046233,2.152492066834155e-09,2.686908013872035e-06
WBGene00021801,0.0,0.02929144166257568,-0.02929144166257568,2.4575761475070262e-09,2.7653957239245636e-06
WBGene00012703,0.15288326300984525,0.566928489608902,-0.41404522659905674,2.4615209612573444e-09,2.7653957239245636e-06
WBGene00018726,0.0,0.05544100801832761,-0.05544100801832761,2.823870586679104e-09,2.8891648441736703e-06
WBGene00012168,0.09057665260196908,0.3510145639011619,-0.26043791129919286,2.8288587196502178e-09,2.8891648441736703e-06
WBGene00000634,0.012658227848101266,0.10715922107674684,-0.09450099322864558,3.376907342687273e-09,3.1758836466838653e-06
WBGene00006286,0.0,0.15486827033218786,-0.15486827033218786,3.533628161782751e-09,3.1758836466838653e-06
WBGene00006712,2.571870604781997,11.855661921125838,-9.28379131634384,3.531856190712816e-09,3.1758836466838653e-06
WBGene00001544,0.1849507735583685,0.8126411389297987,-0.6276903653714302,3.775336665142663e-09,3.262616904965019e-06
WBGene00012258,1.1721518987341772,2.8136802487317953,-1.641528349997618,4.243743620223099e-09,3.531580570473808e-06
WBGene00195180,0.0,0.05145639011618393,-0.05145639011618393,4.6443186303444325e-09,3.726899832328895e-06
WBGene00021743,0.0,0.023564064801178203,-0.023564064801178203,5.314542933805897e-09,4.031822960188636e-06
WBGene00044636,0.0,0.11088201603665522,-0.11088201603665522,5.383180773762031e-09,4.031822960188636e-06
WBGene00011841,0.0,0.03483881525118638,-0.03483881525118638,6.52755815577532e-09,4.731216264584377e-06
WBGene00008992,0.290436005625879,1.3042873506791033,-1.0138513450532243,6.823172730070958e-09,4.790933377248886e-06
WBGene00004099,0.0,0.09418262150220913,-0.09418262150220913,7.303190748327104e-09,4.817270526369369e-06
WBGene00015510,0.006329113924050633,0.30409098347242675,-0.29776186954837613,7.503870596062482e-09,4.817270526369369e-06
WBGene00044742,0.13811533052039382,0.7757895598101783,-0.6376742292897845,7.090426691739233e-09,4.817270526369369e-06
WBGene00015515,0.0189873417721519,0.1140893470790378,-0.0951020053068859,8.638774214762733e-09,5.349122984818928e-06
