hub_def,hub,control
degree,AINR;CEPshVR;CEPshVL;CEPshDR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RIML;AVHR;CEPVL;AWCR;ASGR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;RIS;RIVR;URYVL;RIFL;ASGL;IL2DR;SMBDL;IL1R;BWM-VR01;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;ALA;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-VR02;ADFR;RIAL;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;PVR;SIAVR;PVNR;AWBL;IL2R;GLRR;AVM;BWM-VL05;BWM-VL02;BWM-VL03;BWM-DL05;BWM-VL01;PLNR;ALNL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;CANR;BWM-VR03, AWAL        
degree,AINR;CEPshVR;CEPshVL;CEPshDR;ASJR;PVT;RIAR;RIH;BWM-VR04;RIMR;SMBVR;ADER;ASIL;DVC;AVFR;URYVR;PVNL;RMFL;AIBR;AVAR;AIBL;AIYR;AUAR;URXR;AFDR;BAGL;ASEL;RIML;AVHR;CEPVL;AWCR;ASGR;BAGR;ASJL;URBL;BDUL;IL2DL;PVQL;RIS;RIVR;URYVL;RIFL;ASGL;IL2DR;SMBDL;IL1R;BWM-VR01;RMDL;RMDR;RMDVL;RMDVR;SMBVL;SMDDL;SMDDR;SMDVL;SMDVR;RIVL;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;DVA;SAAVL;PVPR;URYDL;AVBR;OLLL;AVAL;AVEL;AVER;SIBVL;URYDR;AVBL;AVDL;OLQVR;SIBDR;RICL;ADAR;AVKR;SAADR;AVKL;SAADL;SAAVR;HSNL;HSNR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AWAL;AVFL;PVPL;FLPR;FLPL;PVCL;AVJR;IL1L;RMEV;URAVL;IL2L;OLQVL;IL1DL;BWM-DL03;SMBDR;URADL;BWM-DL01;ALA;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;BWM-VR02;ADFR;RIAL;IL2VL;SIBVR;OLQDL;BWM-VL04;BWM-DL04;BWM-DL06;RIFR;PVR;SIAVR;PVNR;AWBL;IL2R;GLRR;AVM;BWM-VL05;BWM-VL02;BWM-VL03;BWM-DL05;BWM-VL01;PLNR;ALNL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIR;ADEL;AIAL;AIMR;RMEL;CANR;BWM-VR03, M2R           
degree,AINR;PVT;RIAR;DVC;AIBR;ASEL;ASKR;BAGR;URBL;RIVL;RICR;ASHR;AWBR;DVA;SAAVL;AVKL;RMHL;ADAL;URXL;OLQVL;AFDL;ALML;ADFR;RIGR;RMGL;AIZL;AQR;SDQR;SDQL;ADEL;AIAL, RMHL          
degree,AINR;PVT;RIAR;DVC;AIBR;ASEL;ASKR;BAGR;URBL;RIVL;RICR;ASHR;AWBR;DVA;SAAVL;AVKL;RMHL;ADAL;URXL;OLQVL;AFDL;ALML;ADFR;RIGR;RMGL;AIZL;AQR;SDQR;SDQL;ADEL;AIAL, AVBL        
degree,AINR;PVT;RIAR;DVC;AIBR;ASEL;ASKR;BAGR;URBL;RIVL;RICR;ASHR;AWBR;DVA;SAAVL;AVKL;RMHL;ADAL;URXL;OLQVL;AFDL;ALML;ADFR;RIGR;RMGL;AIZL;AQR;SDQR;SDQL;ADEL;AIAL, SMBVR         
degree,AINR;PVT;RIAR;RIH;BWM-VR04;RIMR;ADER;BDUR;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AIYR;AUAR;URXR;ASEL;RIML;AVHR;CEPVL;ASKR;URBL;BDUL;IL2DL;PVQL;RIS;URYVL;SMBDL;IL1R;RMDL;RMDR;SMDDR;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AWBR;DVA;SAAVL;URYDL;AVBR;OLLL;AVAL;AVEL;URYDR;AVBL;OLLR;OLQVR;OLQDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAAVR;HSNL;HSNR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AVFL;PVPL;FLPR;FLPL;AVJL;AVJR;IL1L;IL2L;IL1DL;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;ADFR;RIAL;OLQDL;RIFR;PVR;ALMR;PVNR;IL2R;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;RMEL;IL1DR,AWBL 
degree,AINR;PVT;RIAR;RIH;BWM-VR04;RIMR;ADER;BDUR;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AIYR;AUAR;URXR;ASEL;RIML;AVHR;CEPVL;ASKR;URBL;BDUL;IL2DL;PVQL;RIS;URYVL;SMBDL;IL1R;RMDL;RMDR;SMDDR;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AWBR;DVA;SAAVL;URYDL;AVBR;OLLL;AVAL;AVEL;URYDR;AVBL;OLLR;OLQVR;OLQDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAAVR;HSNL;HSNR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AVFL;PVPL;FLPR;FLPL;AVJL;AVJR;IL1L;IL2L;IL1DL;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;ADFR;RIAL;OLQDL;RIFR;PVR;ALMR;PVNR;IL2R;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;RMEL;IL1DR, SABD        
degree,AINR;PVT;RIAR;RIH;BWM-VR04;RIMR;ADER;BDUR;DVC;AVFR;CEPVR;URYVR;ADLR;PVNL;RMFL;AIBR;AIYR;AUAR;URXR;ASEL;RIML;AVHR;CEPVL;ASKR;URBL;BDUL;IL2DL;PVQL;RIS;URYVL;SMBDL;IL1R;RMDL;RMDR;SMDDR;SMDVR;RIVL;RICR;ALNR;CEPDR;RMFR;CEPDL;ASHR;AWBR;DVA;SAAVL;URYDL;AVBR;OLLL;AVAL;AVEL;URYDR;AVBL;OLLR;OLQVR;OLQDR;RICL;BWM-VL06;ADAR;AVKR;SAADR;AVKL;SAAVR;HSNL;HSNR;URBR;AVHL;AWAR;RMGR;RMHL;RMHR;ADAL;ADFL;URXL;AVFL;PVPL;FLPR;FLPL;AVJL;AVJR;IL1L;IL2L;IL1DL;AVL;PVQR;ASKL;AFDL;AUAL;AIML;ALML;ADLL;ADFR;RIAL;OLQDL;RIFR;PVR;ALMR;PVNR;IL2R;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;RIPR;SDQR;SDQL;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;RMEL;IL1DR, IL1VR       
degree,AINR;RIAR;PVNL;ASEL;PVQL;RIVR;RICR;SAAVL;PLNL;RIAL;GLRR;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMGL;AIZR;ASHL;SDQR;RMER;ADEL;AIAL;AIMR, ASKR          
degree,AINR;RIAR;PVNL;ASEL;PVQL;RIVR;RICR;SAAVL;PLNL;RIAL;GLRR;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMGL;AIZR;ASHL;SDQR;RMER;ADEL;AIAL;AIMR,AIML
degree,AINR;RIAR;PVNL;ASEL;PVQL;RIVR;RICR;SAAVL;PLNL;RIAL;GLRR;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMGL;AIZR;ASHL;SDQR;RMER;ADEL;AIAL;AIMR,RMFR 
degree,AINR;RIAR;RIH;ASIL;CEPVR;PVNL;AIBR;AVHR;CEPVL;IL2DL;PVQL;URYVL;IL2DR;IL2VR;RMDVL;SMDVL;RICR;RMFR;CEPDL;AIYL;SAAVL;AVEL;AVER;OLLR;OLQDR;AVKR;HSNL;HSNR;URAVR;AVHL;ADAL;PLNL;URAVL;IL2L;OLQVL;URADR;AVL;ASKL;RIAL;IL2VL;OLQDL;RIFR;AWBL;IL2R;GLRR;GLRDL;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQR;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;IL1DR, ALA         
degree,AINR;RIAR;RIH;ASIL;CEPVR;PVNL;AIBR;AVHR;CEPVL;IL2DL;PVQL;URYVL;IL2DR;IL2VR;RMDVL;SMDVL;RICR;RMFR;CEPDL;AIYL;SAAVL;AVEL;AVER;OLLR;OLQDR;AVKR;HSNL;HSNR;URAVR;AVHL;ADAL;PLNL;URAVL;IL2L;OLQVL;URADR;AVL;ASKL;RIAL;IL2VL;OLQDL;RIFR;AWBL;IL2R;GLRR;GLRDL;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQR;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;IL1DR,ASHR 
degree,AINR;RIAR;RIH;ASIL;CEPVR;PVNL;AIBR;AVHR;CEPVL;IL2DL;PVQL;URYVL;IL2DR;IL2VR;RMDVL;SMDVL;RICR;RMFR;CEPDL;AIYL;SAAVL;AVEL;AVER;OLLR;OLQDR;AVKR;HSNL;HSNR;URAVR;AVHL;ADAL;PLNL;URAVL;IL2L;OLQVL;URADR;AVL;ASKL;RIAL;IL2VL;OLQDL;RIFR;AWBL;IL2R;GLRR;GLRDL;RIGR;AIAR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;ASHL;RIPR;SDQR;RMER;IL1VL;RIPL;ADEL;AIAL;AIMR;IL1DR,AWAL 
degree,AINR;RIAR;RIH;RIMR;SMBVR;ADER;ASIL;BDUR;DVC;AVFR;CEPVR;PVNL;AIBR;AVAR;AIBL;URXR;AVHR;CEPVL;ASKR;URBL;BDUL;IL2DL;PVQL;RIS;RIFL;IL1R;RMDL;RMDR;RMDVL;SMDDL;SMDVR;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;PVPR;URYDL;OLLL;AVEL;AVER;URYDR;OLLR;OLQVR;OLQDR;RICL;AVKR;SAADL;HSNL;HSNR;URBR;AVHL;RMGR;ADAL;ADFL;URXL;AWAL;PVPL;PVCL;AVJR;IL2L;IL1DL;SMBDR;URADL;PVQR;AFDL;AUAL;ALML;ADLL;RIAL;IL2VL;OLQDL;RIFR;PVR;ALMR;PVNR;AWBL;IL2R;BWM-VR05;AVM;ALNL;RIBL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;SDQR;SDQL;RMER;IL1VL;RIPL;AIAL;RMEL;IL1DR, SIBDL         
degree,AINR;RIAR;RIH;RIMR;SMBVR;ADER;ASIL;BDUR;DVC;AVFR;CEPVR;PVNL;AIBR;AVAR;AIBL;URXR;AVHR;CEPVL;ASKR;URBL;BDUL;IL2DL;PVQL;RIS;RIFL;IL1R;RMDL;RMDR;RMDVL;SMDDL;SMDVR;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;PVPR;URYDL;OLLL;AVEL;AVER;URYDR;OLLR;OLQVR;OLQDR;RICL;AVKR;SAADL;HSNL;HSNR;URBR;AVHL;RMGR;ADAL;ADFL;URXL;AWAL;PVPL;PVCL;AVJR;IL2L;IL1DL;SMBDR;URADL;PVQR;AFDL;AUAL;ALML;ADLL;RIAL;IL2VL;OLQDL;RIFR;PVR;ALMR;PVNR;AWBL;IL2R;BWM-VR05;AVM;ALNL;RIBL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;SDQR;SDQL;RMER;IL1VL;RIPL;AIAL;RMEL;IL1DR,OLQDL 
degree,AINR;RIAR;RIH;RIMR;SMBVR;ADER;ASIL;BDUR;DVC;AVFR;CEPVR;PVNL;AIBR;AVAR;AIBL;URXR;AVHR;CEPVL;ASKR;URBL;BDUL;IL2DL;PVQL;RIS;RIFL;IL1R;RMDL;RMDR;RMDVL;SMDDL;SMDVR;RICR;CEPDR;RMFR;CEPDL;ASHR;AIYL;AWBR;PVPR;URYDL;OLLL;AVEL;AVER;URYDR;OLLR;OLQVR;OLQDR;RICL;AVKR;SAADL;HSNL;HSNR;URBR;AVHL;RMGR;ADAL;ADFL;URXL;AWAL;PVPL;PVCL;AVJR;IL2L;IL1DL;SMBDR;URADL;PVQR;AFDL;AUAL;ALML;ADLL;RIAL;IL2VL;OLQDL;RIFR;PVR;ALMR;PVNR;AWBL;IL2R;BWM-VR05;AVM;ALNL;RIBL;RIBR;RIGR;ASER;RIGL;IL1VR;RMDDL;RMDDR;RMGL;AIZL;AIZR;AQR;RMED;SDQR;SDQL;RMER;IL1VL;RIPL;AIAL;RMEL;IL1DR, URXL        
