Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
BWM-DL03,186.0,6.65,178.0
BWM-DL05,80.0,7.083333333333333,76.0
BWM-DL07,28.0,5.75,24.0
BWM-DR02,346.0,7.2,322.0
BWM-DR04,218.0,15.772727272727273,216.0
BWM-DR05,104.0,6.75,100.0
BWM-DR06,64.0,4.5,58.0
BWM-DR07,27.0,6.5,23.0
BWM-VL01,259.0,7.269230769230769,251.0
BWM-VL03,196.0,6.444444444444445,184.0
BWM-VL04,235.0,7.5,231.0
BWM-VL05,119.0,7.0,115.0
BWM-VL06,75.0,7.375,71.0
BWM-VR02,385.0,6.9,377.0
BWM-VR04,258.0,7.75,246.0
BWM-VR05,128.0,7.125,120.0
BWM-VR08,24.0,5.833333333333333,20.0
CANR,3.0,9.0,1.0
CEPDL,233.0,15.63314005352364,83.0
CEPDL ,360.0,7.814814814814815,360.0
CEPDR,233.0,16.67094017094017,111.0
CEPDR ,326.0,7.913043478260869,326.0
CEPVL,230.0,15.382275132275133,62.0
CEPVL ,306.0,7.8478260869565215,306.0
CEPVR,228.0,14.5,108.0
CEPVR ,263.0,6.86,263.0
DA01 ,261.0,7.9,261.0
DA02 ,297.0,6.7,297.0
DA03 ,471.0,7.277777777777778,471.0
DA04 ,240.0,6.5,240.0
DA05 ,258.0,7.0625,258.0
DA06 ,264.0,7.4,264.0
DA07 ,282.0,7.416666666666667,282.0
DA08 ,459.0,6.40625,459.0
DA09 ,459.0,8.065217391304348,459.0
DB01 ,482.0,7.5,482.0
DB02 ,431.0,7.722222222222222,431.0
DB03 ,401.0,8.0,401.0
DB04 ,251.0,7.833333333333333,251.0
DB05 ,287.0,7.625,287.0
DB06 ,254.0,8.0,254.0
DB07 ,327.0,7.2894736842105265,327.0
DD01 ,231.0,7.458333333333333,231.0
DD02 ,144.0,8.11111111111111,144.0
DD03 ,150.0,6.95,150.0
DD04 ,147.0,5.833333333333333,147.0
DD05 ,135.0,8.666666666666666,135.0
DD06 ,357.0,5.5,357.0
DVA,215.0,14.675,97.0
DVA ,596.0,7.4875,596.0
DVB ,362.0,7.681818181818182,362.0
DVC,241.0,17.11111111111111,169.0
DVC ,665.0,7.366666666666666,665.0
FLPL,115.0,15.066666666666666,91.0
FLPL ,530.0,7.565217391304348,530.0
FLPR,95.0,15.482404692082111,67.0
FLPR ,487.0,7.545454545454546,487.0
GLRDL,17.0,4.0,11.0
GLRDR,18.0,7.25,12.0
GLRL,33.0,16.583333333333332,25.0
GLRR,28.0,14.416666666666668,20.0
GLRVL,42.0,7.428571428571429,40.0
HSNL,79.0,15.412538699690401,23.0
HSNL ,387.0,8.485294117647058,387.0
HSNR,81.0,14.69,5.0
HSNR ,327.0,7.714285714285714,327.0
I1L ,133.0,6.666666666666667,133.0
I1R ,129.0,7.7,129.0
I2L ,144.0,7.6,144.0
I2R ,194.0,8.204545454545455,194.0
I3 ,73.0,7.7631578947368425,73.0
I4 ,175.0,7.866666666666666,175.0
