hub_def,PC,n_hubs,n_controls,mean_hub,mean_control,effect_size,t_stat,pval,qval
degree,PC1,20,32,17866.87893049456,9934.752441203938,7932.126489290622,0.3026989984773268,0.7639866229802319,0.9316910036344292
degree,PC2,20,32,-2143.3980270127313,1648.3475542204706,-3791.745581233202,-1.852060246140722,0.0699739564407984,0.87467445550998
degree,PC3,20,32,-1672.4958663509246,2154.1197613344575,-3826.615627685382,-1.6397535062104762,0.10733392688675279,0.89200566364108
degree,PC4,20,32,-1382.32071531359,1201.3253216027745,-2583.646036916364,-0.8641742011304061,0.3936908373033634,0.9314291585279332
degree,PC5,20,32,4630.738487214016,2130.929037523273,2499.8094496907424,0.49381447625524394,0.6245210975992781,0.9314291585279332
degree,PC6,20,32,1.2681812080869392,2096.510342421094,-2095.242161213007,-0.9228465541720317,0.3608390801150304,0.9314291585279332
degree,PC7,20,32,-1132.7168892888553,-334.0282353670763,-798.688653921779,-1.0990500152521399,0.2770376842230437,0.9314291585279332
degree,PC8,20,32,126.25173971006525,2489.2684891213635,-2363.0167494112984,-1.2339494894566114,0.22317212098461595,0.9314291585279332
degree,PC9,20,32,-288.0434990815481,460.651663244838,-748.695162326386,-0.49969383640840775,0.6206902625331888,0.9314291585279332
degree,PC10,20,32,-501.15041803904194,-306.77000836125796,-194.38040967778397,-0.842557716106195,0.4038596343234713,0.9314291585279332
degree,PC11,20,32,-73.03170486703667,-342.54365917488263,269.51195430784594,0.5384453108430712,0.595485890296864,0.9314291585279332
degree,PC12,20,32,1222.523521577622,-342.97085291239375,1565.4943744900156,0.892936880790552,0.3827081921532479,0.9314291585279332
degree,PC13,20,32,925.488474897957,760.6555061987195,164.83296869923743,0.10549545405199345,0.916467546816726,0.9546536946007563
degree,PC14,20,32,-132.55768451615617,589.5343054232312,-722.0919899393874,-0.7088524519519471,0.48322916115312176,0.9314291585279332
degree,PC15,20,32,613.1047035503473,-529.2406723548826,1142.34537590523,1.2698758832476393,0.21403924065566204,0.9314291585279332
degree,PC16,20,32,2.3653113777040935,-281.0042224288493,283.36953380655336,0.649891008655257,0.5212756923272901,0.9314291585279332
degree,PC17,20,32,-18.79634035901857,-174.18621457135015,155.3898742123316,0.35249253704271744,0.7265147436517878,0.9314291585279332
degree,PC18,20,32,115.52642446351066,-431.3909356995175,546.9173601630282,0.9601412952608575,0.3417970006557238,0.9314291585279332
degree,PC19,20,32,-352.4220029054342,-190.23185682968744,-162.19014607574678,-0.3224255141764341,0.7489973023473252,0.9316910036344292
degree,PC20,20,32,92.93145455970448,106.29776447165132,-13.366309911946843,-0.020330199865322536,0.9838978216518408,0.9838978216518409
degree,PC21,20,32,-410.33061990373824,134.88380411395028,-545.2144240176885,-2.2442055341981866,0.03203583650907729,0.8375060773392377
degree,PC22,20,32,747.2921939466205,-324.3843592490863,1071.6765531957067,1.6027009974743895,0.12212841266702981,0.89200566364108
degree,PC23,20,32,84.13056287743252,54.80290089935496,29.327661978077565,0.10621767131268217,0.9160126625930886,0.9546536946007563
degree,PC24,20,32,-218.67404970341667,-380.20262976098167,161.528580057565,0.637054137741085,0.5270345586733476,0.9314291585279332
degree,PC25,20,32,-149.58653304151346,79.66196751629984,-229.24850055781332,-0.607359191367821,0.546946555566967,0.9314291585279332
degree,PC26,20,32,-59.18040002141453,-25.137947147893897,-34.04245287352063,-0.15092914236913785,0.8806699076126754,0.9546536946007563
degree,PC27,20,32,-195.24349239724853,344.5505941020292,-539.7940864992777,-1.5642230535289818,0.12488079290975121,0.89200566364108
degree,PC28,20,32,224.24893484651238,66.02905983067976,158.21987501583263,0.4683711330793136,0.6415917326181477,0.9314291585279332
degree,PC29,20,32,-81.07983969059946,375.69992369692295,-456.7797633875224,-1.0820763454986353,0.2870889397902524,0.9314291585279332
degree,PC30,20,32,-14.240346210088967,57.992726390672885,-72.23307260076186,-0.40173520524443823,0.689591840053029,0.9314291585279332
degree,PC31,20,32,-88.82559335341439,-41.60946001039703,-47.21613334301736,-0.36162784552562427,0.7192419304765088,0.9314291585279332
degree,PC32,20,32,-94.33503301926447,72.80074811942384,-167.13578113868832,-0.7640937759233343,0.4484185114106988,0.9314291585279332
degree,PC33,20,32,299.6543290846697,-90.1916130316358,389.84594211630554,0.9741755929276393,0.34097173914253387,0.9314291585279332
degree,PC34,20,32,126.48876756366167,167.8030706275006,-41.314303063838935,-0.1508137677755411,0.8808458855192425,0.9546536946007563
degree,PC35,20,32,-44.327958660039215,-41.28826842275696,-3.039690237282258,-0.041410218941797486,0.9671345831028313,0.9838978216518409
degree,PC36,20,32,42.6432830156184,-279.4412681961972,322.0845512118156,1.8993043247077406,0.06359450986985925,0.87467445550998
degree,PC37,20,32,-32.99372256714514,-138.43427912859624,105.4405565614511,0.5794691110893567,0.5652951090194114,0.9314291585279332
degree,PC38,20,32,-50.00973275166381,60.5402175258979,-110.54995027756172,-0.631470982174331,0.5306103530355518,0.9314291585279332
degree,PC39,20,32,27.216186068893183,96.82750891084795,-69.61132284195477,-0.37811197449272566,0.7072063795191379,0.9314291585279332
degree,PC40,20,32,-37.033580323673455,63.80698051637745,-100.8405608400509,-0.7249936424253445,0.4719111018670684,0.9314291585279332
degree,PC41,20,32,-13.30930196243366,-30.063352066000864,16.754050103567202,0.12103339628714475,0.9043770640609926,0.9546536946007563
degree,PC42,20,32,-3.6506323439566755,26.65381622431891,-30.304448568275586,-0.3943221302931101,0.6953071779863205,0.9314291585279332
degree,PC43,20,32,56.83549867224137,108.55163684377784,-51.71613817153647,-0.4343389657161681,0.6659615061767048,0.9314291585279332
degree,PC44,20,32,21.28746959786145,-37.57623159468696,58.863701192548405,0.6383044946133155,0.5264655936786513,0.9314291585279332
degree,PC45,20,32,-88.25387668542356,38.29253874912155,-126.54641543454511,-1.1868868843626463,0.241264357571529,0.9314291585279332
degree,PC46,20,32,-90.27616687665032,-79.62388691980885,-10.652279956841468,-0.11487089486389372,0.9090088509440857,0.9546536946007563
degree,PC47,20,32,-2.410737071508733,-18.895587651768494,16.48485058025976,0.12649657691729752,0.9001281144530986,0.9546536946007563
degree,PC48,20,32,-32.598767619667356,-69.99799114493682,37.39922352526946,0.4574850473546925,0.6495241776906593,0.9314291585279332
degree,PC49,20,32,-88.83432681950416,-24.505938909803554,-64.32838790970061,-0.55182863893882,0.5836459084402914,0.9314291585279332
degree,PC50,20,32,-51.57692879913325,148.49702272818752,-200.07395152732076,-2.1863573241411918,0.033500243093569505,0.8375060773392377
betweenness,PC1,20,27,17764.527233614448,-4324.756412523078,22089.283646137526,0.9935417963583416,0.33293008385569267,0.9182386089385519
betweenness,PC2,20,27,-2475.181569665334,-550.208592931238,-1924.972976734096,-0.9411829971536094,0.35186720774711944,0.9182386089385519
betweenness,PC3,20,27,-1870.9550334415628,330.1803906494183,-2201.1354240909814,-0.9151179051945598,0.36562498074431204,0.9182386089385519
betweenness,PC4,20,27,-731.4317209847029,1209.7828398130468,-1941.2145607977498,-0.6728900782531758,0.506941352749988,0.9182386089385519
betweenness,PC5,20,27,-1106.6134493842526,-1258.1728242135198,151.5593748292672,0.12566791648894066,0.9009021081698324,0.9864106750298767
betweenness,PC6,20,27,-910.4861851274279,3409.146063732071,-4319.632248859499,-1.7749576105421192,0.08612622609840416,0.9182386089385519
betweenness,PC7,20,27,-579.0692047936507,507.90993975686473,-1086.9791445505155,-1.747679317713923,0.0895588311651197,0.9182386089385519
betweenness,PC8,20,27,-393.8781427127844,69.21570798449525,-463.09385069727966,-0.44113302562552104,0.6613669173749173,0.9490566427036555
betweenness,PC9,20,27,-226.37626917435622,739.6482594392219,-966.0245286135781,-0.5473537199855437,0.5887241264754057,0.9182386089385519
betweenness,PC10,20,27,-470.04685809167967,-522.9594282759609,52.912570184281265,0.2548652136520258,0.8004031225508683,0.9864106750298767
betweenness,PC11,20,27,-522.4347120374075,2.6522632175355394,-525.086975254943,-1.4353249694598438,0.16025100182741314,0.9182386089385519
betweenness,PC12,20,27,-202.007670401792,-191.03773851499784,-10.969931886794171,-0.03240852096630365,0.9743183431784708,0.9864106750298767
betweenness,PC13,20,27,-450.2653695404889,-331.81429530571404,-118.45107423477486,-0.6183692620303219,0.5394517566771766,0.9182386089385519
betweenness,PC14,20,27,-224.00889857678249,-139.6643229596032,-84.34457561717929,-0.40600267422576775,0.6867397340832844,0.9538051862267838
betweenness,PC15,20,27,243.110959756765,701.0061028642002,-457.8951431074352,-0.6722778141090953,0.5049538018045343,0.9182386089385519
betweenness,PC16,20,27,549.9938496697717,-239.78877152245457,789.7826211922263,1.2579767304865463,0.21734386847475198,0.9182386089385519
