Leiden,TotalStrength,AvgRelatedness,StrengthImbalance,RichClubScore,total_3node_motifs,as_source,as_target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0,192.58932714617168,6.732520958775429,192.58932714617168,0.04302134437909912,139.7215777262181,0.0,0.0,-0.24318615931252902,-0.5180361003693735,-0.09575409445670534,0.32531372075174014,-0.10848533886890951,-0.44074098582273785,0.1969717432951276,-0.1351285682575406,-0.07794114769895591,-0.3470784168913457,0.3190994817549884,-0.0854786715874014,-0.2691539776073782,-0.04606191564941995,-0.06755338505494199,0.2394045088445476,-0.19562820486194896,0.15640700344779582,-0.4827509977436195,0.42971820393573085,0.10110033033290022,0.22490985706194894,0.09075217347941995,-0.18851991401415313,0.042287198811670534,0.17596080513201856,-0.20981042623596285,0.09877870543308585,0.30345651070786545,-0.02762402325825986,0.3161708013687935,-0.2583960632974014,-0.3713783855716241,-0.051443521077494204,-0.20653005334433874,0.20596445828041765,-0.5224431221055684,-0.1503497564765197,0.1350191844623666,0.147732754462413,-0.17405380160951278,0.1722277292276102,0.01162823672691415,-0.121183309650116,0.012641740926589326,0.02160509074338747,-0.20334865719744782,-0.281823504352529,-0.07541904926923435,0.2744801600277494,0.07387209384348029,0.04394520334779583,-0.22605941743155453,0.024473374131090485,-0.22221158944990718,-0.21959418792454755,-0.02131397467610209,0.04846872714083527,-0.1640246816322506,0.19092303981902553,-0.3367393792157773,0.10318346508946635,0.012640341304408352,-0.33310372135962873
1,211.68199233716476,6.568580096754899,211.68199233716476,0.050697864430486746,226.64367816091954,0.0,0.0,0.22830593714950193,-0.41417866381877394,0.2346979113559387,0.26543923697471267,0.19903805760306514,-0.49669524011647515,0.1675806363605364,0.13153023751295018,-0.0839564818716475,-0.4226105364214559,0.11095685153333333,-0.052835428557854405,0.15251388472720306,0.0897997698367816,0.1845794148218391,0.2349751049651341,-0.08669397236130268,0.05953147680268199,-0.6823446241283525,0.3594793985900383,0.32746597088352486,0.5479315698888888,0.15748567658850574,-0.22558761799501917,0.18310166099540232,0.12703828579042145,-0.12210224348141763,-0.07698518658122605,0.09673337064980843,-0.10052614496091955,-0.022259199878160916,-0.19157339748272031,-0.3401124091291188,-0.33045667612567053,-0.0839854646210728,-0.05424570104789272,-0.1935515129078161,-0.17053032015440614,0.19097706220114943,0.1691706126632184,-0.2614853173337165,0.20777374083831418,-0.114235339597318,-0.2554315116729502,0.17600188226934868,-0.30135230175095784,-0.398971465697318,-0.036532145583141766,-0.14751945788582377,0.2758046167900383,0.06856482242130268,-0.05370125530344828,-0.09896783564329503,0.31360982085440614,0.16732673388377778,-0.08965891056984675,-0.2246561987396935,-0.2048578054467433,-0.267476800548659,0.12022105785233717,-0.1614287841421456,0.024931475826973182,0.12234564396168582,-0.11968510338965517
2,166.83265306122448,5.6945707534639425,166.83265306122448,0.03444635413247517,129.22040816326532,0.0,0.0,0.10453648952938775,-0.3702862429955102,-0.022629427626122453,0.04791333777061224,-0.08272783792122448,-0.5542242205289797,0.28643435367836734,0.048333288468640816,-0.23540801740432654,-0.3031888058065306,0.3910711975742857,0.17422315206269387,0.2364119285057143,0.20691543542938776,-0.11958454019714285,0.17008278321306122,-0.0021349133959183667,0.39885726386734693,-0.6341268993061224,0.1412654203172245,0.3322262123555102,0.5688940256383673,-0.17861534473232654,-0.1689415256954857,0.12581201084081634,0.06301129696530612,0.09956022977428572,-0.03208940134734694,0.06675130902938776,-0.07792961184775511,-0.09540009608408162,0.17035112483632653,-0.2305341365197143,-0.2137784840110204,-0.1334542215232653,0.03983920622612244,-0.2540766503532653,0.018038772937551014,0.230704429677551,0.18211396543983674,-0.27645693976040814,0.24038668988367348,-0.001254450222040816,-0.3239260216142857,0.040123897199183675,-0.3398731276563265,-0.48858994384081633,-0.08521311642979591,-0.01860182973387755,0.12883629530591836,0.061608912932244894,-0.18647144362734694,-0.2834590101257143,0.34638163613673467,0.1156737979277551,-0.21027684711836733,0.15533751147142857,-0.19755263308326532,-0.2543848950500408,0.23316698502408162,-0.11681872753632654,-0.013044285987346936,-0.1994029299665306,-0.40373910199183677
3,210.10666666666665,13.374283284459588,95.17333333333333,0.08625558998691,618.3555555555556,93.72444444444444,85.89777777777778,0.4862397050328889,0.08753094151853334,-0.3108787146222222,0.00666295691111111,-0.1444815731173333,-0.7805713204444444,0.09517874309497779,0.3512552943653333,-0.050159616685155554,0.8649505726666666,0.2666387815644444,-0.08948429271933334,-0.5074427467819556,-0.8115118068888888,-0.12921111344266667,-0.3236465232956889,-0.8479775910666667,-0.14947724362222223,-0.4056985320666666,-0.15627812090373333,0.4972571486444444,0.026053982067555555,-0.6474681396222223,-0.5117569572133334,0.6333511344,-0.031874243336444445,-0.29318794585999997,-0.006937647188000001,-0.256989253736,-0.35098304695555554,0.27856772995564444,0.4382233336088889,-0.21988353442666667,-0.7265198782768889,0.06099070413311111,0.2777576704648889,-0.1972783045088889,0.034940452572,0.04951394422622222,0.37720040240133335,-0.23674584340933333,-0.19977986344542223,-0.32149949478088885,-0.42776446686666664,0.857733342088889,-0.2493691477542222,0.313761628004,-0.4053953194382222,-0.5649608004888889,0.24908615803155557,0.5181805088888889,0.2807079534111111,-0.6346694690222222,0.2718462171377778,-0.05797888247702222,-0.10965299572933333,0.07206749126577777,0.13759855526044443,0.15301092495066668,-0.13939758609386665,-0.2827860497515556,0.10496232078844445,-0.07851790319155555,0.141053501396
4,53.48571428571429,7.486664185595107,53.48571428571429,0.020262073795287328,26.285714285714285,0.0,0.0,-0.16529583130357142,-1.2931129610714285,-0.06894814953571429,-0.22777455196142857,0.127321324195,-0.7027201668571428,-0.6374782052142857,0.27444169111928574,-0.5828166530857143,0.5848844345428571,0.2872318806292857,-0.30502084519285716,-0.34479297358928573,-0.39645463683571425,-0.5434557005928572,0.21524061780442857,-0.19984417615714287,-0.4099881649214286,-0.7202641686428571,0.5105427810214286,0.141075287045,-0.030105388271428567,0.08569782040428572,-0.17556145721642857,-0.25438409006428575,0.3394503493778572,-0.14708611753764286,-0.8060788552142857,-0.6735580760928571,-0.6439255666621428,0.17831757809285714,0.242697897015,-0.24662283153785713,-0.665420542,-0.7673663763571428,0.2755279132242857,0.2788985365785714,0.3516956589321429,-0.18172897208514285,0.44072316538571427,-0.136431751935,-0.045987158653571426,0.028121359669285712,0.040063439988571425,0.39337908897142854,-0.4301996814571429,0.48377169202857145,-0.6802444597142857,-0.44646198952142857,0.3823162243742857,0.8259363444285714,0.036607751955,-0.6753079664642857,0.4427792775142857,-0.5740024726214286,-0.3437523948142857,0.3738149139285714,-0.11597324474714285,0.11849060517642857,0.9200167425,0.09013278935357143,0.08479167450714287,-0.27935254856499997,0.10492458717314286
5,90.44680851063829,0.0,90.44680851063829,0.012510194058431744,1.202127659574468,0.0,0.0,-0.18054218013723403,-0.6394052617021276,0.2884622156779787,0.32087644113404257,-0.30632920574468087,-1.0944848978723405,-0.07628640078085107,0.4141246324148936,-0.52046137855,1.1214866578723404,0.6113186529574468,-0.1845302365,-0.5298427589574468,0.005862310515957447,-0.30776389987234043,0.06826442705212765,-0.36967685314574467,0.27437711947659577,-0.9355342043617022,0.211906412343617,0.26539364664893617,0.25551397344042553,-0.2114824210851064,-0.12831576226914893,0.8139818485531916,0.1973118986702128,0.11906325171276595,-0.4678549080212766,-0.46414998070212765,-0.24413325242765957,0.0004419452723404261,0.27733338945212765,-0.697882030074468,-0.6248871144319149,0.0977877715861702,0.25618777789042557,-0.19598809794680852,-0.06185157657446808,0.08393004190425532,0.5039955429861702,-0.4025392704117021,0.3755120187010638,-0.24919656403617022,-0.49971739638297874,0.5038343668297872,-0.2622097075829787,-0.04421300776595745,-0.642528012869149,-0.11932314542234042,0.1448330066457447,1.195932130319149,-0.08613732388297873,-1.0511245837234042,0.6449891582553191,-0.7408878629542553,-0.41988459374468085,0.0821625686,-0.17810377834042554,-0.04567727808510638,0.4503411381606383,0.18548436224148934,0.5035649853085107,-0.2725827776595745,-0.002736866232978723
6,90.125,0.0,90.125,0.012454989775081492,1.125,0.0,0.0,-0.18505648948895834,-1.23487257375,-0.10785346812395834,0.32791858608333335,-0.08250675827291666,-1.5895002843750001,0.5679069336666667,0.2172788142083333,-0.764493130125,0.285365381125,0.5326690617291666,0.06601232097916666,-0.27216311011041666,-0.7426142283333333,-0.08009917720833333,-0.16496282955833333,-0.26164975850625,0.3354946122958333,-0.5753490787291666,-0.011008376125000002,0.3731470845354166,-0.09801001648645834,-0.28263907770833335,0.04368885615416667,0.12540934280416668,0.6045252040625,-0.034835881862083334,-0.46946676441249996,-0.575623155655,-0.2851624830833333,-0.100981571625,0.9486193889583333,0.21501678898333332,-0.5695984396166667,-0.36568988154166665,0.2082592893125,-0.32689832346875,0.29133469460416667,0.22398199831249999,0.2955722257291667,-0.7348903360833333,0.5759428635625,-0.25356314650833334,-0.2564246403958333,0.35624706622916663,-0.17062857379166665,0.21514423418749998,-0.5124532796079166,0.014803296791666665,0.6542666375,1.2075510477083333,0.27435862291666663,-1.0133291996458333,0.9094974327083333,-0.2888569255833333,-0.11102870549999999,-0.008436689829166672,0.2715299311041667,-0.14558321995833334,-0.05704144554791666,-0.4246683739583333,0.46926993302083336,-0.19372803645,0.38640495275
7,90.0,0.0,90.0,0.01238681459028824,1.0416666666666667,0.0,0.0,-0.35336561758333335,-0.89060919375,-0.49906017743750003,0.24512593891666667,-0.355083303675,-1.3251291260416667,0.39203152683333337,-0.004991450229166669,-0.40395931558333337,0.5789615944166667,0.4673386599791667,-0.1011323158125,-0.7131071738541667,-0.3756319625604167,-0.013895369695833335,-0.501386079375,-0.6283069246377083,-0.38056893163333333,-0.7142275020833333,-0.20205518297708333,0.27403294364937497,0.5899443566041667,-0.12645061701041668,-0.321792742375,0.5152286756875,-0.014553998666666674,-0.16598737805208333,-0.5745458795,-0.3914536314916666,-0.4919454457645833,0.25399438746249997,0.37124889141666667,-0.5155267870833333,-0.613730350625,-0.17482042197916667,-0.23776624072916666,-0.23303700732083332,-0.23535702252083332,0.0009114113541666633,1.0963907202083334,0.16579112883333333,0.05769985343125,0.3694895800208333,0.22923280915208333,0.14253723141666666,-0.7406772016666667,0.05547649685416667,-0.47826455947916663,-0.6127537315243751,0.6437413252291667,1.7706678791666668,-0.2995679291666667,-1.3851912302083333,0.7494539197916666,-0.11058856717708333,-0.38483997410416665,0.14907618602083333,-0.3232773193708333,-0.10128075245833335,0.2393254806875,0.3485685116458333,0.5852712940416667,-0.01762317075041667,-0.06829775872916667
8,38.45454545454545,0.0,38.45454545454545,0.014905052788097834,4.7272727272727275,0.0,0.0,0.2233682897878788,-0.6504629393939394,0.38413594730303036,0.06588946215151516,-0.25922059999999997,-1.0522034806060605,-0.23684899383333333,0.5357745245757576,-0.918324336060606,0.06095757336969696,0.38592025460606055,-0.34488516760606064,-0.655991273939394,-0.5810499279696969,0.0951258929090909,0.5207212534242425,-0.5960116815151515,0.3232649873939394,-0.7132228957575758,0.6966670793939393,0.22109820608181818,0.9228627954545454,-0.015161455969696973,-0.7135199918181818,0.16698254003030302,-0.4369940346060606,0.7475670296969696,0.07574855708484848,-0.241001894,0.2782767735848485,-0.7033530936363637,0.5517190851515151,0.33561377496969697,-0.6332539881818182,-0.14216045684848486,0.1176292708939394,-0.17668965466666667,-0.2588436772727273,0.007874234393939394,0.9697321393939393,-0.39406875090909094,0.2844972286363637,-0.1497989690909091,-0.216913441,0.39335027284848484,-0.5888005651515151,0.14724212428181818,-0.18008665666666665,-0.018823863575757573,-0.1258066687581818,0.17792988066666668,-0.5494384745454546,-0.17991212828484848,0.7778191348484849,-0.20793575633333333,0.2023772441212121,0.43686359048484846,0.2362699831818182,-0.7724013506060606,-0.03541051922121212,-0.014498177893939396,-0.2819373973484849,-0.655279216060606,-0.30829735060606056
9,36.0,0.0,36.0,0.0140880481334419,3.0,0.0,0.0,0.1929601625,-1.02996355,-0.231866305,1.059963625,-0.5347299025,-1.7147788875,0.029690853312499998,-0.215703185,-1.5733634125,0.7278546275,0.24998476375,0.11235193575,-0.73717315375,0.0036165426625000005,-0.69680323625,-0.9919049625,-0.81796845375,0.038010062375,-1.1999146375,0.0556501343,0.25024670875,0.341761325,-0.468589325,-0.29748430125,0.27002085,-0.59060437875,-0.7971583725,-0.89429505375,-0.832582635,-0.74911281375,0.7221235537499999,0.7227768525,-0.8787029212499999,0.32762174875,0.19764967249999998,-0.1457263295,0.32357561,0.1386137575,0.14240557175,0.6677966925000001,0.13616707,0.40098837875,-0.80045754,-0.83531298875,0.21983915874999999,-0.22324363625,0.29686899875,-0.6454391825,-0.789592865,0.27421237625,1.3896878625,-0.44750258875,-0.84318239,-0.42316936375,-0.458223585,0.28173915375,-0.47805239125,-1.1176558,-0.28166641125,0.73608503125,-0.6838994575,-1.1912872375,-0.69159629125,0.0004617578374999983
