cycle_id,size,label,a,b,c,d,N,n,K,coverage,jaccard,overlap,odds_ratio,risk_ratio,phi,exp,var,z,fisher_p,hypergeom_p,chi2,chi2_p,cov_ci_low,cov_ci_high,qval,reject_0.05
246,46,Basal,25,11,21,122,179,36,46,0.6944444444444444,0.43859649122807015,0.6944444444444444,12.633973710819008,4.615964802011313,0.5023091281933918,9.251396648044693,5.522324802245999,6.701639644700403,3.623988523261971e-10,3.623988523261971e-10,42.34198533318956,7.662971670719296e-11,0.5314372714948966,0.8199554840517008,1.514827202723504e-07,True
67,74,Basal,31,5,43,100,179,36,74,0.8611111111111112,0.3924050632911392,0.8611111111111112,13.231974921630094,2.8182665424044733,0.456158780558736,14.88268156424581,7.0134788678410285,6.085917210116178,8.837717486706871e-10,8.837717486706871e-10,34.97135559010559,3.3459146037664663e-09,0.713404696106438,0.9391818499086717,1.8470829547217362e-07,True
281,114,Basal,35,1,79,64,179,36,114,0.9722222222222222,0.30434782608695654,0.9722222222222222,19.20125786163522,1.7378888322284547,0.3498858617406928,22.92737430167598,6.6885300399873895,4.668059628131675,2.3751696626733345e-07,2.3751696626733345e-07,20.135673478006474,7.21385546468299e-06,0.8583028134672614,0.9950795928601897,1.543832572416469e-05,True
390,100,Basal,33,3,67,76,179,36,100,0.9166666666666666,0.32038834951456313,0.9166666666666666,10.847619047619048,1.9315315315315316,0.3617551976825867,20.11173184357542,7.130821500121509,4.826416320932684,3.2349984316320283e-07,3.2349984316320283e-07,21.642860414023392,3.284302005885844e-06,0.7817330875072737,0.9712513886640066,1.543832572416469e-05,True
393,92,Basal,32,4,60,83,179,36,92,0.8888888888888888,0.3333333333333333,0.8888888888888888,9.967860422405877,2.0906857270493635,0.37637790525929393,18.502793296089386,7.224695605945893,5.0215075731290675,1.774073279710921e-07,1.774073279710921e-07,23.513296837158347,1.2405344696785035e-06,0.7468519140963513,0.9559335969968435,1.543832572416469e-05,True
110,87,Basal,31,5,56,87,179,36,87,0.8611111111111112,0.33695652173913043,0.8611111111111112,8.869670152855994,2.1698158335326476,0.37653369081610655,17.497206703910614,7.224695605945893,5.023586011694105,2.521990113427205e-07,2.521990113427205e-07,23.533514632301177,1.227567063299329e-06,0.713404696106438,0.9391818499086717,1.543832572416469e-05,True
143,88,Basal,31,5,57,86,179,36,88,0.8611111111111112,0.3333333333333333,0.8611111111111112,8.615810276679841,2.132079905992949,0.3708327604857124,17.69832402234637,7.2283061484776,4.947526114372996,3.693379359848012e-07,3.693379359848012e-07,22.7997534892749,1.797887651342458e-06,0.713404696106438,0.9391818499086717,1.543832572416469e-05,True
299,72,Basal,28,8,44,99,179,36,72,0.7777777777777778,0.35,0.7777777777777778,7.497025776602776,2.492559975706043,0.38427130902748585,14.480446927374302,6.953904916067861,5.1268187145267925,3.589098862240994e-07,3.589098862240994e-07,24.512998190982028,7.381022333814403e-07,0.6191529705388181,0.8828366802420353,1.543832572416469e-05,True
361,72,Basal,28,8,44,99,179,36,72,0.7777777777777778,0.35,0.7777777777777778,7.497025776602776,2.492559975706043,0.38427130902748585,14.480446927374302,6.953904916067861,5.1268187145267925,3.589098862240994e-07,3.589098862240994e-07,24.512998190982028,7.381022333814403e-07,0.6191529705388181,0.8828366802420353,1.543832572416469e-05,True
175,54,Basal,24,12,30,113,179,36,54,0.6666666666666666,0.36363636363636365,0.6666666666666666,7.293770491803278,3.126273814798405,0.3989938134809401,10.860335195530727,6.0927905222557195,5.323241423127383,3.6221340187028243e-07,3.6221340187028243e-07,26.368649997122223,2.8208194856231497e-07,0.5033399787115652,0.7978538117569468,1.543832572416469e-05,True
226,117,Basal,35,1,82,61,179,36,117,0.9722222222222222,0.2966101694915254,0.9722222222222222,17.64242424242424,1.6746928746928746,0.3359548418657145,23.53072625698324,6.547718881250813,4.482196640889049,6.673827187826453e-07,6.673827187826453e-07,18.4798632319569,1.7170896446897227e-05,0.8583028134672614,0.9950795928601897,2.3247164704262144e-05,True
