Unnamed: 0	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	gold_strict	gold_umbrella	gold_union	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	tier
WBGene00000001	-0.1539073746334262	0.02501720700782	0.1539073746334262	0.02501720700782	8230.0	16281.0	11575.518562898164	True	True	True	39742075.22555388		16281.153907374632	7688.100678896213	3980213.1048737457	High
WBGene00000002	0.165089962250776	0.4431882945329266	0.165089962250776	0.4431882945329266	7550.0	1568.0	3440.697603684462	True	True	True	6775297.32000375		7549.834910037749	7539.88436163487	680294.6953435622	Low
WBGene00000003	0.089889770397663	0.0879638872416804	0.089889770397663	0.0879638872416804	12683.0	12627.0	12654.969024063235	True	True	True	36359396.75404872		12682.91203611276	8940.19023123875	3641898.5181047455	High
WBGene00000004	0.4019207289609987	0.3876167595510809	0.4019207289609987	0.3876167595510809	3721.0	2223.0	2876.070757126813	True	True	True	2266676.3687592563		3760.6123832404487	6638.990217433044	228589.76211920334	Very Low
WBGene00000005	-0.2249841201263691	-0.2309421824089905	0.2249841201263691	0.2309421824089905	5398.0	6058.0	5718.486163312805	True	True	True	8420412.774322672		6093.230942182409	4947.122911698914	844862.7614339866	Low
WBGene00000006	0.008761981955115	0.0178388699776836	0.008761981955115	0.0178388699776836	17369.0	16687.0	17024.585251923174	True	True	True	65232001.60347309		17368.991238018043	6124.384219657669	6530657.56173844	Very High
WBGene00000007	0.227603329475638	0.1834208648851424	0.227603329475638	0.1834208648851424	5341.0	7832.5	6467.873104815832	True	True	True	12181808.034201682		8609.835794855862	8483.118717334062	1221854.3183867077	Low
WBGene00000008	-0.0229100185529387	0.1979263812110411	0.0229100185529387	0.1979263812110411	16671.0	7269.0	11008.246863147646	True	True	True	40705416.08120771		17096.022910018553	8596.100065094566	4076605.6846898734	High
WBGene00000009	-0.1480675372544473	-0.3335044051092004	0.1480675372544473	0.3335044051092004	8571.0	3403.5	5401.055313547529	True	True	True	10351132.30104778		8647.33350440511	5069.20534356185	1038222.4395209294	Low
WBGene00000010	-0.3237329484272043	-0.253146205377239	0.3237329484272043	0.253146205377239	4215.0	5427.0	4782.761231757237	True	True	True	5789839.81349775		5427.325461755778	3490.316779255361	581318.2216970518	Low
