path	md5	size_MB	modified
./Barrett_et_al_2022_CeNGEN_bulk_RNAseq_data.tsv	bb779398f4fc9f3289879d81709be80f	12.24	2025-08-11 11:24:55
./CeNGEN_aggr_bio_reps_101821.tsv	5ff1626cb3e59dd6729cee05e86f7acf	25.57	2025-08-11 11:24:58
./Barrett_et_al_2022_CeNGEN_bulk_RNAseq_geneLevel_metadata.tsv	d660896e0bf2dcebc6cc0cea95623f9b	7.58	2025-08-11 11:25:01
