Sheet,Rows,Cols,Columns,Classification
SI 7 Cell class adjacency matrices.xlsx | TITLE AND LEGEND,0,1,"['Cell Class Adjacency Matrices  These are whole-animal connectivity matrices based on the cell classes listed in Supplementary Information 6.  The data are the same (number of EM serial sections of connectivity) as that in Supplementary Information 5, except given by cell class (or larger combined group) instead of by individual cell.  Connectivity between classes is the sum of the connectivity of the class members given in Supplementary Information 5.  Data in these tables is used for the Figures in Cook et al.']",📄 Generic Attribute Table
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx | TITLE AND LEGEND",4,1,"['Cell Class Adjacency Matrices  These are whole-animal connectivity matrices based on the cell classes listed in Supplementary Information 6.  The data are the same (number of EM serial sections of connectivity) as that in Supplementary Information 5, except given by cell class (or larger combined group) instead of by individual cell.  Connectivity between classes is the sum of the connectivity of the class members given in Supplementary Information 5.  Data in these tables is used for the Figures in Cook et al.']",📄 Generic Attribute Table
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx | herm chem grouped",97,109,"['Unnamed: 0', 'Unnamed: 1', 'SN6', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx | herm gap jn grouped asymmetric",112,113,"['Unnamed: 0', 'Unnamed: 1', 'SN6', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx | herm gap jn grouped symmetric",112,113,"['Unnamed: 0', 'Unnamed: 1', 'SN6', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 5 Connectome adjacency matrices, corrected July 2020.xlsx | male gap jn symmetric",589,590,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx | male chem grouped",98,113,"['Unnamed: 0', 'Unnamed: 1', 'SN6', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 5 Connectome adjacency matrices, corrected July 2020.xlsx | male chemical",385,579,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx | male gap jn grouped, symmetric",113,114,"['Unnamed: 0', 'Unnamed: 1', 'SN6', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 5 Connectome adjacency matrices, corrected July 2020.xlsx | hermaphrodite gap jn symmetric",472,473,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 5 Connectome adjacency matrices, corrected July 2020.xlsx | hermaphrodite chemical",303,458,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 5 Connectome adjacency matrices, corrected July 2020.xlsx | hermaphrodite gap jn asymmetric",472,473,"['Unnamed: 0', 'Unnamed: 1', 'Unnamed: 2', 'PHARYNX', 'Unnamed: 4', '...']",📄 Generic Attribute Table
"SI 7 Cell class connectome adjacency matrices, corrected July 2020.xlsx | male gap jn grouped, asymmetric",113,114,"['Unnamed: 0', 'Unnamed: 1', 'SN6', 'Unnamed: 3', 'Unnamed: 4', '...']",📄 Generic Attribute Table
NeuronConnect(1).xls | NeuronConnect.csv,6417,4,"['Neuron 1', 'Neuron 2', 'Type', 'Nbr']",🔗 Neuron Pair List
NeuronLineage_Part2(1).xls | NeuronLineage_Part2.csv,38781,3,"['Neuron 1', 'Neuron 2', 'Relatedness']",🔗 Neuron Pair List
NeuronConnect(2).xls | NeuronConnect.csv,6417,4,"['Neuron 1', 'Neuron 2', 'Type', 'Nbr']",🔗 Neuron Pair List
SI 6 Cell class lists.xlsx | cell class lists,106,4,"['Cell Class Lists  These are the cell classes and other cell groups that are used in the figures of Cook et al.  Shared neurons are the cell classes previously recognized (White et al., 1986).  Muscles and the male-specific complement of the male tail are combined into larger groups.', 'Unnamed: 1', 'Unnamed: 2', 'Unnamed: 3']",🔗 Neuron Pair List
SI 4 Cell lists.xlsx | hermaphrodite specific,23,3,"['HSNL', 'motorneuron', 'sex-specific neuron']",🔗 Neuron Pair List
"M_Attributes, Master.xlsx | M_Attribute",632,4,"['name', 'Neuron Group', 'Neuron Type', 'Color']",🔗 Neuron Pair List
SI 3 Synapse lists.xlsx | Title and legend,0,1,"['LIST OF SYNAPSES, HERMAPHRODITE AND MALE, CHEMICAL AND GAP JUNCTIONAL  These files give the properties of all the synapses scored.  The contin number (""contin"" = a connected set of database objects representing a structure that may ""continue"" across several sections) together with the EM series designation give each synapse a unique identifier.  They may be found on a neuron map at WormWiring.org using this identifier.  For chemical polyads, the order of the postsynaptic cells given in column D and H-K is the clockwise order the cells were scored around the presynaptic density on the electron micrographs.  As the micrograph images are viewed consistently looking towards anterior, so that left and right sides of the image correspond to left and right sides of the worm, this clockwise ordering orients the postsynaptic arrangement in the worm.']",🔗 Neuron Pair List
NeuronLineage_Part1(2).xls | NeuronLineage_Part1.csv,38781,3,"['Neuron 1', 'Neuron 2', 'Relatedness']",🔗 Neuron Pair List
NeuronFixedPoints.xls | NeuronFixedPoints.csv,650,4,"['Neuron', 'Landmark', 'Landmark Position', 'Weight']",🔗 Neuron Pair List
SI 4 Cell lists.xlsx | pharynx,63,2,"['I1L', 'interneuron']",🔗 Neuron Pair List
SI 10 Properties of reconstructions.xlsx | Sheet3,0,0,[],🧠 Symmetric Adjacency Matrix
SI 10 Properties of reconstructions.xlsx | Sheet2,0,0,[],🧠 Symmetric Adjacency Matrix
SI 5 Connectome adjacency matrices.xlsx | TITLE AND LEGEND,0,1,"['Connectome Adjacency Matrices  These sheets give the whole-animal connectomes for the two adult sexes of C. elegans.  They provide the amount of connectivity between each pair of cells.  For chemical connections, rows give the pre-synaptic cell, columns give the post-synaptic cell.  Weights in the body of the matrices are the total number of EM serial sections of connectivity, taking into account both the number of synapses and the sizes of synapses.  To provide complete coverage of the entire nervous system, the data are assembled from multiple animals and include connections added by extrapolation in gaps where no data were available.  The data in these tables is used in the figures of Cook et al.']",🧪 Synaptic Data
SI 2 Synapse adjacency matrices.xlsx | Title and Legend,0,1,"['NUMBER OF SCORED SYNAPSES BETWEEN PAIRS OF CELLS: SYNAPSE ADJACENCY MATRICES, HERMAPHRODITE AND MALE, CHEMICAL SYNAPSES AND GAP JUNCTIONS.  For chemical connections, rows: presynaptic cell; columns: post-synaptic cell.  The body of the table gives the number of synapses scored between each pair of cells.  NB: This matrix differs from the Connectome Adjacency Matrices (Suppplementary Information 5) in not taking into account the sizes of synapses and in showing only connections scored on electron micrographs.  It does not include any connections inserted by extrapolation.  Thus there are cells showing no connection here that are connected in the Connectome Adjacency Matrices.  Also note, there are more edges in this table than the total number of synapses scored (synapse lists, Supplementary Information 3).  This is because polyads are listed here more than once (once for each postsynaptic cell).']",🧪 Synaptic Data
"SI 5 Connectome adjacency matrices, corrected July 2020.xlsx | TITLE AND LEGEND",2,1,"['Connectome Adjacency Matrices  These sheets give the whole-animal connectomes for the two adult sexes of C. elegans.  They provide the amount of connectivity between each pair of cells.  For chemical connections, rows give the pre-synaptic cell, columns give the post-synaptic cell.  Weights in the body of the matrices are the total number of EM serial sections of connectivity, taking into account both the number of synapses and the sizes of synapses.  To provide complete coverage of the entire nervous system, the data are assembled from multiple animals and include connections added by extrapolation in gaps where no data were available.  The data in these tables is used in the figures of Cook et al.  July, 2019']",🧪 Synaptic Data
